events,total,avg,median,win_rate,pf,max_dd,pos_years,years,pos_quarters,quarters,start_i,end_i,start_utc,end_utc
50,-4.77,-0.0954,0.035,0.5,0.952533,-41.37,1,2,2,5,0,49,2022-05-12T17:30:00+00:00,2023-05-26T09:00:00+00:00
50,38.22,0.7644,0.355,0.56,1.478707,-30.88,1,2,4,5,10,59,2022-07-26T02:45:00+00:00,2023-09-22T15:00:00+00:00
50,73.78,1.4756,0.745,0.62,2.044747,-18.09,3,3,5,6,20,69,2022-10-12T02:15:00+00:00,2024-01-05T14:00:00+00:00
50,66.23,1.3246,0.515,0.62,1.859907,-18.09,2,2,5,6,30,79,2023-01-05T16:00:00+00:00,2024-05-22T13:15:00+00:00
50,46.25,0.925,0.375,0.58,1.519721,-18.09,2,2,4,7,40,89,2023-03-22T19:00:00+00:00,2024-09-19T03:45:00+00:00
50,58.98,1.1796,1.0,0.6,1.713612,-18.93,2,2,5,7,50,99,2023-05-30T09:15:00+00:00,2024-12-31T15:30:00+00:00
50,55.36,1.1072,1.345,0.6,1.560097,-18.93,2,3,4,7,60,109,2023-10-04T13:30:00+00:00,2025-04-07T02:45:00+00:00
50,55.86,1.1172,1.335,0.6,1.63789,-18.93,2,2,4,6,70,119,2024-01-08T13:15:00+00:00,2025-05-29T09:15:00+00:00
50,72.98,1.4596,1.55,0.64,1.936001,-18.93,2,2,5,6,80,129,2024-05-30T13:45:00+00:00,2025-07-24T03:45:00+00:00
50,87.6,1.752,1.445,0.66,2.022648,-16.75,2,2,4,5,90,139,2024-10-01T15:00:00+00:00,2025-10-23T02:45:00+00:00
50,124.18,2.4836,1.74,0.7,2.359387,-20.57,1,1,4,4,100,149,2025-01-20T03:30:00+00:00,2025-12-03T13:30:00+00:00
50,128.33,2.5666,1.98,0.68,2.018896,-43.76,1,2,3,4,110,159,2025-04-08T03:15:00+00:00,2026-02-18T15:00:00+00:00
50,45.44,0.9088,2.28,0.64,1.183692,-130.6,1,2,3,4,120,169,2025-05-30T15:30:00+00:00,2026-03-27T15:15:00+00:00
50,73.2,1.464,1.905,0.62,1.272514,-130.6,1,2,3,4,130,179,2025-07-29T03:00:00+00:00,2026-05-12T16:00:00+00:00
