feature,good_2023_2025_median,bad_2026_median,median_delta_good_minus_2026,good_mean,bad_2026_mean
h4_slope3,-1.2905,-4.1415,2.851,-1.875367,-7.048557
ret_usd,1.59,-1.07,2.66,2.358468,-1.144286
net_x1,1.24,-1.42,2.66,2.008468,-1.494286
bars_since_first_breach,10.5,8.0,2.5,20.153226,20.085714
atr_pct_rank_252,0.644841,0.444444,0.200397,0.627528,0.569955
close_position_in_range,0.841778,0.828244,0.013534,0.802832,0.752278
lower_wick_to_range,0.148474,0.17394,-0.025467,0.222773,0.229146
reclaim_above_ref,1.28,5.17,-3.89,2.001048,7.373143
sweep_depth,3.04,8.61,-5.57,4.178226,12.03
prior_range,27.405,97.72,-70.315,39.914597,125.222
