regime,description,observable_pretrade,selected_events,coverage,net_total,net_avg,net_median,net_wr,net_pf,net_dd,pos_years,years,pos_quarters,quarters,complement_events,complement_total,complement_median,complement_pf,test_events,test_total,test_median,test_pf,candidate_flag,delta_pf_vs_base,delta_median_vs_base,delta_avg_vs_base
reclaim_lt_q50,reclaim strength < q50,True,94,0.497354,145.33,1.546064,1.185,0.617021,1.972627,-58.78,4,5,10,17,95,31.03,0.44,1.074599,29,128.82,2.14,4.671131,True,0.660695,0.205,0.612942
session_new_york,event_session == new_york,True,86,0.455026,183.93,2.138721,0.775,0.55814,1.747744,-42.84,4,5,12,17,103,-7.57,0.99,0.976299,26,126.62,5.53,2.174147,True,0.435812,-0.205,1.205599
prior_range_lt_q50,previous-day range < q50,True,94,0.497354,112.79,1.199894,1.065,0.606383,1.657323,-34.68,3,5,10,16,95,63.57,0.6,1.161431,29,111.8,2.64,3.846232,True,0.345391,0.085,0.266772
session_london_or_ny,event during London or New York,True,122,0.645503,138.04,1.131475,0.355,0.557377,1.380317,-97.97,3,5,11,17,67,38.32,1.18,1.189309,37,66.48,2.14,1.347372,True,0.068385,-0.625,0.198353
close_below_prior_mid,event close below previous-day midpoint,True,184,0.973545,170.81,0.928315,0.985,0.586957,1.310541,-130.6,3,5,11,17,5,5.55,-3.59,1.361799,56,44.26,1.055,1.134701,True,-0.001391,0.005,-0.004807
sweep_depth_q50_to_q75,q50 <= sweep_depth < q75,True,47,0.248677,166.35,3.539362,2.14,0.595745,2.583984,-20.81,3,5,9,15,142,10.01,0.75,1.021744,15,151.44,11.64,6.565601,False,1.272052,1.16,2.60624
deep_sweep_h4_slope_positive,sweep q50+ and H4 slope positive,True,37,0.195767,139.81,3.778649,1.84,0.621622,2.360681,-43.41,5,5,9,12,152,36.55,0.75,1.079005,12,26.14,1.95,1.372365,False,1.048749,0.86,2.845527
h4_slope_positive,H4 SMA20 slope3 positive,True,77,0.407407,175.92,2.284675,0.98,0.623377,2.082518,-43.41,4,5,14,17,112,0.44,0.975,1.001092,24,98.32,3.95,2.128817,False,0.770586,0.0,1.351553
fast_reclaim_le_1bar,reclaim within <=1 bar after first breach,True,47,0.248677,105.8,2.251064,1.47,0.531915,1.670809,-47.67,2,5,11,15,142,70.56,0.97,1.173085,15,4.1,1.67,1.036778,False,0.358877,0.49,1.317942
h4_up_and_slope_positive,H4 up context and positive slope,True,33,0.174603,42.46,1.286667,0.4,0.606061,1.607613,-20.74,4,5,9,14,156,133.9,1.045,1.270232,10,35.94,2.42,2.058928,False,0.295681,-0.58,0.353545
h4_up_context,H4 close above H4 SMA20,True,38,0.201058,42.34,1.114211,0.815,0.631579,1.523297,-27.18,3,5,8,14,151,134.02,0.98,1.276632,12,52.06,3.055,2.533883,False,0.211365,-0.165,0.181089
atr_low_lt_40,ATR percentile < 0.40,True,59,0.312169,68.85,1.166949,1.03,0.59322,1.349315,-80.32,3,5,9,16,130,107.51,0.97,1.291925,18,-27.14,1.295,0.814579,False,0.037383,0.05,0.233827
deep_sweep_london_or_ny,sweep q50+ and London/NY,True,66,0.349206,86.88,1.316364,1.515,0.560606,1.32046,-97.97,3,5,10,15,123,89.48,0.9,1.304074,20,19.86,0.36,1.122479,False,0.008528,0.535,0.383242
atr_high_gt_85,ATR percentile > 0.85,True,66,0.349206,58.54,0.88697,1.345,0.606061,1.300822,-50.28,3,5,11,15,123,117.82,0.44,1.317763,20,-25.36,-1.485,0.788137,False,-0.01111,0.365,-0.046152
