period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
10,22,21.92,0.996364,-0.54,0.5,1.14862,-77.67,2,5,4,10,16
11,19,-84.35,-4.439474,-2.07,0.368421,0.466274,-121.23,1,5,3,11,16
12,10,-48.59,-4.859,-1.41,0.4,0.511658,-72.79,2,5,2,8,10
13,4,-106.58,-26.645,-22.045,0.0,0.0,-106.58,0,3,0,4,4
14,8,20.86,2.6075,-0.66,0.375,1.326243,-52.4,2,4,3,6,7
15,21,50.38,2.399048,-1.95,0.428571,1.457792,-70.84,3,5,6,13,17
16,298,967.1,3.245302,1.62,0.54698,1.452425,-232.59,4,5,14,17,50
7,326,156.57,0.480276,0.755,0.546012,1.102954,-189.21,2,5,9,17,50
8,21,83.9,3.995238,1.2,0.52381,1.885675,-57.72,3,5,7,12,17
9,29,109.88,3.788966,-0.01,0.482759,1.84238,-42.26,3,4,9,14,25
