period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022Q2,20,-48.34,-2.417,-2.115,0.45,0.520246,-48.34,0,1,0,1,2
2022Q3,28,-21.8,-0.778571,-0.705,0.5,0.778027,-70.32,0,1,0,1,3
2022Q4,48,2.93,0.061042,0.645,0.520833,1.019503,-63.9,1,1,1,1,3
2023Q1,47,0.58,0.01234,-1.0,0.446809,1.002867,-85.73,1,1,1,1,3
2023Q2,38,-46.74,-1.23,-2.275,0.473684,0.77763,-94.64,0,1,0,1,3
2023Q3,36,11.14,0.309444,-0.53,0.472222,1.119708,-32.92,1,1,1,1,3
2023Q4,47,79.48,1.691064,0.37,0.510638,1.57871,-24.55,1,1,1,1,3
2024Q1,41,39.68,0.967805,0.03,0.512195,1.2825,-79.75,1,1,1,1,3
2024Q2,50,-111.76,-2.2352,0.01,0.5,0.685811,-136.76,0,1,0,1,3
2024Q3,60,3.71,0.061833,-0.265,0.466667,1.014536,-120.93,1,1,1,1,3
2024Q4,48,87.42,1.82125,2.905,0.625,1.491151,-39.45,1,1,1,1,3
2025Q1,66,152.32,2.307879,2.39,0.590909,1.594489,-80.84,1,1,1,1,3
2025Q2,40,167.12,4.178,2.875,0.6,1.556306,-120.75,1,1,1,1,3
2025Q3,56,290.35,5.184821,7.2,0.642857,1.980879,-50.32,1,1,1,1,3
2025Q4,55,225.13,4.093273,1.82,0.545455,1.36212,-265.88,1,1,1,1,3
2026Q1,54,415.24,7.68963,-0.8,0.481481,1.552342,-295.03,1,1,1,1,3
2026Q2,24,-75.37,-3.140417,2.395,0.541667,0.821216,-208.92,0,1,0,1,3
