signal_i,entry_i,exit_i,signal_dt,entry_dt,exit_target_dt,session,hour,signal_open,signal_high,signal_low,signal_close,pdh,pdl,prev_range,break_above_pdh,close_above_pdh,variant,side
319,320,352,2022-05-05 07:00:00+00:00,2022-05-05 07:15:00+00:00,2022-05-05 15:15:00+00:00,london,7,1902.22,1902.29,1900.35,1901.08,1877.88,1850.22,27.660000000000082,24.41,23.2,pdh_breakout_continuation_long_h32_cool4,LONG
355,356,388,2022-05-05 16:00:00+00:00,2022-05-05 16:15:00+00:00,2022-05-06 00:15:00+00:00,new_york,16,1903.6,1909.58,1903.43,1906.32,1877.88,1850.22,27.660000000000082,31.7,28.44,pdh_breakout_continuation_long_h32_cool4,LONG
1087,1088,1120,2022-05-17 07:00:00+00:00,2022-05-17 07:15:00+00:00,2022-05-17 15:15:00+00:00,london,7,1822.0,1822.77,1821.76,1822.72,1814.26,1809.89,4.369999999999891,8.51,8.46,pdh_breakout_continuation_long_h32_cool4,LONG
1123,1124,1156,2022-05-17 16:00:00+00:00,2022-05-17 16:15:00+00:00,2022-05-18 00:15:00+00:00,new_york,16,1832.01,1833.92,1831.13,1831.13,1814.26,1809.89,4.369999999999891,19.66,16.87,pdh_breakout_continuation_long_h32_cool4,LONG
1314,1315,1347,2022-05-19 15:45:00+00:00,2022-05-19 16:00:00+00:00,2022-05-20 00:00:00+00:00,new_york,15,1833.03,1841.02,1832.64,1837.65,1835.9,1812.66,23.24000000000001,5.12,1.75,pdh_breakout_continuation_long_h32_cool4,LONG
1375,1376,1408,2022-05-20 07:00:00+00:00,2022-05-20 07:15:00+00:00,2022-05-20 15:15:00+00:00,london,7,1840.81,1841.55,1840.38,1841.05,1824.46,1807.03,17.430000000000064,17.09,16.59,pdh_breakout_continuation_long_h32_cool4,LONG
1411,1412,1444,2022-05-20 16:00:00+00:00,2022-05-20 16:15:00+00:00,2022-05-23 00:15:00+00:00,new_york,16,1845.08,1845.13,1841.6,1841.63,1824.46,1807.03,17.430000000000064,20.67,17.17,pdh_breakout_continuation_long_h32_cool4,LONG
1471,1472,1504,2022-05-23 07:00:00+00:00,2022-05-23 07:15:00+00:00,2022-05-23 15:15:00+00:00,london,7,1853.86,1854.66,1853.78,1853.92,1849.2,1832.16,17.039999999999964,5.46,4.72,pdh_breakout_continuation_long_h32_cool4,LONG
1507,1508,1540,2022-05-23 16:00:00+00:00,2022-05-23 16:15:00+00:00,2022-05-24 00:15:00+00:00,new_york,16,1856.8,1858.5,1854.7,1855.93,1849.2,1832.16,17.039999999999964,9.3,6.73,pdh_breakout_continuation_long_h32_cool4,LONG
1567,1568,1600,2022-05-24 07:00:00+00:00,2022-05-24 07:15:00+00:00,2022-05-24 15:15:00+00:00,london,7,1854.65,1855.81,1854.59,1855.81,1849.15,1843.27,5.880000000000109,6.66,6.66,pdh_breakout_continuation_long_h32_cool4,LONG
1603,1604,1636,2022-05-24 16:00:00+00:00,2022-05-24 16:15:00+00:00,2022-05-25 00:15:00+00:00,new_york,16,1854.97,1860.52,1854.83,1860.14,1849.15,1843.27,5.880000000000109,11.37,10.99,pdh_breakout_continuation_long_h32_cool4,LONG
1958,1959,1991,2022-05-30 08:45:00+00:00,2022-05-30 09:00:00+00:00,2022-05-30 17:00:00+00:00,london,8,1862.05,1863.16,1861.23,1862.79,1861.77,1847.78,13.990000000000009,1.39,1.02,pdh_breakout_continuation_long_h32_cool4,LONG
2051,2052,2084,2022-05-31 09:30:00+00:00,2022-05-31 09:45:00+00:00,2022-05-31 17:45:00+00:00,london,9,1853.55,1855.09,1852.66,1854.81,1853.74,1850.6,3.1400000000001,1.35,1.07,pdh_breakout_continuation_long_h32_cool4,LONG
2270,2271,2303,2022-06-02 16:15:00+00:00,2022-06-02 16:30:00+00:00,2022-06-03 00:30:00+00:00,new_york,16,1857.63,1860.93,1856.67,1860.6,1856.93,1834.92,22.00999999999999,4.0,3.67,pdh_breakout_continuation_long_h32_cool4,LONG
2329,2330,2362,2022-06-03 07:00:00+00:00,2022-06-03 07:15:00+00:00,2022-06-03 15:15:00+00:00,london,7,1868.06,1869.02,1867.98,1868.4,1849.77,1828.28,21.49000000000001,19.25,18.63,pdh_breakout_continuation_long_h32_cool4,LONG
2365,2366,2398,2022-06-03 16:00:00+00:00,2022-06-03 16:15:00+00:00,2022-06-06 00:15:00+00:00,new_york,16,1857.93,1861.0,1857.29,1858.14,1849.77,1828.28,21.49000000000001,11.23,8.37,pdh_breakout_continuation_long_h32_cool4,LONG
3193,3194,3226,2022-06-16 07:00:00+00:00,2022-06-16 07:15:00+00:00,2022-06-16 15:15:00+00:00,london,7,1831.11,1832.79,1830.84,1832.31,1831.41,1804.91,26.5,1.38,0.9,pdh_breakout_continuation_long_h32_cool4,LONG
3290,3291,3323,2022-06-17 07:15:00+00:00,2022-06-17 07:30:00+00:00,2022-06-17 15:30:00+00:00,london,7,1842.31,1844.37,1842.21,1843.07,1841.62,1807.24,34.37999999999988,2.75,1.45,pdh_breakout_continuation_long_h32_cool4,LONG
3326,3327,3359,2022-06-17 16:15:00+00:00,2022-06-17 16:30:00+00:00,2022-06-20 00:30:00+00:00,new_york,16,1851.11,1851.14,1847.2,1849.45,1841.62,1807.24,34.37999999999988,9.52,7.83,pdh_breakout_continuation_long_h32_cool4,LONG
3859,3860,3892,2022-06-27 07:00:00+00:00,2022-06-27 07:15:00+00:00,2022-06-27 15:15:00+00:00,london,7,1835.07,1835.09,1834.17,1834.99,1831.59,1816.66,14.929999999999836,3.5,3.4,pdh_breakout_continuation_long_h32_cool4,LONG
4339,4340,4372,2022-07-04 07:00:00+00:00,2022-07-04 07:15:00+00:00,2022-07-04 15:15:00+00:00,london,7,1811.64,1811.91,1811.22,1811.56,1809.1,1784.29,24.809999999999945,2.81,2.46,pdh_breakout_continuation_long_h32_cool4,LONG
5300,5301,5333,2022-07-18 08:45:00+00:00,2022-07-18 09:00:00+00:00,2022-07-18 17:00:00+00:00,london,8,1715.62,1717.65,1715.37,1717.5,1716.43,1698.91,17.519999999999982,1.22,1.07,pdh_breakout_continuation_long_h32_cool4,LONG
