variant,period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
asia_high_breakout_long_h32_cool0,2022Q2,28,-137.02,-4.893571,-4.44,0.25,0.281866,-137.02,0,1,0,1,2
asia_high_breakout_long_h32_cool0,2022Q3,39,-35.06,-0.898974,-0.69,0.487179,0.799691,-75.32,0,1,0,1,3
asia_high_breakout_long_h32_cool0,2022Q4,48,143.65,2.992708,0.32,0.520833,2.034123,-59.47,1,1,1,1,3
asia_high_breakout_long_h32_cool0,2023Q1,44,-27.17,-0.6175,-0.86,0.477273,0.884486,-135.11,0,1,0,1,3
asia_high_breakout_long_h32_cool0,2023Q2,44,-77.76,-1.767273,-1.925,0.386364,0.701394,-126.54,0,1,0,1,3
asia_high_breakout_long_h32_cool0,2023Q3,26,13.16,0.506154,-0.385,0.461538,1.241557,-15.34,1,1,1,1,3
asia_high_breakout_long_h32_cool0,2023Q4,39,83.4,2.138462,-0.21,0.487179,1.56623,-39.57,1,1,1,1,3
asia_high_breakout_long_h32_cool0,2024Q1,39,73.44,1.883077,-0.34,0.461538,1.559032,-57.88,1,1,1,1,3
asia_high_breakout_long_h32_cool0,2024Q2,47,-30.49,-0.648723,0.67,0.553191,0.902294,-110.11,0,1,0,1,3
asia_high_breakout_long_h32_cool0,2024Q3,53,63.75,1.20283,3.63,0.622642,1.192913,-130.29,1,1,1,1,3
asia_high_breakout_long_h32_cool0,2024Q4,59,-89.95,-1.524576,-1.05,0.457627,0.728018,-125.16,0,1,0,1,3
asia_high_breakout_long_h32_cool0,2025Q1,54,176.6,3.27037,3.935,0.648148,1.966665,-46.29,1,1,1,1,3
asia_high_breakout_long_h32_cool0,2025Q2,25,-56.76,-2.2704,-4.57,0.4,0.799023,-122.52,0,1,0,1,3
asia_high_breakout_long_h32_cool0,2025Q3,45,187.68,4.170667,3.8,0.533333,1.856439,-48.32,1,1,1,1,3
