variant,behavior,side,horizon_bars,horizon_minutes,cooldown_bars,signal_dt,entry_dt,exit_dt,entry_price,entry_price_source,exit_price,gross_ret,net_x1,net_x2,net_x4,mfe,mae,session,hour,pdh,pdl,asia_range,compression6
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-04 10:30:00+00:00,2022-05-04 10:45:00+00:00,2022-05-04 18:45:00+00:00,1870.33,m15_exact_open,1866.02,-4.31,-4.66,-5.01,-5.71,1.58,8.85,london,10,1899.76,1854.43,7.819999999999936,1.0574737604053521
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-05 16:00:00+00:00,2022-05-05 16:15:00+00:00,2022-05-06 00:15:00+00:00,1906.3,m15_exact_open,1877.05,-29.25,-29.6,-29.95,-30.65,-0.36,34.01,new_york,16,1877.88,1850.22,22.289999999999964,1.1283956945156368
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-06 11:45:00+00:00,2022-05-06 12:00:00+00:00,2022-05-06 20:00:00+00:00,1879.74,m15_exact_open,1888.32,8.58,8.23,7.88,7.18,12.62,5.45,london,11,1889.52,1861.2,12.169999999999845,0.9496269770217907
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-10 07:00:00+00:00,2022-05-10 07:15:00+00:00,2022-05-10 15:15:00+00:00,1864.29,m15_exact_open,1859.37,-4.92,-5.27,-5.62,-6.32,0.95,8.22,london,7,1885.49,1880.12,9.27000000000021,0.8574449430089264
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-10 16:15:00+00:00,2022-05-10 16:30:00+00:00,2022-05-11 00:30:00+00:00,1863.37,m15_exact_open,1838.16,-25.21,-25.56,-25.91,-26.61,-0.38,28.07,new_york,16,1885.49,1880.12,9.27000000000021,1.1528630622535119
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-11 09:30:00+00:00,2022-05-11 09:45:00+00:00,2022-05-11 17:45:00+00:00,1842.52,m15_exact_open,1851.58,9.06,8.71,8.36,7.66,15.32,7.89,london,9,1885.49,1851.49,8.169999999999845,0.6556970477416917
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-17 14:30:00+00:00,2022-05-17 14:45:00+00:00,2022-05-17 22:45:00+00:00,1830.01,m15_exact_open,1816.91,-13.1,-13.45,-13.8,-14.5,5.89,16.54,new_york,14,1814.26,1809.89,7.480000000000018,1.0764875794338389
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-18 12:45:00+00:00,2022-05-18 13:00:00+00:00,2022-05-18 21:00:00+00:00,1818.88,m15_exact_open,1816.96,-1.92,-2.27,-2.62,-3.32,5.58,11.85,new_york,12,1826.66,1786.59,9.460000000000036,1.198120915032662
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-20 08:45:00+00:00,2022-05-20 09:00:00+00:00,2022-05-20 17:00:00+00:00,1845.79,m15_exact_open,1835.65,-10.14,-10.49,-10.84,-11.54,3.41,11.01,london,8,1824.46,1807.03,8.070000000000164,0.9887799078614986
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-23 10:30:00+00:00,2022-05-23 10:45:00+00:00,2022-05-23 18:45:00+00:00,1856.52,m15_exact_open,1852.56,-3.96,-4.31,-4.66,-5.36,8.56,5.03,london,10,1849.2,1832.16,11.5,0.873089739170396
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-24 07:00:00+00:00,2022-05-24 07:15:00+00:00,2022-05-24 15:15:00+00:00,1855.8,m15_exact_open,1859.32,3.52,3.17,2.82,2.12,4.68,5.59,london,7,1849.15,1843.27,5.930000000000064,0.756199479380735
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-24 15:00:00+00:00,2022-05-24 15:15:00+00:00,2022-05-24 23:15:00+00:00,1858.43,m15_exact_open,1866.28,7.85,7.5,7.15,6.45,11.06,4.53,new_york,15,1849.15,1843.27,5.930000000000064,1.370521056388296
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-27 10:15:00+00:00,2022-05-27 10:30:00+00:00,2022-05-27 18:30:00+00:00,1857.9,m15_exact_open,1853.39,-4.51,-4.86,-5.21,-5.91,3.87,7.58,london,10,1867.86,1841.24,8.430000000000064,1.2061700526711807
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-05-30 07:45:00+00:00,2022-05-30 08:00:00+00:00,2022-05-30 16:00:00+00:00,1861.07,m15_exact_open,1855.24,-5.83,-6.18,-6.53,-7.23,2.76,7.17,london,7,1861.77,1847.78,11.960000000000036,1.1498291849682705
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-06-01 15:45:00+00:00,2022-06-01 16:00:00+00:00,2022-06-02 00:00:00+00:00,1841.8,m15_exact_open,1846.75,4.95,4.6,4.25,3.55,7.97,4.0,new_york,15,1863.83,1847.99,5.160000000000082,1.289817406370778
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-06-02 09:30:00+00:00,2022-06-02 09:45:00+00:00,2022-06-02 17:45:00+00:00,1851.76,m15_exact_open,1866.77,15.01,14.66,14.31,13.61,17.54,2.23,london,9,1856.93,1834.92,4.849999999999909,1.0188130665298292
asia_high_breakout_long_h32_cool0,asia_high_breakout_long,LONG,32,480,0,2022-06-07 07:30:00+00:00,2022-06-07 07:45:00+00:00,2022-06-07 15:45:00+00:00,1844.35,m15_exact_open,1844.38,0.03,-0.32,-0.67,-1.37,7.42,6.07,london,7,1852.39,1849.46,5.460000000000036,0.9637557771831834
