variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,decision,score,reasons,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,pos_quarters,quarters,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1,consolidation_score,consolidation_decision,consolidation_reason
asia_high_breakout_long_close2_range4-35_new_york_only_h48_cool4,asia_high_breakout_refined,LONG,48,720,4,"{""asia_range_max"": 35.0, ""asia_range_min"": 4.0, ""close_above"": 2.0, ""session_set"": ""new_york_only""}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,14.757371,Refined variant passed strict robustness criteria.,436,9.083333,524.5,0.155,0.504587,1.20546,-197.54,371.9,1.141442,66.7,1.023918,88,278.72,1.445,1.389829,131,356.61,1.38468,10,301.73,25.825,999.0,4,5,10,17,41.651,1.015511,0.955,0.955,16.19903,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,24.548297,Refined variant passed strict robustness criteria.,105,2.333333,225.68,1.02,0.542857,1.827849,-52.47,188.93,1.652383,115.43,1.354885,21,239.68,10.25,9.760234,32,208.09,3.250838,14,148.6,8.43,26.445205,4,5,8,17,63.3355,1.215611,1.0,1.0,21.467504,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.0}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,23.05874,Refined variant passed strict robustness criteria.,133,2.770833,213.51,0.44,0.526316,1.670719,-72.77,166.96,1.490107,73.86,1.190013,27,235.01,8.4,5.455166,40,232.9,3.762097,14,153.4,9.05,27.267123,4,5,7,17,65.147,1.169715,0.985,0.985,19.650979,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep2.5_reclaim2_london_new_york_h4_cool0,pdl_sweep_reclaim_refined,LONG,4,60,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.5}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,23.383899,Refined variant passed strict robustness criteria.,110,2.444444,170.98,0.915,0.536364,1.597122,-49.94,132.48,1.435131,55.48,1.162132,22,175.69,7.365,5.49335,33,148.25,2.543467,16,140.56,8.48,12.446254,4,5,10,17,24.1455,1.07047,0.965,0.965,19.54771,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep2_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 2.0}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,21.770016,Refined variant passed strict robustness criteria.,141,2.9375,211.2,0.42,0.51773,1.609348,-76.14,161.85,1.43663,63.15,1.149563,29,223.66,6.62,4.489236,43,227.76,3.380684,14,153.4,9.05,27.267123,4,5,7,17,45.11,1.108772,0.98,0.98,19.200039,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.62}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,19.554264,Refined variant passed strict robustness criteria.,158,3.22449,256.81,0.47,0.531646,1.706473,-72.25,201.51,1.51701,90.91,1.203542,32,199.77,5.225,3.233564,48,216.29,2.801816,15,143.24,8.46,9.9525,4,5,11,17,105.5635,1.235079,1.0,1.0,19.183704,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.62}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,18.257269,Refined variant passed strict robustness criteria.,168,3.428571,241.21,0.35,0.517857,1.592508,-74.87,182.41,1.418564,64.81,1.13025,34,188.42,4.17,2.869431,51,207.25,2.560853,15,143.24,8.46,9.9525,4,5,11,17,63.714,1.136512,0.995,0.995,17.791835,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h4_cool4,pdl_sweep_reclaim_refined,LONG,4,60,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.62}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,18.859983,Refined variant passed strict robustness criteria.,163,3.326531,171.65,0.28,0.533742,1.47021,-73.31,114.6,1.291804,0.5,1.001105,33,167.1,3.6,3.531435,49,169.54,2.581235,15,135.12,10.65,40.393586,4,5,10,17,13.411,1.031624,0.975,0.975,17.231219,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool4,pdl_sweep_reclaim_refined,LONG,6,90,4,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.62}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,17.516358,Refined variant passed strict robustness criteria.,143,3.108696,190.11,0.28,0.517483,1.573934,-72.21,140.06,1.393715,39.96,1.097594,29,161.06,3.89,2.809053,43,177.12,2.542588,13,122.91,8.4,8.681875,4,5,11,17,43.1935,1.118049,0.98,0.98,17.127979,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep1.62_reclaim2_london_new_york_h8_cool4,pdl_sweep_reclaim_refined,LONG,8,120,4,"{""reclaim_max"": 2.0, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.62}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,16.157904,Refined variant passed strict robustness criteria.,152,3.102041,208.13,0.765,0.519737,1.467613,-89.41,154.93,1.32875,48.53,1.092533,31,158.41,4.03,2.323724,46,177.65,2.219203,14,92.76,8.615,2.989704,4,5,9,17,34.462,1.062976,0.97,0.97,16.954211,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
pdl_sweep_reclaim_long_sweep1.62_reclaim1.55_london_new_york_h6_cool0,pdl_sweep_reclaim_refined,LONG,6,90,0,"{""reclaim_max"": 1.55, ""reclaim_min"": 0.0, ""session_set"": ""london_new_york"", ""sweep_min"": 1.62}",PROMOTE_FORWARD_SHADOW_DESIGN_CANDIDATE,17.357052,Refined variant passed strict robustness criteria.,148,3.217391,188.15,0.27,0.513514,1.539204,-72.21,136.35,1.364095,32.75,1.07611,30,161.5,2.67,2.813995,45,186.93,2.608553,13,122.91,8.4,8.681875,4,5,11,17,29.2045,1.073183,0.97,0.97,16.857435,DUPLICATE_FAMILY_CAP,Family already has 1 selected representative(s).
