variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,decision,score,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,pf_2026,pos_years,years
compression_expansion_breakout_long_comp0.75_h8,compression_expansion_breakout_long,LONG,8,120,4,"{""comp_max"": 0.75, ""session_set"": ""london_new_york""}",PROMOTE_STAGE19B_EXACT_REPLAY,6.46684,134,2.913043,138.83,0.725,0.552239,1.347901,-76.37,91.93,1.218725,-1.87,0.995992,27,70.44,1.395042,41,118.34,1.562613,22,41.31,1.247425,3,5
london_ny_handoff_continuation_short_bias2_h8,london_ny_handoff_continuation_short,SHORT,8,120,4,"{""london_bias_min"": 2.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,5.866357,351,7.02,311.7,-0.52,0.461538,1.187452,-201.88,188.85,1.109167,-56.85,0.969645,71,331.81,1.484918,106,264.82,1.289915,53,134.38,1.234075,4,5
compression_expansion_breakout_long_comp0.75_h16,compression_expansion_breakout_long,LONG,16,240,4,"{""comp_max"": 0.75, ""session_set"": ""london_new_york""}",KEEP_LITE_WATCHLIST,5.551528,125,2.717391,119.18,1.56,0.624,1.202584,-171.62,75.43,1.124686,-12.07,0.9812,25,6.85,1.020779,38,42.23,1.115074,21,-72.78,0.779227,3,5
london_ny_handoff_continuation_short_bias3_h8,london_ny_handoff_continuation_short,SHORT,8,120,4,"{""london_bias_min"": 3.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,5.300797,304,6.08,293.2,-0.64,0.457237,1.191879,-182.2,186.8,1.117746,-26.0,0.984795,61,192.99,1.298566,92,252.33,1.297468,50,102.74,1.178971,4,5
london_ny_handoff_continuation_short_bias2_h24,london_ny_handoff_continuation_short,SHORT,24,360,4,"{""london_bias_min"": 2.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,4.581209,245,4.9,347.52,-0.85,0.465306,1.185251,-289.44,261.77,1.136202,90.27,1.044781,49,330.38,1.427854,74,222.57,1.218176,35,73.88,1.117004,5,5
london_ny_handoff_continuation_short_bias1_h8,london_ny_handoff_continuation_short,SHORT,8,120,4,"{""london_bias_min"": 1.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,4.316231,392,7.84,243.74,-0.57,0.459184,1.132111,-215.16,106.54,1.055482,-167.86,0.919297,79,165.27,1.194252,118,167.14,1.157724,55,61.63,1.095279,4,5
london_ny_handoff_continuation_short_bias2_h16,london_ny_handoff_continuation_short,SHORT,16,240,4,"{""london_bias_min"": 2.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,3.809261,245,4.9,165.5,-0.88,0.469388,1.093498,-234.47,79.75,1.043905,-91.75,0.952039,49,312.75,1.397744,74,191.58,1.194887,35,12.1,1.019028,5,5
london_ny_handoff_continuation_short_bias3_h24,london_ny_handoff_continuation_short,SHORT,24,360,4,"{""london_bias_min"": 3.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,3.305239,210,4.2,269.98,-1.14,0.457143,1.156635,-254.75,196.48,1.111405,49.48,1.026809,42,89.86,1.124934,63,173.56,1.18671,33,-6.31,0.990007,3,5
london_ny_handoff_continuation_short_bias1_h16,london_ny_handoff_continuation_short,SHORT,16,240,4,"{""london_bias_min"": 1.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,3.054913,275,5.5,133.7,-0.7,0.483636,1.068408,-282.02,37.45,1.018678,-155.05,0.926531,55,180.11,1.195995,83,61.5,1.053841,37,-75.42,0.895745,4,5
london_ny_handoff_continuation_short_bias1_h24,london_ny_handoff_continuation_short,SHORT,24,360,4,"{""london_bias_min"": 1.0, ""mode"": ""continuation"", ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,2.833897,275,5.5,237.81,-0.76,0.472727,1.110962,-334.82,141.56,1.06452,-50.94,0.97783,55,146.91,1.153728,83,40.13,1.032008,37,-48.72,0.935387,4,5
