period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022-05,1,5.56,5.56,5.56,1.0,999.0,0.0,1,1,1,1,1
2022-06,1,-2.46,-2.46,-2.46,0.0,0.0,-2.46,0,1,0,1,1
2022-07,1,-7.94,-7.94,-7.94,0.0,0.0,-7.94,0,1,0,1,1
2022-08,3,-4.95,-1.65,-1.3,0.0,0.0,-4.95,0,1,0,1,1
2022-09,3,4.63,1.543333,2.34,0.666667,22.045455,-0.22,1,1,1,1,1
2022-10,3,6.61,2.203333,3.05,0.666667,6.849558,-1.13,1,1,1,1,1
2022-11,2,-5.32,-2.66,-2.66,0.0,0.0,-5.32,0,1,0,1,1
2022-12,3,-9.97,-3.323333,-4.6,0.333333,0.130776,-11.47,0,1,0,1,1
2023-02,2,-2.02,-1.01,-1.01,0.5,0.580042,-4.81,0,1,0,1,1
2023-03,5,19.54,3.908,2.22,0.6,3.498721,-5.88,1,1,1,1,1
2023-04,2,11.33,5.665,5.665,1.0,999.0,0.0,1,1,1,1,1
2023-05,1,-11.64,-11.64,-11.64,0.0,0.0,-11.64,0,1,0,1,1
2023-06,2,-5.95,-2.975,-2.975,0.0,0.0,-5.95,0,1,0,1,1
2023-07,1,-1.17,-1.17,-1.17,0.0,0.0,-1.17,0,1,0,1,1
2023-09,2,-0.29,-0.145,-0.145,0.5,0.837079,-1.78,0,1,0,1,1
2023-10,4,0.79,0.1975,-0.745,0.5,1.142342,-5.55,1,1,1,1,1
2023-11,2,-5.22,-2.61,-2.61,0.5,0.056058,-5.53,0,1,0,1,1
2023-12,5,-9.34,-1.868,-0.01,0.4,0.333333,-12.58,0,1,0,1,1
2024-01,5,6.89,1.378,1.81,0.6,4.937143,-1.2,1,1,1,1,1
2024-02,2,4.81,2.405,2.405,1.0,999.0,0.0,1,1,1,1,1
2024-03,5,-7.68,-1.536,-1.36,0.2,0.305606,-9.7,0,1,0,1,1
2024-04,7,9.12,1.302857,2.23,0.857143,1.663755,-13.74,1,1,1,1,1
2024-05,1,-3.29,-3.29,-3.29,0.0,0.0,-3.29,0,1,0,1,1
2024-06,2,-5.45,-2.725,-2.725,0.5,0.094684,-6.02,0,1,0,1,1
2024-07,3,-3.7,-1.233333,-2.54,0.333333,0.427245,-6.46,0,1,0,1,1
2024-08,2,0.29,0.145,0.145,0.5,1.15508,-1.87,1,1,1,1,1
2024-09,4,26.3,6.575,7.2,1.0,999.0,0.0,1,1,1,1,1
2024-10,4,1.63,0.4075,-0.17,0.5,1.350538,-4.65,1,1,1,1,1
2024-11,2,-0.05,-0.025,-0.025,0.5,0.990099,-5.05,0,1,0,1,1
2024-12,5,-4.94,-0.988,3.32,0.8,0.732829,-18.49,0,1,0,1,1
2025-01,3,5.1,1.7,0.7,0.666667,1.962264,-5.3,1,1,1,1,1
2025-02,3,10.77,3.59,2.31,0.666667,27.268293,-0.41,1,1,1,1,1
2025-04,2,-1.5,-0.75,-0.75,0.5,0.920509,-18.87,0,1,0,1,1
2025-05,6,1.34,0.223333,1.105,0.5,1.051028,-22.18,1,1,1,1,1
2025-06,2,21.65,10.825,10.825,1.0,999.0,0.0,1,1,1,1,1
2025-07,3,24.69,8.23,7.79,1.0,999.0,0.0,1,1,1,1,1
2025-09,2,-5.77,-2.885,-2.885,0.0,0.0,-5.77,0,1,0,1,1
2025-10,2,14.37,7.185,7.185,1.0,999.0,0.0,1,1,1,1,1
2025-11,1,-5.29,-5.29,-5.29,0.0,0.0,-5.29,0,1,0,1,1
2025-12,3,26.04,8.68,8.97,0.666667,5.29703,-6.06,1,1,1,1,1
2026-01,6,40.77,6.795,5.245,0.833333,8.065858,-5.77,1,1,1,1,1
2026-02,6,15.3,2.55,-8.155,0.333333,1.232135,-49.6,1,1,1,1,1
2026-03,5,-49.03,-9.806,-0.6,0.4,0.366701,-76.37,0,1,0,1,1
2026-04,2,-13.01,-6.505,-6.505,0.5,0.271557,-17.86,0,1,0,1,1
2026-05,2,27.0,13.5,13.5,1.0,999.0,0.0,1,1,1,1,1
2026-06,1,20.28,20.28,20.28,1.0,999.0,0.0,1,1,1,1,1
