variant,family,side,horizon_bars,horizon_minutes,cooldown_bars,params_json,decision,score,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,pf_2026,pos_years,years
trend_pullback_continuation_short_trend5_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,8,120,4,"{""pullback"": 0.5, ""session_set"": ""new_york_only"", ""trend_dist"": 5.0}",PROMOTE_STAGE21B_EXACT_REPLAY,5.126737,286,5.72,284.97,0.06,0.506993,1.184984,-269.03,184.87,1.116178,-15.33,0.990969,58,219.56,1.328368,86,137.78,1.153126,55,115.59,1.178493,4,5
ny_open_london_trend_continuation_short_bias6_h8,ny_open_london_trend_continuation_short,SHORT,8,120,4,"{""bias_min"": 6.0, ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,7.603494,208,4.727273,431.76,-0.425,0.475962,1.397858,-148.23,358.96,1.319274,213.36,1.176744,42,127.64,1.304666,63,354.19,1.581078,45,231.44,1.519669,4,5
trend_pullback_continuation_long_trend5_pull1.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 1.5, ""session_set"": ""london_new_york"", ""trend_dist"": 5.0}",KEEP_LITE_WATCHLIST,7.514422,1016,20.32,304.29,-0.015,0.496063,1.11822,-261.41,-51.31,0.981399,-762.51,0.758886,204,342.89,1.350948,305,438.73,1.357998,142,319.96,1.433491,2,5
trend_pullback_continuation_long_trend5_pull0.5_london_new_york_h8,trend_pullback_continuation_long,LONG,8,120,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 5.0}",KEEP_LITE_WATCHLIST,7.232948,687,13.74,460.09,0.09,0.50655,1.166606,-401.06,219.64,1.076206,-261.26,0.91677,138,461.4,1.475822,207,683.81,1.572686,105,403.81,1.474518,2,5
trend_pullback_continuation_long_trend5_pull3_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 3.0, ""session_set"": ""london_new_york"", ""trend_dist"": 5.0}",KEEP_LITE_WATCHLIST,7.151554,1209,24.18,305.42,-0.07,0.491315,1.096068,-241.15,-117.73,0.965392,-964.03,0.75213,242,326.3,1.274839,363,438.88,1.293673,156,296.39,1.34472,3,5
trend_pullback_continuation_long_trend5_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 5.0}",KEEP_LITE_WATCHLIST,6.991661,816,16.32,264.0,0.095,0.506127,1.112911,-238.04,-21.6,0.9913,-592.8,0.788354,164,228.08,1.268222,245,359.61,1.331267,133,270.66,1.377058,2,5
trend_pullback_continuation_short_trend0_pull0.5_new_york_only_h8,trend_pullback_continuation_short,SHORT,8,120,4,"{""pullback"": 0.5, ""session_set"": ""new_york_only"", ""trend_dist"": 0.0}",KEEP_LITE_WATCHLIST,6.752101,489,9.78,226.96,-0.45,0.474438,1.108641,-256.49,55.81,1.02559,-286.49,0.879216,98,279.94,1.309466,147,339.66,1.316829,64,263.9,1.397967,3,5
trend_pullback_continuation_long_trend0_pull0.5_london_new_york_h4,trend_pullback_continuation_long,LONG,4,60,4,"{""pullback"": 0.5, ""session_set"": ""london_new_york"", ""trend_dist"": 0.0}",KEEP_LITE_WATCHLIST,6.613266,1429,28.58,192.94,-0.06,0.487754,1.055467,-442.83,-307.21,0.917916,-1307.51,0.697774,286,544.07,1.459166,429,508.52,1.30129,148,403.17,1.542194,2,5
ny_open_london_trend_continuation_short_bias2_h8,ny_open_london_trend_continuation_short,SHORT,8,120,4,"{""bias_min"": 2.0, ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,6.597294,359,7.18,345.88,-0.72,0.465181,1.208188,-210.03,220.23,1.127314,-31.07,0.983434,72,370.7,1.574399,108,295.35,1.334834,53,181.23,1.343733,4,5
ny_open_london_trend_continuation_short_bias6_h24,ny_open_london_trend_continuation_short,SHORT,24,360,4,"{""bias_min"": 6.0, ""session_set"": ""new_york_only""}",KEEP_LITE_WATCHLIST,6.530409,138,3.136364,446.77,-0.795,0.485507,1.378052,-238.34,398.47,1.330237,301.87,1.240195,28,198.34,1.464736,42,405.71,1.663782,29,166.39,1.362719,5,5
