period,events,total,avg,median,wr,pf,dd,pos_years,years,pos_quarters,quarters,months
2022-05,7,13.01,1.858571,2.8,0.714286,4.414698,-1.91,1,1,1,1,1
2022-06,8,-47.87,-5.98375,-9.38,0.375,0.25978,-48.71,0,1,0,1,1
2022-07,7,-8.21,-1.172857,-1.16,0.285714,0.817434,-27.02,0,1,0,1,1
2022-08,7,2.36,0.337143,-0.03,0.428571,1.236473,-5.87,1,1,1,1,1
2022-09,5,32.26,6.452,4.1,1.0,999.0,0.0,1,1,1,1,1
2022-10,7,-6.86,-0.98,1.17,0.714286,0.667797,-20.65,0,1,0,1,1
2022-11,4,2.64,0.66,0.535,0.75,1.489796,-5.39,1,1,1,1,1
2022-12,3,2.27,0.756667,-1.31,0.333333,1.746711,-3.04,1,1,1,1,1
2023-01,4,-2.71,-0.6775,-3.595,0.25,0.788116,-12.79,0,1,0,1,1
2023-02,5,-9.73,-1.946,-3.06,0.4,0.147986,-10.07,0,1,0,1,1
2023-03,3,3.67,1.223333,1.32,0.666667,1.761411,-4.82,1,1,1,1,1
2023-04,5,15.1,3.02,0.53,0.6,1.910187,-16.59,1,1,1,1,1
2023-05,7,-13.87,-1.981429,1.87,0.571429,0.487435,-27.06,0,1,0,1,1
2023-06,6,-16.33,-2.721667,-0.155,0.333333,0.297936,-22.95,0,1,0,1,1
2023-07,2,-1.42,-0.71,-0.71,0.5,0.503497,-2.86,0,1,0,1,1
2023-08,3,3.78,1.26,1.42,0.666667,1.693578,-5.45,1,1,1,1,1
2023-09,2,13.34,6.67,6.67,1.0,999.0,0.0,1,1,1,1,1
2023-10,3,11.63,3.876667,3.89,1.0,999.0,0.0,1,1,1,1,1
2023-11,3,3.07,1.023333,-0.75,0.333333,1.799479,-3.84,1,1,1,1,1
2023-12,3,19.27,6.423333,8.87,1.0,999.0,0.0,1,1,1,1,1
2024-01,4,-0.12,-0.03,-1.385,0.5,0.988615,-8.67,0,1,0,1,1
2024-02,4,-26.77,-6.6925,-5.875,0.25,0.076897,-26.77,0,1,0,1,1
2024-03,4,-2.13,-0.5325,-0.84,0.5,0.822352,-11.99,0,1,0,1,1
2024-04,8,0.43,0.05375,-2.995,0.5,1.011337,-27.29,1,1,1,1,1
2024-05,10,3.03,0.303,-4.02,0.3,1.075542,-29.22,1,1,1,1,1
2024-06,5,5.69,1.138,0.18,0.6,1.604676,-9.41,1,1,1,1,1
2024-07,5,5.07,1.014,-1.8,0.4,1.542246,-7.55,1,1,1,1,1
2024-08,3,21.05,7.016667,4.6,0.666667,5.313525,-4.88,1,1,1,1,1
2024-09,3,8.96,2.986667,0.03,0.666667,2.057851,-8.47,1,1,1,1,1
2024-10,4,11.67,2.9175,4.21,0.75,3.087657,-5.59,1,1,1,1,1
2024-11,7,22.48,3.211429,-8.4,0.428571,1.425033,-52.89,1,1,1,1,1
2024-12,4,29.53,7.3825,9.33,1.0,999.0,0.0,1,1,1,1,1
2025-01,4,-28.44,-7.11,-11.295,0.25,0.184165,-28.44,0,1,0,1,1
2025-02,10,34.58,3.458,1.745,0.6,2.546512,-16.94,1,1,1,1,1
2025-03,3,-9.33,-3.11,-2.68,0.0,0.0,-9.33,0,1,0,1,1
2025-04,5,7.11,1.422,-1.53,0.4,1.792642,-7.44,1,1,1,1,1
2025-05,11,8.32,0.756364,-0.56,0.454545,1.220924,-23.1,1,1,1,1,1
2025-06,10,47.07,4.707,5.935,0.7,2.324423,-35.52,1,1,1,1,1
2025-07,8,-27.07,-3.38375,-4.175,0.5,0.508176,-42.42,0,1,0,1,1
2025-08,6,-17.77,-2.961667,0.96,0.5,0.556747,-32.38,0,1,0,1,1
2025-09,4,-34.23,-8.5575,-9.485,0.25,0.108362,-34.23,0,1,0,1,1
2025-10,3,36.43,12.143333,21.92,0.666667,3.103349,-17.32,1,1,1,1,1
2025-11,5,-21.72,-4.344,-14.03,0.2,0.628972,-49.61,0,1,0,1,1
2025-12,7,80.14,11.448571,-7.51,0.285714,2.482427,-37.37,1,1,1,1,1
2026-01,9,169.29,18.81,5.18,0.666667,5.133057,-38.77,1,1,1,1,1
2026-02,7,-43.4,-6.2,-11.18,0.285714,0.559436,-74.72,0,1,0,1,1
2026-03,12,13.11,1.0925,2.025,0.5,1.066558,-142.79,1,1,1,1,1
2026-04,9,-5.32,-0.591111,1.77,0.555556,0.918741,-58.09,0,1,0,1,1
2026-05,12,-42.1,-3.508333,-0.46,0.5,0.788485,-120.92,0,1,0,1,1
2026-06,6,24.01,4.001667,-3.005,0.333333,1.514794,-32.57,1,1,1,1,1
