variant,family,side,trend_dist,pullback,slope_min,sma50_dist,horizon_bars,horizon_minutes,cooldown_bars,decision,reason,score,events,freq_per_month,total_x1,median_x1,wr_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_median,test20_pf,test30_events,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1,boot_prob_median_gt_0
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,10.021567,165,3.4375,341.57,1.19,0.521212,1.287162,-190.8,283.82,1.23319,168.32,1.132222,33,11.71,-2.4,1.025025,50,61.2,1.080961,40,109.77,-2.39,1.191011,4,5,-196.0205,0.859331,0.855,0.855,0.79
trend_pullback_short_td7.5_pb0.5_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,0.5,0.0,10.0,12,180,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,9.553699,134,3.35,337.43,1.41,0.537313,1.305461,-220.09,290.53,1.257916,196.73,1.167903,27,79.36,5.06,1.203581,41,124.91,1.183856,38,49.05,-2.47,1.078489,3,5,-304.767,0.784848,0.82,0.82,0.85
trend_pullback_short_td12.5_pb2_slope2_sma500_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,2.0,0.0,8,120,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,9.401315,117,3.441176,283.76,0.24,0.504274,1.352199,-204.25,242.81,1.29392,160.91,1.185357,24,51.3,-1.445,1.208545,36,-115.77,0.752554,45,107.3,-0.1,1.210301,4,5,-65.069,0.934953,0.9,0.9,0.585
trend_pullback_short_td5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,5.0,2.0,0.0,10.0,12,180,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,9.250334,199,4.061224,347.76,0.84,0.517588,1.267759,-273.78,278.11,1.208713,138.81,1.099061,40,136.37,-2.15,1.246641,60,70.82,1.085469,42,96.95,-2.15,1.163444,4,5,-276.26,0.820286,0.84,0.84,0.66
trend_pullback_short_td12.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,12.5,2.0,0.0,10.0,12,180,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,9.233147,105,2.916667,256.83,0.84,0.514286,1.291214,-266.25,220.08,1.244593,146.58,1.156547,21,107.5,5.06,1.633658,32,11.76,1.025519,36,47.83,-2.39,1.092547,4,5,-304.741,0.758197,0.82,0.82,0.625
trend_pullback_short_td12.5_pb2_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,0.0,0.0,8,120,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,9.034759,128,3.555556,284.0,0.15,0.507812,1.340116,-204.25,239.2,1.278957,149.6,1.165511,26,37.62,-1.445,1.148479,39,-65.53,0.863206,45,97.84,-0.1,1.19176,4,5,-65.959,0.936628,0.895,0.895,0.655
trend_pullback_short_td12.5_pb2_slope0_sma505_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,0.0,5.0,8,120,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,8.965001,122,3.388889,277.14,0.285,0.508197,1.33874,-204.25,234.44,1.279335,149.04,1.168813,25,45.0,-1.11,1.182934,37,-85.67,0.81689,45,97.84,-0.1,1.19176,4,5,-186.7845,0.819461,0.825,0.825,0.535
trend_pullback_short_td12.5_pb2_slope5_sma500_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,5.0,0.0,8,120,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,8.94676,90,3.103448,214.79,1.365,0.522222,1.294774,-250.21,183.29,1.246454,120.29,1.155452,18,22.82,-2.19,1.107333,28,-130.24,0.687906,38,48.15,-1.935,1.095469,4,5,-265.9355,0.683075,0.765,0.765,0.625
trend_pullback_short_td12.5_pb2_slope2_sma505_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,2.0,5.0,8,120,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,8.764783,113,3.323529,259.99,0.24,0.504425,1.326358,-204.25,220.44,1.270025,141.34,1.16493,23,40.98,-1.78,1.166592,34,-85.75,0.799425,44,96.98,-0.605,1.190075,4,5,-261.1065,0.765166,0.805,0.805,0.545
trend_pullback_short_td7.5_pb2_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,0.0,8,120,4,KEEP_REFINED_WATCHLIST,Positive but still not robust enough for forward-shadow design.,8.579833,236,4.72,306.31,0.355,0.512712,1.228385,-229.9,223.71,1.161876,58.51,1.039864,48,105.65,-0.605,1.17833,71,112.5,1.139447,51,93.19,-0.1,1.150583,5,5,-174.9985,0.87608,0.825,0.825,0.67
