variant,family,side,trend_dist,pullback,slope_min,sma50_dist,horizon_bars,horizon_minutes,decision,reason,score,events,freq_per_month,total_x1,median_x1,pf_x1,dd_x1,total_x2,pf_x2,total_x4,pf_x4,test20_events,test20_total,test20_pf,test30_total,test30_pf,events_2026,total_2026,median_2026,pf_2026,pos_years,years,boot_total_p05,boot_pf_p05,boot_prob_total_gt_0,boot_prob_pf_gt_1,boot_prob_median_gt_0
trend_pullback_short_td7.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,10.0,12,180,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,10.081568,165,3.4375,341.57,1.19,1.287162,-190.8,283.82,1.23319,168.32,1.132222,33,11.71,1.025025,61.2,1.080961,40,109.77,-2.39,1.191011,4,5,-132.3135,0.908652,0.87,0.87,0.71
trend_pullback_short_td7.5_pb0.5_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,7.5,0.5,0.0,10.0,12,180,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,9.393699,134,3.35,337.43,1.41,1.305461,-220.09,290.53,1.257916,196.73,1.167903,27,79.36,1.203581,124.91,1.183856,38,49.05,-2.47,1.078489,3,5,-197.2525,0.836231,0.78,0.78,0.72
trend_pullback_short_td5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,5.0,2.0,0.0,10.0,12,180,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,9.170334,199,4.061224,347.76,0.84,1.267759,-273.78,278.11,1.208713,138.81,1.099061,40,136.37,1.246641,70.82,1.085469,42,96.95,-2.15,1.163444,4,5,-288.487,0.821494,0.82,0.82,0.75
trend_pullback_short_td12.5_pb2_slope2_sma500_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,2.0,0.0,8,120,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,9.161315,117,3.441176,283.76,0.24,1.352199,-204.25,242.81,1.29392,160.91,1.185357,24,51.3,1.208545,-115.77,0.752554,45,107.3,-0.1,1.210301,4,5,-163.981,0.867171,0.84,0.84,0.37
trend_pullback_short_td12.5_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,12.5,2.0,0.0,10.0,12,180,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,9.033147,105,2.916667,256.83,0.84,1.291214,-266.25,220.08,1.244593,146.58,1.156547,21,107.5,1.633658,11.76,1.025519,36,47.83,-2.39,1.092547,4,5,-236.4845,0.754947,0.77,0.77,0.62
trend_pullback_short_td12.5_pb2_slope0_sma505_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,0.0,5.0,8,120,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,8.865001,122,3.388889,277.14,0.285,1.33874,-204.25,234.44,1.279335,149.04,1.168813,25,45.0,1.182934,-85.67,0.81689,45,97.84,-0.1,1.19176,4,5,-183.9485,0.82378,0.8,0.8,0.53
trend_pullback_short_td7.5_pb2_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,7.5,2.0,0.0,0.0,8,120,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,8.679833,236,4.72,306.31,0.355,1.228385,-229.9,223.71,1.161876,58.51,1.039864,48,105.65,1.17833,112.5,1.139447,51,93.19,-0.1,1.150583,5,5,-253.48,0.857455,0.85,0.85,0.63
trend_pullback_short_td12.5_pb2_slope0_sma500_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,0.0,0.0,8,120,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,8.574758,128,3.555556,284.0,0.15,1.340116,-204.25,239.2,1.278957,149.6,1.165511,26,37.62,1.148479,-65.53,0.863206,45,97.84,-0.1,1.19176,4,5,-215.119,0.780464,0.78,0.78,0.56
trend_pullback_short_td12.5_pb2_slope2_sma505_ny_h8,trend_pullback_short_refined,SHORT,12.5,2.0,2.0,5.0,8,120,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,8.544783,113,3.323529,259.99,0.24,1.326358,-204.25,220.44,1.270025,141.34,1.16493,23,40.98,1.166592,-85.75,0.799425,44,96.98,-0.605,1.190075,4,5,-241.3595,0.744607,0.75,0.75,0.51
trend_pullback_short_td10_pb2_slope0_sma5010_ny_h12,trend_pullback_short_refined,SHORT,10.0,2.0,0.0,10.0,12,180,KEEP_REFINED_WATCHLIST,Positive exact replay but still not robust enough for forward-shadow design.,7.927944,137,3.186047,247.94,1.19,1.232034,-255.0,199.99,1.1832,104.09,1.091411,28,12.17,1.033906,68.5,1.10702,38,8.32,-2.39,1.014659,4,5,-304.6125,0.75897,0.76,0.76,0.74
