signal_time,entry_time,exit_time,direction,entry,exit,tp,sl,gross,net_x1,net_x4,exit_reason,family,candidate
2022-05-02 15:00:00,2022-05-02 15:01:00,2022-05-02 15:19:00,long,1875.67,1872.77071,1877.98943,1872.77071,-2.89929,-3.24929,-4.29929,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-05-09 15:00:00,2022-05-09 15:01:00,2022-05-09 15:06:00,long,1860.72,1862.75657,1862.75657,1858.17429,2.03657,1.68657,0.63657,tp,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-05-25 15:00:00,2022-05-25 15:01:00,2022-05-25 15:14:00,long,1855.53,1853.58,1857.09,1853.58,-1.95,-2.3,-3.35,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-06-02 15:00:00,2022-06-02 15:01:00,2022-06-02 15:02:00,short,1855.67,1857.28036,1854.38171,1857.28036,-1.61036,-1.96036,-3.01036,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-06-07 15:00:00,2022-06-07 15:01:00,2022-06-07 15:12:00,short,1847.06,1849.15464,1845.38429,1849.15464,-2.09464,-2.44464,-3.49464,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-06-09 15:00:00,2022-06-09 15:01:00,2022-06-09 15:15:00,long,1845.78,1844.15571,1847.07943,1844.15571,-1.62429,-1.97429,-3.02429,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-06-13 15:00:00,2022-06-13 15:01:00,2022-06-13 15:17:00,long,1856.17,1853.29821,1858.46743,1853.29821,-2.87179,-3.22179,-4.27179,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-06-15 15:00:00,2022-06-15 15:01:00,2022-06-15 15:22:00,short,1831.12,1828.98657,1828.98657,1833.78679,2.13343,1.78343,0.73343,tp,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-07-05 15:00:00,2022-07-05 15:01:00,2022-07-05 15:08:00,long,1796.85,1798.34714,1798.34714,1794.97857,1.49714,1.14714,0.09714,tp,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-07-06 15:00:00,2022-07-06 15:01:00,2022-07-06 15:08:00,long,1762.72,1764.47314,1764.47314,1760.52857,1.75314,1.40314,0.35314,tp,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
2022-07-14 15:00:00,2022-07-14 15:01:00,2022-07-14 15:21:00,long,1713.48,1710.88429,1715.55657,1710.88429,-2.59571,-2.94571,-3.99571,sl_conservative,london_oneway_fade,london_oneway_fade_mv1.2_eff0.6_cont0.0_h90_e15_tp0.4_sl0.5
