source,family,name,events,pf_x1,pf_x4,pf_x6,test20_pf_x1,pf_2026_x1,boot_pf_p05_x1,median_x1,total_x1,rank_score
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,777,0.9701,0.7075,0.5665,1.0092,0.8109,0.8402,2.4938,-80.2409,16.8995
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h180_e15_tp0.8_sl0.8,777,0.9701,0.7075,0.5665,1.0092,0.8109,0.8402,2.4938,-80.2409,16.8995
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h90_e15_tp0.8_sl0.8,777,0.9608,0.6819,0.5359,0.9878,0.7749,0.8257,1.7359,-97.2524,16.6639
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h90_e15_tp0.8_sl0.8,777,0.9608,0.6819,0.5359,0.9878,0.7749,0.8257,1.7359,-97.2524,16.6639
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h180_e15_tp0.8_sl0.8,875,0.9231,0.6687,0.5328,0.9807,0.7564,0.8016,2.1022,-232.9957,16.6421
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h180_e15_tp0.8_sl0.8,875,0.9231,0.6687,0.5328,0.9807,0.7564,0.8016,2.1022,-232.9957,16.6421
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e15_tp0.6_sl0.65,777,0.9009,0.6003,0.4453,0.9392,0.7459,0.792,1.8422,-218.9735,16.4168
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h180_e15_tp0.6_sl0.65,777,0.9009,0.6003,0.4453,0.9392,0.7459,0.792,1.8422,-218.9735,16.4168
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h90_e15_tp0.6_sl0.65,777,0.8979,0.5884,0.4312,0.9757,0.7965,0.7808,1.7816,-217.1555,16.3937
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h90_e15_tp0.6_sl0.65,777,0.8979,0.5884,0.4312,0.9757,0.7965,0.7808,1.7816,-217.1555,16.3937
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h90_e15_tp0.8_sl0.8,875,0.9154,0.6459,0.5055,0.967,0.7274,0.7934,0.84,-237.7,16.3253
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h90_e15_tp0.8_sl0.8,875,0.9154,0.6459,0.5055,0.967,0.7274,0.7934,0.84,-237.7,16.3253
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h180_e15_tp0.6_sl0.65,875,0.8532,0.5632,0.4147,0.9114,0.6968,0.7215,1.6909,-367.6768,16.1685
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h180_e15_tp0.6_sl0.65,875,0.8532,0.5632,0.4147,0.9114,0.6968,0.7215,1.6909,-367.6768,16.1685
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h90_e15_tp0.6_sl0.65,875,0.8501,0.5523,0.402,0.9428,0.7375,0.7419,1.4892,-362.201,16.156
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h90_e15_tp0.6_sl0.65,875,0.8501,0.5523,0.402,0.9428,0.7375,0.7419,1.4892,-362.201,16.156
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e13_tp0.6_sl0.65,750,0.8348,0.5507,0.4056,0.78,0.7662,0.7235,1.5474,-359.2208,16.0121
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h180_e13_tp0.6_sl0.65,750,0.8348,0.5507,0.4056,0.78,0.7662,0.7235,1.5474,-359.2208,16.0121
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h180_e15_tp0.8_sl0.8,241,0.8734,0.6436,0.5188,0.9463,0.6134,0.6948,2.0962,-115.3603,15.9381
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h180_e13_tp0.6_sl0.65,878,0.8017,0.5242,0.3834,0.7695,0.7176,0.6889,1.2491,-504.7535,15.8245
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h180_e13_tp0.6_sl0.65,878,0.8017,0.5242,0.3834,0.7695,0.7176,0.6889,1.2491,-504.7535,15.8245
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h90_e15_tp0.8_sl0.8,241,0.8659,0.621,0.4908,0.9239,0.5936,0.6652,1.32,-112.8365,15.685
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h180_e15_tp0.6_sl0.65,241,0.8398,0.5666,0.4245,0.8891,0.6763,0.6351,1.7721,-117.6968,15.5987
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h180_e13_tp0.8_sl0.8,750,0.7741,0.552,0.4337,0.634,0.4704,0.6752,0.355,-620.3086,15.5499
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h180_e13_tp0.8_sl0.8,750,0.7741,0.552,0.4337,0.634,0.4704,0.6752,0.355,-620.3086,15.5499
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h90_e13_tp0.6_sl0.65,750,0.8049,0.4864,0.3433,0.8018,0.8226,0.695,-0.25,-345.502,15.4979
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h90_e13_tp0.6_sl0.65,750,0.8049,0.4864,0.3433,0.8018,0.8226,0.695,-0.25,-345.502,15.4979
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h90_e13_tp0.6_sl0.65,878,0.8028,0.4755,0.3312,0.8257,0.8164,0.7033,-0.325,-392.5659,15.491
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h90_e13_tp0.6_sl0.65,878,0.8028,0.4755,0.3312,0.8257,0.8164,0.7033,-0.325,-392.5659,15.491
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h180_e13_tp0.6_sl0.65,246,0.7808,0.5358,0.4075,0.7023,0.6951,0.5984,1.3152,-178.0916,15.4706
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.1_h180_e13_tp0.6_sl0.65,246,0.7808,0.5358,0.4075,0.7023,0.6951,0.5984,1.3152,-178.0916,15.4706
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.1_h90_e15_tp0.6_sl0.65,241,0.8065,0.5344,0.3943,0.8229,0.6341,0.5952,1.5622,-139.8753,15.3738
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.1_h90_e15_tp0.6_sl0.65,241,0.8065,0.5344,0.3943,0.8229,0.6341,0.5952,1.5622,-139.8753,15.3738
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h180_e13_tp0.8_sl0.8,878,0.7563,0.5356,0.4188,0.6379,0.471,0.6438,-0.495,-775.5043,15.2977
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h180_e13_tp0.8_sl0.8,878,0.7563,0.5356,0.4188,0.6379,0.471,0.6438,-0.495,-775.5043,15.2977
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h90_e15_tp0.8_sl0.8,284,0.7753,0.5532,0.436,0.7611,0.4903,0.6354,-1.685,-231.1338,15.1822
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h90_e15_tp0.8_sl0.8,284,0.7753,0.5532,0.436,0.7611,0.4903,0.6354,-1.685,-231.1338,15.1822
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.0_h90_e13_tp0.8_sl0.8,878,0.7197,0.4383,0.3157,0.6637,0.5665,0.6234,-0.51,-611.7981,15.094
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.0_h90_e13_tp0.8_sl0.8,878,0.7197,0.4383,0.3157,0.6637,0.5665,0.6234,-0.51,-611.7981,15.094
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.7_cf0.0_h90_e13_tp0.8_sl0.8,750,0.7053,0.4354,0.316,0.6221,0.5478,0.5891,-0.455,-574.2215,15.0122
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.7_cf0.0_h90_e13_tp0.8_sl0.8,750,0.7053,0.4354,0.316,0.6221,0.5478,0.5891,-0.455,-574.2215,15.0122
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.2_ext0.45_cf0.1_h180_e15_tp0.8_sl0.8,284,0.779,0.5706,0.4579,0.7844,0.5103,0.6424,-2.9389,-245.8381,14.9885
M15_PROXY,prev_day_expansion_exhaustion_reversal,prev_exp_exhaust_rev_px1.5_ext0.45_cf0.1_h180_e15_tp0.8_sl0.8,284,0.779,0.5706,0.4579,0.7844,0.5103,0.6424,-2.9389,-245.8381,14.9885
