decision,filter_name,rule,retained_events,removed_events,retained_ratio,pf_x1,pf_x4,pf_x6,total_x1,total_x4,total_x6,win_rate_x4,median_x4,improvement_pf_x4
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,keep_short_only,short-only diagnostic,204,264,0.4359,10.71167936694021,5.565865982252145,3.3383973509306677,687.9085500000001,473.70855000000006,330.90855000000005,0.8284313725490197,1.0522900000000002,2.6862870395033966
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_range_drop_low30,keep rows satisfying london_range_drop_low30,327,141,0.6987,10.13207077761095,5.425874000227012,3.4501915884307848,1067.05617,723.70617,494.8061700000001,0.8593272171253823,1.4170000000000005,2.5462950574782632
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,asia_range_drop_low30,keep rows satisfying asia_range_drop_low30,327,141,0.6987,8.720870753452985,4.74052125549596,3.068549645101078,1043.5969,700.2469,471.3469000000001,0.8440366972477065,1.40543,1.8609423127472113
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,early_ny_range_drop_low30,keep rows satisfying early_ny_range_drop_low30,330,138,0.7051,8.054053882065652,4.417192385865777,2.8479124397740407,1030.91019,684.41019,453.41019000000006,0.8393939393939394,1.4170000000000005,1.5376134431170283
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_range_drop_low20,keep rows satisfying london_range_drop_low20,375,93,0.8013,8.401102200380459,4.3524181624656135,2.632942858436159,1091.67227,697.92227,435.42227000000014,0.8293333333333334,1.18857,1.4728392197168652
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,early_ny_range_drop_low20,keep rows satisfying early_ny_range_drop_low20,375,93,0.8013,7.769687637126002,4.127061127680444,2.5425500157392857,1083.01869,689.2686900000001,426.7686900000001,0.8426666666666667,1.18857,1.247482184931696
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,diagnostic_drop_year_2022,diagnostic only: exclude year 2022,351,117,0.75,7.494573431496567,3.8823780051052044,2.3903335919881292,1015.87059,647.32059,401.6205900000001,0.7891737891737892,1.17871,1.002799062356456
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,prior_day_range_drop_low30,keep rows satisfying prior_day_range_drop_low30,330,138,0.7051,7.161643947987618,3.8335419053760056,2.4569187233751566,985.49093,638.9909299999999,407.9909300000001,0.806060606060606,1.40543,0.9539629626272572
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,asia_range_drop_low20,keep rows satisfying asia_range_drop_low20,375,93,0.8013,7.21256355609602,3.7924922644444226,2.372092608981054,1064.4776000000002,670.7275999999999,408.22760000000005,0.8133333333333334,1.18857,0.9129133216956742
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_eff_middle_30_70,keep rows satisfying london_eff_middle_30_70,192,276,0.4103,7.001059636880533,3.6359552999280162,2.2983285742511557,575.84608,374.24608,239.84608000000006,0.7708333333333334,1.18857,0.7563763571792679
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,diagnostic_drop_year_2023,diagnostic only: exclude year 2023,357,111,0.7628,6.784320173991324,3.592988434503112,2.214446933260099,994.79311,619.9431099999999,370.0431100000001,0.803921568627451,1.1495700000000002,0.7134094917543634
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,prior_day_range_drop_low20,keep rows satisfying prior_day_range_drop_low20,375,93,0.8013,6.565091006276189,3.3995599433226316,2.1022730125633045,1021.98294,628.23294,365.73294000000016,0.7973333333333333,1.17871,0.5199810005738832
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,drop_prior_day_aligned,trade direction not aligned with prior-day direction,231,237,0.4936,6.737288567968675,3.1982746956235237,1.8057010039630066,560.00641,317.45641,155.75641000000005,0.7835497835497836,0.84829,0.31869575287477536
STAGE25A_FILTER_CANDIDATE_REVIEW_ONLY,london_eff_drop_low30,keep rows satisfying london_eff_drop_low30,330,138,0.7051,6.345727938234,3.1873333599985707,1.9258146930789324,860.5509,514.0509000000001,283.05090000000007,0.7696969696969697,1.1495700000000002,0.30775441724982233
