source_stage,family,candidate,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,original_pf_x4,original_total_x4,mirror_minus_original_pf_x4,decision
stage26b,htf_bias_pullback_v2,htf_pb_lm0.75_eff0.55_pb0.3_h180_tp08_sl08,53,1.1341,0.5042,0.2851,0.2641,-0.0582,-46.3075,0.4906,0.2493,-102.0925,0.2549,STAGE26D_REJECT
stage26b,htf_bias_pullback_v2,htf_pb_lm0.75_eff0.55_pb0.3_h90_tp08_sl08,53,1.0679,0.4584,0.254,0.2143,-0.124,-50.9225,0.4717,0.2581,-97.4775,0.2003,STAGE26D_REJECT
stage26b,htf_bias_pullback_v2,htf_pb_lm1.0_eff0.55_pb0.3_h90_tp08_sl08,53,1.0679,0.4584,0.254,0.2143,-0.124,-50.9225,0.4717,0.2581,-97.4775,0.2003,STAGE26D_REJECT
stage26b,session_transition_imbalance_v2,sess_imb_lm0.75_eff0.7_h180_tp08_sl08,215,0.8591,0.4321,0.2805,0.2896,-2.521,-276.644,0.3721,0.3375,-325.356,0.0946,STAGE26D_REJECT
stage26b,session_transition_imbalance_v2,sess_imb_lm0.75_eff0.7_h90_tp08_sl08,215,0.8591,0.4321,0.2805,0.2896,-2.521,-276.644,0.3721,0.3375,-325.356,0.0946,STAGE26D_REJECT
stage26b,session_transition_imbalance_v2,sess_imb_lm1.0_eff0.7_h180_tp08_sl08,215,0.8591,0.4321,0.2805,0.2896,-2.521,-276.644,0.3721,0.3375,-325.356,0.0946,STAGE26D_REJECT
stage26b,asia_breakout_pullback_v2,asia_br_pb_ar0.45_hold0.15_h180_tp08_sl08,547,0.8737,0.387,0.2255,0.3051,-0.394,-677.5057,0.4205,0.3046,-854.0943,0.0824,STAGE26D_REJECT
stage26b,asia_breakout_pullback_v2,asia_br_pb_ar0.45_hold0.15_h90_tp08_sl08,547,0.8626,0.3771,0.2177,0.2941,-0.4142,-685.7705,0.4168,0.3049,-845.8295,0.0722,STAGE26D_REJECT
stage26b,asia_breakout_pullback_v2,asia_br_pb_ar0.7_hold0.15_h90_tp08_sl08,547,0.8626,0.3771,0.2177,0.2941,-0.4142,-685.7705,0.4168,0.3049,-845.8295,0.0722,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,fail_asia_br_b0.15_r0.0_e12_tp0.8_sl0.8,330,0.7414,0.3493,0.2178,0.2437,-2.1901,-494.0485,0.3758,0.4006,-429.9515,-0.0513,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,fail_asia_br_b0.15_r0.1_e12_tp0.8_sl0.8,317,0.7357,0.3491,0.2195,0.2447,-2.2598,-478.4953,0.3722,0.4017,-409.1047,-0.0526,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,fail_asia_br_b0.15_r0.0_e13_tp0.8_sl0.8,311,0.7222,0.3267,0.193,0.2442,-1.8,-472.0195,0.3859,0.3933,-398.7805,-0.0666,STAGE26D_REJECT
stage26b,squeeze_release_continuation_v2,squeeze_release_q0.3_lm1.0_h180_tp08_sl08,154,0.7317,0.2809,0.1494,0.1816,-0.5349,-221.498,0.3636,0.3151,-209.702,-0.0342,STAGE26D_REJECT
stage26b,squeeze_release_continuation_v2,squeeze_release_q0.3_lm0.7_h180_tp08_sl08,192,0.6724,0.2673,0.1429,0.1816,-1.4473,-300.5542,0.3698,0.3709,-237.0458,-0.1036,STAGE26D_REJECT
stage26b,squeeze_release_continuation_v2,squeeze_release_q0.3_lm0.7_h90_tp08_sl08,192,0.6718,0.2671,0.143,0.1816,-1.235,-300.2315,0.3646,0.3703,-237.3685,-0.1032,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,htf_bias_pullback_cont_lm0.6_eff0.55_pb0.15_h180_e13_tp0.8_sl0.8,188,0.4771,0.2278,0.1288,0.1511,-2.8629,-420.2051,0.367,0.6909,-106.1949,-0.4631,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,htf_bias_pullback_cont_lm0.6_eff0.55_pb0.15_h90_e13_tp0.8_sl0.8,188,0.4541,0.2109,0.1168,0.1447,-2.8211,-426.3651,0.3457,0.7007,-100.0349,-0.4898,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,htf_bias_pullback_cont_lm0.6_eff0.7_pb0.15_h180_e13_tp0.8_sl0.8,114,0.41,0.1978,0.109,0.1177,-3.0783,-288.9611,0.3596,0.8484,-30.2389,-0.6506,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,htf_bias_pullback_cont_lm0.6_eff0.7_pb0.15_h90_e13_tp0.8_sl0.8,114,0.3792,0.174,0.0905,0.1054,-2.9303,-295.3737,0.3421,0.8755,-23.8263,-0.7015,STAGE26D_REJECT
