source_stage,family,direction_label,entry_hour,events,pf_x1,pf_x4,pf_x6,boot_pf_p05_x4,median_x4,total_x4,win_rate_x4,original_pf_x4,original_total_x4,mirror_minus_original_pf_x4,decision
stage26b,htf_bias_pullback_v2,-1,13,66,1.1202,0.5992,0.3972,0.3269,-0.3238,-56.3235,0.4091,0.3218,-128.4765,0.2774,STAGE26D_REJECT
stage26b,asia_breakout_pullback_v2,-1,13,723,0.9788,0.4806,0.301,0.3897,-0.5223,-782.987,0.4246,0.303,-1241.413,0.1776,STAGE26D_REJECT
stage26b,session_transition_imbalance_v2,1,13,384,1.0942,0.4782,0.2762,0.3749,-0.3695,-357.5955,0.4297,0.1982,-717.6045,0.28,STAGE26D_REJECT
stage26b,squeeze_release_continuation_v2,-1,13,248,1.0291,0.443,0.2504,0.3134,-0.3611,-250.9697,0.4315,0.2396,-443.4303,0.2034,STAGE26D_REJECT
stage26b,session_transition_imbalance_v2,-1,13,261,0.669,0.3913,0.2844,0.2757,-2.8217,-472.3365,0.2874,0.5531,-258.4635,-0.1618,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,-1,13,170,0.8472,0.3628,0.2063,0.2565,-0.45,-216.5598,0.3941,0.3108,-259.4402,0.052,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,-1,12,337,0.8126,0.3569,0.2105,0.2637,-0.4655,-451.426,0.4036,0.3338,-492.174,0.0231,STAGE26D_REJECT
stage26b,htf_bias_pullback_v2,1,13,93,1.0576,0.3484,0.1405,0.2219,0.0517,-91.829,0.5269,0.1947,-168.571,0.1537,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,1,12,310,0.6744,0.3423,0.2261,0.2221,-2.4272,-521.1178,0.3419,0.4762,-346.8822,-0.1339,STAGE26D_REJECT
stage26b,asia_breakout_pullback_v2,1,13,918,0.7702,0.2965,0.1543,0.2488,-0.374,-1266.0597,0.4129,0.3065,-1304.3403,-0.01,STAGE26D_REJECT
stage26c,failed_asia_breakout_reversal_v1,1,13,141,0.6087,0.2928,0.18,0.187,-2.5302,-255.4597,0.3759,0.5038,-139.3403,-0.211,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,long,13,392,0.5347,0.2302,0.116,0.1829,-2.8629,-757.2823,0.3776,0.5147,-340.3177,-0.2845,STAGE26D_REJECT
stage26a,htf_bias_pullback_continuation,short,13,212,0.3293,0.177,0.1108,0.126,-2.9491,-673.6229,0.3113,1.2178,80.0229,-1.0408,STAGE26D_REJECT
stage26b,squeeze_release_continuation_v2,1,13,290,0.4677,0.1565,0.073,0.1168,-2.566,-571.314,0.3103,0.4951,-240.686,-0.3386,STAGE26D_REJECT
