signal_idx,signal_time_utc,entry_target_time_utc,planned_exit_target_time_utc,direction,direction_label,signal_close,sma,diff,reason,scenario,side_filter,tp_usd,sl_usd,entry_time_utc,exit_time_utc,entry_hour_utc,entry_month_utc,entry_year_utc,session_utc,entry_price,exit_price,exit_reason,ambiguous_exit,raw_usd,cost_usd,net_usd,mfe_usd,mae_usd,m1_bars_in_trade
38,2022-05-03T16:00:00+00:00,2022-05-03T17:00:00+00:00,2022-05-04T06:00:00+00:00,1,long,1871.23,1860.1179999999997,11.112000000000307,close_sma_diff_11.1120,side=long|tp=None|sl=None,long,,,2022-05-03 17:00:00+00:00,2022-05-04 06:00:00+00:00,17,2022-05,2022,new_york,1871.01,1863.54,time_exit,False,-7.470000000000027,0.35,-7.820000000000027,7.120000000000118,9.440000000000055,711
66,2022-05-04T21:00:00+00:00,2022-05-04T22:00:00+00:00,2022-05-05T11:00:00+00:00,1,long,1885.8,1869.307,16.492999999999938,close_sma_diff_16.4930,side=long|tp=None|sl=None,long,,,2022-05-04 22:00:00+00:00,2022-05-05 11:00:00+00:00,22,2022-05,2022,other,1885.95,1894.87,time_exit,False,8.919999999999845,0.35,8.569999999999846,17.450000000000045,4.410000000000082,711
170,2022-05-11T10:00:00+00:00,2022-05-11T11:00:00+00:00,2022-05-11T23:00:00+00:00,1,long,1848.74,1838.673,10.067000000000007,close_sma_diff_10.0670,side=long|tp=None|sl=None,long,,,2022-05-11 11:00:00+00:00,2022-05-11 23:00:00+00:00,11,2022-05,2022,london,1848.75,1852.65,time_exit,False,3.900000000000091,0.35,3.550000000000091,9.400000000000091,13.6400000000001,713
310,2022-05-19T12:00:00+00:00,2022-05-19T13:00:00+00:00,2022-05-20T02:00:00+00:00,1,long,1829.65,1817.123,12.527000000000044,close_sma_diff_12.5270,side=long|tp=None|sl=None,long,,,2022-05-19 13:00:00+00:00,2022-05-20 02:00:00+00:00,13,2022-05,2022,london_ny_overlap,1829.76,1841.89,time_exit,False,12.13000000000011,0.35,11.78000000000011,19.3900000000001,3.349999999999909,706
518,2022-06-01T15:00:00+00:00,2022-06-01T16:00:00+00:00,2022-06-02T05:00:00+00:00,1,long,1844.2,1833.7779999999998,10.422000000000253,close_sma_diff_10.4220,side=long|tp=None|sl=None,long,,,2022-06-01 16:00:00+00:00,2022-06-02 05:00:00+00:00,16,2022-06,2022,london_ny_overlap,1844.19,1844.89,time_exit,False,0.7000000000000455,0.35,0.3500000000000455,5.829999999999927,6.2999999999999545,708
542,2022-06-02T16:00:00+00:00,2022-06-02T17:00:00+00:00,2022-06-03T06:00:00+00:00,1,long,1864.0,1853.4299999999998,10.570000000000164,close_sma_diff_10.5700,side=long|tp=None|sl=None,long,,,2022-06-02 17:00:00+00:00,2022-06-03 06:00:00+00:00,17,2022-06,2022,new_york,1864.03,1870.32,time_exit,False,6.289999999999964,0.35,5.939999999999964,10.059999999999945,0.599999999999909,708
681,2022-06-10T17:00:00+00:00,2022-06-10T18:00:00+00:00,2022-06-13T07:00:00+00:00,1,long,1855.88,1842.8110000000001,13.06899999999996,close_sma_diff_13.0690,side=long|tp=None|sl=None,long,,,2022-06-10 18:00:00+00:00,2022-06-13 07:00:00+00:00,18,2022-06,2022,new_york,1855.93,1863.22,time_exit,False,7.289999999999964,0.35,6.939999999999964,22.84999999999991,0.7699999999999818,706
747,2022-06-15T14:00:00+00:00,2022-06-15T15:00:00+00:00,2022-06-16T04:00:00+00:00,1,long,1831.18,1821.1009999999999,10.079000000000178,close_sma_diff_10.0790,side=long|tp=None|sl=None,long,,,2022-06-15 15:00:00+00:00,2022-06-16 04:00:00+00:00,15,2022-06,2022,london_ny_overlap,1831.2,1833.56,time_exit,False,2.3599999999999,0.35,2.0099999999999,10.61999999999989,17.65000000000009,708
861,2022-06-22T15:00:00+00:00,2022-06-22T16:00:00+00:00,2022-06-23T05:00:00+00:00,1,long,1844.68,1829.6970000000001,14.982999999999947,close_sma_diff_14.9830,side=long|tp=None|sl=None,long,,,2022-06-22 16:00:00+00:00,2022-06-23 05:00:00+00:00,16,2022-06,2022,london_ny_overlap,1844.7,1833.2,time_exit,False,-11.5,0.35,-11.85,3.230000000000018,11.660000000000082,709
976,2022-06-29T15:00:00+00:00,2022-06-29T16:00:00+00:00,2022-06-30T05:00:00+00:00,1,long,1831.35,1820.959,10.390999999999849,close_sma_diff_10.3910,side=long|tp=None|sl=None,long,,,2022-06-29 16:00:00+00:00,2022-06-30 05:00:00+00:00,16,2022-06,2022,london_ny_overlap,1831.35,1820.29,time_exit,False,-11.059999999999945,0.35,-11.409999999999945,1.3300000000001546,16.439999999999827,711
1025,2022-07-01T18:00:00+00:00,2022-07-01T19:00:00+00:00,2022-07-04T08:00:00+00:00,1,long,1806.38,1795.4869999999999,10.893000000000256,close_sma_diff_10.8930,side=long|tp=None|sl=None,long,,,2022-07-01 19:00:00+00:00,2022-07-04 08:00:00+00:00,19,2022-07,2022,new_york,1806.38,1812.22,time_exit,False,5.839999999999918,0.35,5.4899999999999185,7.879999999999882,8.450000000000045,716
1342,2022-07-21T15:00:00+00:00,2022-07-21T16:00:00+00:00,2022-07-22T05:00:00+00:00,1,long,1706.81,1690.0430000000001,16.766999999999825,close_sma_diff_16.7670,side=long|tp=None|sl=None,long,,,2022-07-21 16:00:00+00:00,2022-07-22 05:00:00+00:00,16,2022-07,2022,london_ny_overlap,1706.81,1716.86,time_exit,False,10.049999999999955,0.35,9.699999999999955,13.509999999999991,13.579999999999927,718
