signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,session,close_h1,sma10,distance_usd,entry_price,tp_price,sl_price,exit_server_time,exit_utc_time,exit_price,exit_reason,gross_usd,net_usd,ambiguous_exit,bars_m1_used
2022-05-03 16:00:00,2022-05-03 13:00:00,2022-05-03 17:00:00,2022-05-03 14:00:00,london_ny_overlap,1871.0,1859.925,11.075,1870.84,1894.84,1855.84,2022-05-04 04:59:00,2022-05-04 01:59:00,1862.66,time_exit,-8.18,-8.53,False,658
2022-05-03 17:00:00,2022-05-03 14:00:00,2022-05-03 18:00:00,2022-05-03 15:00:00,london_ny_overlap,1874.15,1861.509,12.641,1874.15,1898.15,1859.15,2022-05-04 05:59:00,2022-05-04 02:59:00,1863.21,time_exit,-10.94,-11.29,False,658
2022-05-04 21:00:00,2022-05-04 18:00:00,2022-05-04 22:00:00,2022-05-04 19:00:00,new_york,1885.65,1869.092,16.558,1885.78,1909.78,1870.78,2022-05-05 09:59:00,2022-05-05 06:59:00,1897.41,time_exit,11.63,11.28,False,658
2022-05-04 22:00:00,2022-05-04 19:00:00,2022-05-04 23:00:00,2022-05-04 20:00:00,new_york,1883.91,1870.507,13.403,1883.91,1907.91,1868.91,2022-05-05 10:59:00,2022-05-05 07:59:00,1894.94,time_exit,11.03,10.68,False,658
2022-05-05 02:00:00,2022-05-04 23:00:00,2022-05-05 03:00:00,2022-05-05 00:00:00,other,1893.79,1875.939,17.851,1893.81,1917.81,1878.81,2022-05-05 14:59:00,2022-05-05 11:59:00,1897.24,time_exit,3.43,3.08,False,720
2022-05-05 03:00:00,2022-05-05 00:00:00,2022-05-05 04:00:00,2022-05-05 01:00:00,asia,1895.69,1879.23,16.46,1895.71,1919.71,1880.71,2022-05-05 15:59:00,2022-05-05 12:59:00,1906.72,time_exit,11.01,10.66,False,720
2022-05-05 04:00:00,2022-05-05 01:00:00,2022-05-05 05:00:00,2022-05-05 02:00:00,asia,1900.39,1882.612,17.778,1900.39,1924.39,1885.39,2022-05-05 16:59:00,2022-05-05 13:59:00,1894.82,time_exit,-5.57,-5.92,False,720
2022-05-05 05:00:00,2022-05-05 02:00:00,2022-05-05 06:00:00,2022-05-05 03:00:00,asia,1899.51,1885.74,13.77,1899.49,1923.49,1884.49,2022-05-05 17:47:00,2022-05-05 14:47:00,1884.49,stop_loss,-15.0,-15.35,False,708
2022-05-05 06:00:00,2022-05-05 03:00:00,2022-05-05 07:00:00,2022-05-05 04:00:00,asia,1901.05,1889.02,12.03,1901.06,1925.06,1886.06,2022-05-05 17:33:00,2022-05-05 14:33:00,1886.06,stop_loss,-15.0,-15.35,False,634
2022-05-16 21:00:00,2022-05-16 18:00:00,2022-05-16 22:00:00,2022-05-16 19:00:00,new_york,1822.29,1810.195,12.095,1822.44,1846.44,1807.44,2022-05-17 09:59:00,2022-05-17 06:59:00,1830.09,time_exit,7.65,7.3,False,658
2022-05-16 22:00:00,2022-05-16 19:00:00,2022-05-16 23:00:00,2022-05-16 20:00:00,new_york,1826.12,1812.786,13.334,1826.15,1850.15,1811.15,2022-05-17 10:59:00,2022-05-17 07:59:00,1823.97,time_exit,-2.18,-2.53,False,658
2022-05-19 16:00:00,2022-05-19 13:00:00,2022-05-19 17:00:00,2022-05-19 14:00:00,london_ny_overlap,1839.26,1824.388,14.872,1839.27,1863.27,1824.27,2022-05-20 04:59:00,2022-05-20 01:59:00,1837.93,time_exit,-1.34,-1.69,False,657
2022-05-19 17:00:00,2022-05-19 14:00:00,2022-05-19 18:00:00,2022-05-19 15:00:00,london_ny_overlap,1845.62,1827.433,18.187,1845.57,1869.57,1830.57,2022-05-20 05:59:00,2022-05-20 02:59:00,1838.52,time_exit,-7.05,-7.4,False,657
2022-05-19 18:00:00,2022-05-19 15:00:00,2022-05-19 19:00:00,2022-05-19 16:00:00,london_ny_overlap,1842.15,1830.287,11.863,1842.17,1866.17,1827.17,2022-05-20 06:59:00,2022-05-20 03:59:00,1841.42,time_exit,-0.75,-1.1,False,657
2022-06-01 16:00:00,2022-06-01 13:00:00,2022-06-01 17:00:00,2022-06-01 14:00:00,london_ny_overlap,1845.11,1834.438,10.672,1843.83,1867.83,1828.83,2022-06-02 04:59:00,2022-06-02 01:59:00,1844.7,time_exit,0.87,0.52,False,658
2022-06-02 16:00:00,2022-06-02 13:00:00,2022-06-02 17:00:00,2022-06-02 14:00:00,london_ny_overlap,1863.78,1853.216,10.564,1863.79,1887.79,1848.79,2022-06-03 04:59:00,2022-06-03 01:59:00,1871.73,time_exit,7.94,7.59,False,657
2022-06-02 17:00:00,2022-06-02 14:00:00,2022-06-02 18:00:00,2022-06-02 15:00:00,london_ny_overlap,1865.26,1855.258,10.002,1865.22,1889.22,1850.22,2022-06-03 05:59:00,2022-06-03 02:59:00,1870.08,time_exit,4.86,4.51,False,657
2022-06-02 18:00:00,2022-06-02 15:00:00,2022-06-02 19:00:00,2022-06-02 16:00:00,london_ny_overlap,1867.77,1857.231,10.539,1867.77,1891.77,1852.77,2022-06-03 06:59:00,2022-06-03 03:59:00,1868.75,time_exit,0.98,0.63,False,657
2022-06-10 17:00:00,2022-06-10 14:00:00,2022-06-10 18:00:00,2022-06-10 15:00:00,london_ny_overlap,1855.66,1842.571,13.089,1855.74,1879.74,1840.74,2022-06-10 22:58:00,2022-06-10 19:58:00,1872.14,time_exit,16.4,16.05,False,299
2022-06-10 18:00:00,2022-06-10 15:00:00,2022-06-10 19:00:00,2022-06-10 16:00:00,london_ny_overlap,1867.06,1844.821,22.239,1867.07,1891.07,1852.07,2022-06-10 22:58:00,2022-06-10 19:58:00,1872.14,time_exit,5.07,4.72,False,239
2022-06-10 19:00:00,2022-06-10 16:00:00,2022-06-10 20:00:00,2022-06-10 17:00:00,new_york,1871.5,1847.549,23.951,1871.48,1895.48,1856.48,2022-06-10 22:58:00,2022-06-10 19:58:00,1872.14,time_exit,0.66,0.31,False,179
2022-06-10 20:00:00,2022-06-10 17:00:00,2022-06-10 21:00:00,2022-06-10 18:00:00,new_york,1869.59,1849.974,19.616,1869.56,1893.56,1854.56,2022-06-10 22:58:00,2022-06-10 19:58:00,1872.14,time_exit,2.58,2.23,False,119
2022-06-10 21:00:00,2022-06-10 18:00:00,2022-06-10 22:00:00,2022-06-10 19:00:00,new_york,1873.26,1852.849,20.411,1873.29,1897.29,1858.29,2022-06-10 22:58:00,2022-06-10 19:58:00,1872.14,time_exit,-1.15,-1.5,False,59
2022-06-10 22:00:00,2022-06-10 19:00:00,2022-06-13 01:00:00,2022-06-12 22:00:00,new_york,1872.14,1855.799,16.341,1875.11,1899.11,1860.11,2022-06-13 05:37:00,2022-06-13 02:37:00,1860.11,stop_loss,-15.0,-15.35,False,277
2022-06-13 01:00:00,2022-06-12 22:00:00,2022-06-13 02:00:00,2022-06-12 23:00:00,other,1876.04,1859.148,16.892,1876.03,1900.03,1861.03,2022-06-13 05:06:00,2022-06-13 02:06:00,1861.03,stop_loss,-15.0,-15.35,False,187
2022-06-13 02:00:00,2022-06-12 23:00:00,2022-06-13 03:00:00,2022-06-13 00:00:00,other,1876.79,1863.357,13.433,1876.83,1900.83,1861.83,2022-06-13 05:02:00,2022-06-13 02:02:00,1861.83,stop_loss,-15.0,-15.35,False,123
