replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
non_overlap,2022-05-03 16:00:00,2022-05-03 13:00:00,2022-05-03 17:00:00,2022-05-03 14:00:00,2022-05-04 05:00:00,2022-05-04 02:00:00,london_ny_overlap,1870.84,1871.0,1859.925,11.075,24.0,15.0,12,time_exit,-7.99,-8.34,False
non_overlap,2022-05-04 21:00:00,2022-05-04 18:00:00,2022-05-04 22:00:00,2022-05-04 19:00:00,2022-05-05 10:00:00,2022-05-05 07:00:00,new_york,1885.78,1885.65,1869.092,16.558,24.0,15.0,12,time_exit,11.45,11.1,False
non_overlap,2022-05-16 21:00:00,2022-05-16 18:00:00,2022-05-16 22:00:00,2022-05-16 19:00:00,2022-05-17 10:00:00,2022-05-17 07:00:00,new_york,1822.44,1822.29,1810.195,12.095,24.0,15.0,12,time_exit,5.46,5.11,False
non_overlap,2022-05-19 16:00:00,2022-05-19 13:00:00,2022-05-19 17:00:00,2022-05-19 14:00:00,2022-05-20 05:00:00,2022-05-20 02:00:00,london_ny_overlap,1839.27,1839.26,1824.388,14.872,24.0,15.0,12,time_exit,-1.33,-1.68,False
non_overlap,2022-06-01 16:00:00,2022-06-01 13:00:00,2022-06-01 17:00:00,2022-06-01 14:00:00,2022-06-02 05:00:00,2022-06-02 02:00:00,london_ny_overlap,1843.83,1845.11,1834.438,10.672,24.0,15.0,12,time_exit,0.85,0.5,False
non_overlap,2022-06-02 16:00:00,2022-06-02 13:00:00,2022-06-02 17:00:00,2022-06-02 14:00:00,2022-06-03 05:00:00,2022-06-03 02:00:00,london_ny_overlap,1863.79,1863.78,1853.216,10.564,24.0,15.0,12,time_exit,7.24,6.89,False
non_overlap,2022-06-10 17:00:00,2022-06-10 14:00:00,2022-06-10 18:00:00,2022-06-10 15:00:00,2022-06-10 22:58:00,2022-06-10 19:58:00,london_ny_overlap,1855.74,1855.66,1842.571,13.089,24.0,15.0,12,time_exit,16.4,16.05,False
non_overlap,2022-06-10 22:00:00,2022-06-10 19:00:00,2022-06-13 01:00:00,2022-06-12 22:00:00,2022-06-13 05:37:00,2022-06-13 02:37:00,new_york,1875.11,1872.14,1855.799,16.341,24.0,15.0,12,stop_loss,-15.0,-15.35,False
non_overlap,2022-06-16 18:00:00,2022-06-16 15:00:00,2022-06-16 19:00:00,2022-06-16 16:00:00,2022-06-17 07:00:00,2022-06-17 04:00:00,london_ny_overlap,1845.24,1845.09,1829.631,15.459,24.0,15.0,12,time_exit,-2.91,-3.26,False
non_overlap,2022-06-22 16:00:00,2022-06-22 13:00:00,2022-06-22 17:00:00,2022-06-22 14:00:00,2022-06-23 05:00:00,2022-06-23 02:00:00,london_ny_overlap,1844.43,1844.42,1831.19,13.23,24.0,15.0,12,time_exit,-11.5,-11.85,False
non_overlap,2022-07-01 18:00:00,2022-07-01 15:00:00,2022-07-01 19:00:00,2022-07-01 16:00:00,2022-07-01 22:58:00,2022-07-01 19:58:00,london_ny_overlap,1806.11,1806.11,1795.218,10.892,24.0,15.0,12,time_exit,-0.29,-0.64,False
non_overlap,2022-07-13 17:00:00,2022-07-13 14:00:00,2022-07-13 18:00:00,2022-07-13 15:00:00,2022-07-14 04:13:00,2022-07-14 01:13:00,london_ny_overlap,1742.11,1742.15,1726.984,15.166,24.0,15.0,12,stop_loss,-15.0,-15.35,False
non_overlap,2022-07-21 16:00:00,2022-07-21 13:00:00,2022-07-21 17:00:00,2022-07-21 14:00:00,2022-07-22 05:00:00,2022-07-22 02:00:00,london_ny_overlap,1705.36,1705.63,1691.271,14.359,24.0,15.0,12,time_exit,11.25,10.9,False
non_overlap,2022-07-22 16:00:00,2022-07-22 13:00:00,2022-07-22 17:00:00,2022-07-22 14:00:00,2022-07-22 22:58:00,2022-07-22 19:58:00,london_ny_overlap,1734.49,1734.46,1721.722,12.738,24.0,15.0,12,time_exit,-11.08,-11.43,False
non_overlap,2022-07-27 21:00:00,2022-07-27 18:00:00,2022-07-27 22:00:00,2022-07-27 19:00:00,2022-07-28 10:00:00,2022-07-28 07:00:00,new_york,1734.9,1734.62,1720.727,13.893,24.0,15.0,12,time_exit,5.13,4.78,False
non_overlap,2022-07-28 17:00:00,2022-07-28 14:00:00,2022-07-28 18:00:00,2022-07-28 15:00:00,2022-07-29 06:00:00,2022-07-29 03:00:00,london_ny_overlap,1755.08,1755.06,1744.146,10.914,24.0,15.0,12,time_exit,0.25,-0.1,False
non_overlap,2022-08-23 17:00:00,2022-08-23 14:00:00,2022-08-23 18:00:00,2022-08-23 15:00:00,2022-08-24 06:00:00,2022-08-24 03:00:00,london_ny_overlap,1749.99,1749.94,1739.887,10.053,24.0,15.0,12,time_exit,-5.61,-5.96,False
non_overlap,2022-08-29 16:00:00,2022-08-29 13:00:00,2022-08-29 17:00:00,2022-08-29 14:00:00,2022-08-30 05:00:00,2022-08-30 02:00:00,london_ny_overlap,1740.44,1740.43,1726.899,13.531,24.0,15.0,12,time_exit,-4.6,-4.95,False
non_overlap,2022-09-02 17:00:00,2022-09-02 14:00:00,2022-09-02 18:00:00,2022-09-02 15:00:00,2022-09-02 22:58:00,2022-09-02 19:58:00,london_ny_overlap,1717.09,1717.1,1706.765,10.335,24.0,15.0,12,time_exit,-7.21,-7.56,False
non_overlap,2022-09-06 03:00:00,2022-09-06 00:00:00,2022-09-06 04:00:00,2022-09-06 01:00:00,2022-09-06 15:54:00,2022-09-06 12:54:00,asia,1723.74,1723.74,1712.466,11.274,24.0,15.0,12,stop_loss,-15.0,-15.35,False
non_overlap,2022-09-16 17:00:00,2022-09-16 14:00:00,2022-09-16 18:00:00,2022-09-16 15:00:00,2022-09-16 22:58:00,2022-09-16 19:58:00,london_ny_overlap,1676.86,1676.97,1662.976,13.994,24.0,15.0,12,time_exit,-3.62,-3.97,False
non_overlap,2022-09-21 21:00:00,2022-09-21 18:00:00,2022-09-21 22:00:00,2022-09-21 19:00:00,2022-09-21 22:45:00,2022-09-21 19:45:00,new_york,1685.81,1685.75,1672.291,13.459,24.0,15.0,12,stop_loss,-15.0,-15.35,False
non_overlap,2022-09-28 16:00:00,2022-09-28 13:00:00,2022-09-28 17:00:00,2022-09-28 14:00:00,2022-09-29 05:00:00,2022-09-29 02:00:00,london_ny_overlap,1649.04,1649.13,1626.311,22.819,24.0,15.0,12,time_exit,6.19,5.84,False
non_overlap,2022-10-03 17:00:00,2022-10-03 14:00:00,2022-10-03 18:00:00,2022-10-03 15:00:00,2022-10-04 06:00:00,2022-10-04 03:00:00,london_ny_overlap,1686.76,1686.83,1667.004,19.826,24.0,15.0,12,time_exit,9.39,9.04,False
non_overlap,2022-10-04 17:00:00,2022-10-04 14:00:00,2022-10-04 18:00:00,2022-10-04 15:00:00,2022-10-05 06:00:00,2022-10-05 03:00:00,london_ny_overlap,1720.54,1720.54,1708.724,11.816,24.0,15.0,12,time_exit,-0.85,-1.2,False
non_overlap,2022-10-11 18:00:00,2022-10-11 15:00:00,2022-10-11 19:00:00,2022-10-11 16:00:00,2022-10-11 21:59:00,2022-10-11 18:59:00,london_ny_overlap,1681.38,1681.38,1668.247,13.133,24.0,15.0,12,stop_loss,-15.0,-15.35,False
non_overlap,2022-10-20 17:00:00,2022-10-20 14:00:00,2022-10-20 18:00:00,2022-10-20 15:00:00,2022-10-20 20:51:00,2022-10-20 17:51:00,london_ny_overlap,1644.63,1644.6,1634.301,10.299,24.0,15.0,12,stop_loss,-15.0,-15.35,False
non_overlap,2022-10-21 16:00:00,2022-10-21 13:00:00,2022-10-21 17:00:00,2022-10-21 14:00:00,2022-10-21 22:58:00,2022-10-21 19:58:00,london_ny_overlap,1642.57,1642.37,1625.463,16.907,24.0,15.0,12,time_exit,12.49,12.14,False
