replay_mode,signal_server_time,signal_utc_time,entry_server_time,entry_utc_time,exit_server_time,exit_utc_time,session_utc,entry_price,close_h1,sma10,distance_usd,tp_usd,sl_usd,time_exit_h1_bars,exit_reason,gross_usd,net_usd,ambiguous_exit
overlap_every_signal,2022-05-03 16:00:00,2022-05-03 13:00:00,2022-05-03 17:00:00,2022-05-03 14:00:00,2022-05-04 05:00:00,2022-05-04 02:00:00,london_ny_overlap,1870.84,1871.0,1859.925,11.075,24.0,15.0,12,time_exit,-7.99,-8.34,False
overlap_every_signal,2022-05-03 17:00:00,2022-05-03 14:00:00,2022-05-03 18:00:00,2022-05-03 15:00:00,2022-05-04 06:00:00,2022-05-04 03:00:00,london_ny_overlap,1874.15,1874.15,1861.509,12.641,24.0,15.0,12,time_exit,-10.76,-11.11,False
overlap_every_signal,2022-05-04 21:00:00,2022-05-04 18:00:00,2022-05-04 22:00:00,2022-05-04 19:00:00,2022-05-05 10:00:00,2022-05-05 07:00:00,new_york,1885.78,1885.65,1869.092,16.558,24.0,15.0,12,time_exit,11.45,11.1,False
overlap_every_signal,2022-05-04 22:00:00,2022-05-04 19:00:00,2022-05-04 23:00:00,2022-05-04 20:00:00,2022-05-05 11:00:00,2022-05-05 08:00:00,new_york,1883.91,1883.91,1870.507,13.403,24.0,15.0,12,time_exit,10.66,10.31,False
overlap_every_signal,2022-05-05 02:00:00,2022-05-04 23:00:00,2022-05-05 03:00:00,2022-05-05 00:00:00,2022-05-05 15:00:00,2022-05-05 12:00:00,other,1893.81,1893.79,1875.939,17.851,24.0,15.0,12,time_exit,4.32,3.97,False
overlap_every_signal,2022-05-05 03:00:00,2022-05-05 00:00:00,2022-05-05 04:00:00,2022-05-05 01:00:00,2022-05-05 16:00:00,2022-05-05 13:00:00,asia,1895.71,1895.69,1879.23,16.46,24.0,15.0,12,time_exit,10.61,10.26,False
overlap_every_signal,2022-05-05 04:00:00,2022-05-05 01:00:00,2022-05-05 05:00:00,2022-05-05 02:00:00,2022-05-05 17:00:00,2022-05-05 14:00:00,asia,1900.39,1900.39,1882.612,17.778,24.0,15.0,12,time_exit,-7.19,-7.54,False
overlap_every_signal,2022-05-05 05:00:00,2022-05-05 02:00:00,2022-05-05 06:00:00,2022-05-05 03:00:00,2022-05-05 17:47:00,2022-05-05 14:47:00,asia,1899.49,1899.51,1885.74,13.77,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-05-05 06:00:00,2022-05-05 03:00:00,2022-05-05 07:00:00,2022-05-05 04:00:00,2022-05-05 17:33:00,2022-05-05 14:33:00,asia,1901.06,1901.05,1889.02,12.03,24.0,15.0,12,stop_loss,-15.0,-15.35,False
overlap_every_signal,2022-05-16 21:00:00,2022-05-16 18:00:00,2022-05-16 22:00:00,2022-05-16 19:00:00,2022-05-17 10:00:00,2022-05-17 07:00:00,new_york,1822.44,1822.29,1810.195,12.095,24.0,15.0,12,time_exit,5.46,5.11,False
