thesis,variant,decision,raw_signals,macro_blocked_signals,trades,total_net,avg_net,median_net,win_rate,profit_factor,max_drawdown
baseline_sma_distance_v1_control,unguarded,KILL_LOW_PF,2977,0,1108,222.59,0.200894,-5.51,0.430505,1.026388,-658.68
baseline_sma_distance_v1_control,macro_blocked,KILL_LOW_PF,2977,3,1108,222.59,0.200894,-5.51,0.430505,1.026388,-658.68
trend_pullback_continuation,unguarded,KILL_NEGATIVE_TOTAL,894,0,528,-381.14254,-0.721861,-3.37,0.420455,0.885792,-480.443162
trend_pullback_continuation,macro_blocked,KILL_NEGATIVE_TOTAL,894,1,527,-365.94704,-0.694397,-3.35,0.421252,0.889844,-465.247662
asia_range_breakout,unguarded,KILL_NEGATIVE_TOTAL,939,0,829,-101.3836,-0.122296,-2.45,0.433052,0.979917,-594.87845
asia_range_breakout,macro_blocked,KILL_NEGATIVE_TOTAL,939,1,828,-139.4336,-0.168398,-2.475,0.432367,0.972379,-594.87845
volatility_compression_breakout,unguarded,KILL_LOW_PF,814,0,664,142.0505,0.213931,-5.2,0.412651,1.034906,-370.7248
volatility_compression_breakout,macro_blocked,KILL_LOW_PF,814,1,663,107.7892,0.162578,-5.39,0.411765,1.026487,-370.7248
range_mean_reversion,unguarded,KILL_NEGATIVE_TOTAL,1841,0,721,-673.576926,-0.934226,-1.45,0.460472,0.854082,-965.867819
range_mean_reversion,macro_blocked,KILL_NEGATIVE_TOTAL,1841,3,718,-613.455927,-0.854395,-1.33,0.462396,0.865352,-965.867819
