thesis,variant,signal_utc,entry_utc,direction,session,entry_price,tp_price,sl_price,exit_utc,exit_price,exit_reason,net_usd_x1,macro_labels,year
baseline_sma_distance_v1_control,unguarded,2022-05-04T19:00:00+00:00,2022-05-04T20:00:00+00:00,long,new_york,1885.78,1909.78,1870.78,2022-05-05T07:59:00+00:00,1897.41,time_exit,11.28,,2022
baseline_sma_distance_v1_control,unguarded,2022-05-11T08:00:00+00:00,2022-05-11T09:00:00+00:00,long,london,1848.54,1872.54,1833.54,2022-05-11T20:59:00+00:00,1852.93,time_exit,4.04,,2022
baseline_sma_distance_v1_control,unguarded,2022-05-16T19:00:00+00:00,2022-05-16T20:00:00+00:00,long,new_york,1822.44,1846.44,1807.44,2022-05-17T07:59:00+00:00,1830.09,time_exit,7.3,,2022
baseline_sma_distance_v1_control,unguarded,2022-05-19T10:00:00+00:00,2022-05-19T11:00:00+00:00,long,london,1829.4,1853.4,1814.4,2022-05-19T21:58:00+00:00,1841.86,time_exit,12.11,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-01T13:00:00+00:00,2022-06-01T14:00:00+00:00,long,london_ny_overlap,1844.09,1868.09,1829.09,2022-06-02T01:59:00+00:00,1847.11,time_exit,2.67,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-02T14:00:00+00:00,2022-06-02T15:00:00+00:00,long,london_ny_overlap,1863.79,1887.79,1848.79,2022-06-03T02:59:00+00:00,1871.73,time_exit,7.59,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-10T15:00:00+00:00,2022-06-10T16:00:00+00:00,long,london_ny_overlap,1855.74,1879.74,1840.74,2022-06-10T20:58:00+00:00,1872.14,time_exit,16.05,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-12T23:00:00+00:00,2022-06-13T00:00:00+00:00,long,asia,1876.03,1900.03,1861.03,2022-06-13T03:06:00+00:00,1861.03,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-15T12:00:00+00:00,2022-06-15T13:00:00+00:00,long,london_ny_overlap,1830.95,1854.95,1815.95,2022-06-15T19:03:00+00:00,1815.95,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-16T16:00:00+00:00,2022-06-16T17:00:00+00:00,long,new_york,1845.24,1869.24,1830.24,2022-06-17T04:59:00+00:00,1841.96,time_exit,-3.63,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-22T13:00:00+00:00,2022-06-22T14:00:00+00:00,long,london_ny_overlap,1844.54,1868.54,1829.54,2022-06-23T01:59:00+00:00,1835.55,time_exit,-9.34,,2022
baseline_sma_distance_v1_control,unguarded,2022-06-29T13:00:00+00:00,2022-06-29T14:00:00+00:00,long,london_ny_overlap,1831.13,1855.13,1816.13,2022-06-29T14:54:00+00:00,1816.13,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-07-01T16:00:00+00:00,2022-07-01T17:00:00+00:00,long,new_york,1806.11,1830.11,1791.11,2022-07-01T20:58:00+00:00,1805.82,time_exit,-0.64,,2022
baseline_sma_distance_v1_control,unguarded,2022-07-13T15:00:00+00:00,2022-07-13T16:00:00+00:00,long,london_ny_overlap,1742.11,1766.11,1727.11,2022-07-14T02:13:00+00:00,1727.11,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-07-21T13:00:00+00:00,2022-07-21T14:00:00+00:00,long,london_ny_overlap,1706.5,1730.5,1691.5,2022-07-22T01:59:00+00:00,1716.92,time_exit,10.07,,2022
baseline_sma_distance_v1_control,unguarded,2022-07-22T14:00:00+00:00,2022-07-22T15:00:00+00:00,long,london_ny_overlap,1734.49,1758.49,1719.49,2022-07-22T20:58:00+00:00,1723.41,time_exit,-11.43,,2022
baseline_sma_distance_v1_control,unguarded,2022-07-27T19:00:00+00:00,2022-07-27T20:00:00+00:00,long,new_york,1734.9,1758.9,1719.9,2022-07-28T07:59:00+00:00,1741.13,time_exit,5.88,,2022
baseline_sma_distance_v1_control,unguarded,2022-07-28T15:00:00+00:00,2022-07-28T16:00:00+00:00,long,london_ny_overlap,1755.08,1779.08,1740.08,2022-07-29T03:59:00+00:00,1755.3,time_exit,-0.13,,2022
baseline_sma_distance_v1_control,unguarded,2022-08-04T12:00:00+00:00,2022-08-04T13:00:00+00:00,long,london_ny_overlap,1785.53,1809.53,1770.53,2022-08-05T00:59:00+00:00,1793.21,time_exit,7.33,,2022
baseline_sma_distance_v1_control,unguarded,2022-08-23T15:00:00+00:00,2022-08-23T16:00:00+00:00,long,london_ny_overlap,1749.99,1773.99,1734.99,2022-08-24T03:59:00+00:00,1744.27,time_exit,-6.07,,2022
baseline_sma_distance_v1_control,unguarded,2022-08-29T13:00:00+00:00,2022-08-29T14:00:00+00:00,long,london_ny_overlap,1736.02,1760.02,1721.02,2022-08-30T01:59:00+00:00,1739.41,time_exit,3.04,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-02T15:00:00+00:00,2022-09-02T16:00:00+00:00,long,london_ny_overlap,1717.09,1741.09,1702.09,2022-09-02T20:58:00+00:00,1709.88,time_exit,-7.56,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-06T01:00:00+00:00,2022-09-06T02:00:00+00:00,long,asia,1723.74,1747.74,1708.74,2022-09-06T13:54:00+00:00,1708.74,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-16T15:00:00+00:00,2022-09-16T16:00:00+00:00,long,london_ny_overlap,1676.86,1700.86,1661.86,2022-09-16T20:58:00+00:00,1673.24,time_exit,-3.97,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-21T19:00:00+00:00,2022-09-21T20:00:00+00:00,long,new_york,1685.81,1709.81,1670.81,2022-09-21T20:45:00+00:00,1670.81,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-22T13:00:00+00:00,2022-09-22T14:00:00+00:00,long,london_ny_overlap,1681.73,1705.73,1666.73,2022-09-23T01:59:00+00:00,1674.06,time_exit,-8.02,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-28T13:00:00+00:00,2022-09-28T14:00:00+00:00,long,london_ny_overlap,1634.91,1658.91,1619.91,2022-09-28T16:53:00+00:00,1658.91,take_profit,23.65,,2022
baseline_sma_distance_v1_control,unguarded,2022-09-28T16:00:00+00:00,2022-09-28T17:00:00+00:00,long,new_york,1658.62,1682.62,1643.62,2022-09-29T04:59:00+00:00,1654.26,time_exit,-4.71,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-03T15:00:00+00:00,2022-10-03T16:00:00+00:00,long,london_ny_overlap,1686.76,1710.76,1671.76,2022-10-04T03:59:00+00:00,1696.17,time_exit,9.06,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-04T15:00:00+00:00,2022-10-04T16:00:00+00:00,long,london_ny_overlap,1720.54,1744.54,1705.54,2022-10-05T03:59:00+00:00,1719.65,time_exit,-1.24,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-11T16:00:00+00:00,2022-10-11T17:00:00+00:00,long,new_york,1681.38,1705.38,1666.38,2022-10-11T19:59:00+00:00,1666.38,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-17T13:00:00+00:00,2022-10-17T14:00:00+00:00,long,london_ny_overlap,1666.42,1690.42,1651.42,2022-10-17T19:17:00+00:00,1651.42,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-20T15:00:00+00:00,2022-10-20T16:00:00+00:00,long,london_ny_overlap,1644.63,1668.63,1629.63,2022-10-20T18:51:00+00:00,1629.63,stop_loss,-15.35,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-21T14:00:00+00:00,2022-10-21T15:00:00+00:00,long,london_ny_overlap,1642.57,1666.57,1627.57,2022-10-21T20:58:00+00:00,1655.06,time_exit,12.14,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-23T23:00:00+00:00,2022-10-24T00:00:00+00:00,long,asia,1659.05,1683.05,1644.05,2022-10-24T11:59:00+00:00,1648.8,time_exit,-10.6,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-25T14:00:00+00:00,2022-10-25T15:00:00+00:00,long,london_ny_overlap,1658.98,1682.98,1643.98,2022-10-26T02:59:00+00:00,1652.61,time_exit,-6.72,,2022
baseline_sma_distance_v1_control,unguarded,2022-10-26T08:00:00+00:00,2022-10-26T09:00:00+00:00,long,london,1670.78,1694.78,1655.78,2022-10-26T20:59:00+00:00,1664.52,time_exit,-6.61,,2022
