family,design,guard_variant,decision,score,raw_signals,macro_blocked_signals,trades,total_x1,total_x3,total_x4,pf_x1,pf_x3,pf_x4,median_x1,median_x4,win_rate_x1,max_dd_x1,max_dd_x4,positive_years,total_years
baseline_sma_distance_v1_control,control_v1_long,unguarded,KILL_COST_STRESS_X4_NEGATIVE,-2.26458,2977,0,1108,222.59,-553.01,-940.81,1.026388,0.937732,0.896688,-5.51,-6.56,0.430505,-658.68,-1015.68,2,5
baseline_sma_distance_v1_control,control_v1_long,macro_blocked,KILL_COST_STRESS_X4_NEGATIVE,-2.16278,2977,11,1105,268.64,-504.86,-891.61,1.032023,0.942844,0.901559,-5.17,-6.22,0.431674,-658.68,-1015.68,2,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,KILL_COST_STRESS_X4_NEGATIVE,-1.719926,1094,0,701,-76.739464,-567.439464,-812.789464,0.980382,0.864542,0.812326,-2.0,-3.05,0.445078,-531.92357,-879.8575,2,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,KILL_COST_STRESS_X4_NEGATIVE,-1.673266,1094,4,699,-55.509464,-544.809464,-789.459464,0.985732,0.869238,0.816726,-2.0,-3.05,0.446352,-531.92357,-879.8575,2,5
asia_breakout_retest,no_signals,unguarded,KILL_TOO_FEW_TRADES,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
asia_breakout_retest,no_signals,macro_blocked,KILL_TOO_FEW_TRADES,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
compression_expansion_confirmed,range16_pct18_expansion,unguarded,KILL_COST_STRESS_X4_NEGATIVE,-2.9611,475,0,428,-395.92705,-695.52705,-845.32705,0.838248,0.735909,0.69023,-5.04,-6.09,0.38785,-604.772725,-1013.222725,0,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,KILL_COST_STRESS_X4_NEGATIVE,-2.9611,475,0,428,-395.92705,-695.52705,-845.32705,0.838248,0.735909,0.69023,-5.04,-6.09,0.38785,-604.772725,-1013.222725,0,5
failed_break_reversal,no_signals,unguarded,KILL_TOO_FEW_TRADES,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
failed_break_reversal,no_signals,macro_blocked,KILL_TOO_FEW_TRADES,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
