family,design,guard_variant,signal_utc,entry_utc,direction,session,entry_price,tp_price,sl_price,exit_utc,exit_price,exit_reason,gross_usd_x1,net_x1,net_x3,net_x4,macro_labels,year,reason,regime_note
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-05-04T19:00:00+00:00,2022-05-04T20:00:00+00:00,long,new_york,1885.78,1909.78,1870.78,2022-05-05T07:59:00+00:00,1897.41,time_exit,11.63,11.28,10.58,10.23,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-05-11T08:00:00+00:00,2022-05-11T09:00:00+00:00,long,london,1848.54,1872.54,1833.54,2022-05-11T20:59:00+00:00,1852.93,time_exit,4.39,4.04,3.34,2.99,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-05-16T19:00:00+00:00,2022-05-16T20:00:00+00:00,long,new_york,1822.44,1846.44,1807.44,2022-05-17T07:59:00+00:00,1830.09,time_exit,7.65,7.3,6.6,6.25,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-05-19T10:00:00+00:00,2022-05-19T11:00:00+00:00,long,london,1829.4,1853.4,1814.4,2022-05-19T21:58:00+00:00,1841.86,time_exit,12.46,12.11,11.41,11.06,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-01T13:00:00+00:00,2022-06-01T14:00:00+00:00,long,london_ny_overlap,1844.09,1868.09,1829.09,2022-06-02T01:59:00+00:00,1847.11,time_exit,3.02,2.67,1.97,1.62,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-02T14:00:00+00:00,2022-06-02T15:00:00+00:00,long,london_ny_overlap,1863.79,1887.79,1848.79,2022-06-03T02:59:00+00:00,1871.73,time_exit,7.94,7.59,6.89,6.54,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-10T15:00:00+00:00,2022-06-10T16:00:00+00:00,long,london_ny_overlap,1855.74,1879.74,1840.74,2022-06-10T20:58:00+00:00,1872.14,time_exit,16.4,16.05,15.35,15.0,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-12T23:00:00+00:00,2022-06-13T00:00:00+00:00,long,asia,1876.03,1900.03,1861.03,2022-06-13T03:06:00+00:00,1861.03,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-15T12:00:00+00:00,2022-06-15T13:00:00+00:00,long,london_ny_overlap,1830.95,1854.95,1815.95,2022-06-15T19:03:00+00:00,1815.95,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-16T16:00:00+00:00,2022-06-16T17:00:00+00:00,long,new_york,1845.24,1869.24,1830.24,2022-06-17T04:59:00+00:00,1841.96,time_exit,-3.28,-3.63,-4.33,-4.68,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-22T13:00:00+00:00,2022-06-22T14:00:00+00:00,long,london_ny_overlap,1844.54,1868.54,1829.54,2022-06-23T01:59:00+00:00,1835.55,time_exit,-8.99,-9.34,-10.04,-10.39,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-06-29T13:00:00+00:00,2022-06-29T14:00:00+00:00,long,london_ny_overlap,1831.13,1855.13,1816.13,2022-06-29T14:54:00+00:00,1816.13,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-07-01T16:00:00+00:00,2022-07-01T17:00:00+00:00,long,new_york,1806.11,1830.11,1791.11,2022-07-01T20:58:00+00:00,1805.82,time_exit,-0.29,-0.64,-1.34,-1.69,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-07-13T15:00:00+00:00,2022-07-13T16:00:00+00:00,long,london_ny_overlap,1742.11,1766.11,1727.11,2022-07-14T02:13:00+00:00,1727.11,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-07-21T13:00:00+00:00,2022-07-21T14:00:00+00:00,long,london_ny_overlap,1706.5,1730.5,1691.5,2022-07-22T01:59:00+00:00,1716.92,time_exit,10.42,10.07,9.37,9.02,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-07-22T14:00:00+00:00,2022-07-22T15:00:00+00:00,long,london_ny_overlap,1734.49,1758.49,1719.49,2022-07-22T20:58:00+00:00,1723.41,time_exit,-11.08,-11.43,-12.13,-12.48,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-07-27T19:00:00+00:00,2022-07-27T20:00:00+00:00,long,new_york,1734.9,1758.9,1719.9,2022-07-28T07:59:00+00:00,1741.13,time_exit,6.23,5.88,5.18,4.83,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-07-28T15:00:00+00:00,2022-07-28T16:00:00+00:00,long,london_ny_overlap,1755.08,1779.08,1740.08,2022-07-29T03:59:00+00:00,1755.3,time_exit,0.22,-0.13,-0.83,-1.18,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-08-04T12:00:00+00:00,2022-08-04T13:00:00+00:00,long,london_ny_overlap,1785.53,1809.53,1770.53,2022-08-05T00:59:00+00:00,1793.21,time_exit,7.68,7.33,6.63,6.28,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-08-23T15:00:00+00:00,2022-08-23T16:00:00+00:00,long,london_ny_overlap,1749.99,1773.99,1734.99,2022-08-24T03:59:00+00:00,1744.27,time_exit,-5.72,-6.07,-6.77,-7.12,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-08-29T13:00:00+00:00,2022-08-29T14:00:00+00:00,long,london_ny_overlap,1736.02,1760.02,1721.02,2022-08-30T01:59:00+00:00,1739.41,time_exit,3.39,3.04,2.34,1.99,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-02T15:00:00+00:00,2022-09-02T16:00:00+00:00,long,london_ny_overlap,1717.09,1741.09,1702.09,2022-09-02T20:58:00+00:00,1709.88,time_exit,-7.21,-7.56,-8.26,-8.61,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-06T01:00:00+00:00,2022-09-06T02:00:00+00:00,long,asia,1723.74,1747.74,1708.74,2022-09-06T13:54:00+00:00,1708.74,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-16T15:00:00+00:00,2022-09-16T16:00:00+00:00,long,london_ny_overlap,1676.86,1700.86,1661.86,2022-09-16T20:58:00+00:00,1673.24,time_exit,-3.62,-3.97,-4.67,-5.02,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-21T19:00:00+00:00,2022-09-21T20:00:00+00:00,long,new_york,1685.81,1709.81,1670.81,2022-09-21T20:45:00+00:00,1670.81,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-22T13:00:00+00:00,2022-09-22T14:00:00+00:00,long,london_ny_overlap,1681.73,1705.73,1666.73,2022-09-23T01:59:00+00:00,1674.06,time_exit,-7.67,-8.02,-8.72,-9.07,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-28T13:00:00+00:00,2022-09-28T14:00:00+00:00,long,london_ny_overlap,1634.91,1658.91,1619.91,2022-09-28T16:53:00+00:00,1658.91,take_profit,24.0,23.65,22.95,22.6,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-09-28T16:00:00+00:00,2022-09-28T17:00:00+00:00,long,new_york,1658.62,1682.62,1643.62,2022-09-29T04:59:00+00:00,1654.26,time_exit,-4.36,-4.71,-5.41,-5.76,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-03T15:00:00+00:00,2022-10-03T16:00:00+00:00,long,london_ny_overlap,1686.76,1710.76,1671.76,2022-10-04T03:59:00+00:00,1696.17,time_exit,9.41,9.06,8.36,8.01,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-04T15:00:00+00:00,2022-10-04T16:00:00+00:00,long,london_ny_overlap,1720.54,1744.54,1705.54,2022-10-05T03:59:00+00:00,1719.65,time_exit,-0.89,-1.24,-1.94,-2.29,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-11T16:00:00+00:00,2022-10-11T17:00:00+00:00,long,new_york,1681.38,1705.38,1666.38,2022-10-11T19:59:00+00:00,1666.38,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-17T13:00:00+00:00,2022-10-17T14:00:00+00:00,long,london_ny_overlap,1666.42,1690.42,1651.42,2022-10-17T19:17:00+00:00,1651.42,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-20T15:00:00+00:00,2022-10-20T16:00:00+00:00,long,london_ny_overlap,1644.63,1668.63,1629.63,2022-10-20T18:51:00+00:00,1629.63,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-21T14:00:00+00:00,2022-10-21T15:00:00+00:00,long,london_ny_overlap,1642.57,1666.57,1627.57,2022-10-21T20:58:00+00:00,1655.06,time_exit,12.49,12.14,11.44,11.09,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-23T23:00:00+00:00,2022-10-24T00:00:00+00:00,long,asia,1659.05,1683.05,1644.05,2022-10-24T11:59:00+00:00,1648.8,time_exit,-10.25,-10.6,-11.3,-11.65,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-25T14:00:00+00:00,2022-10-25T15:00:00+00:00,long,london_ny_overlap,1658.98,1682.98,1643.98,2022-10-26T02:59:00+00:00,1652.61,time_exit,-6.37,-6.72,-7.42,-7.77,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-10-26T08:00:00+00:00,2022-10-26T09:00:00+00:00,long,london,1670.78,1694.78,1655.78,2022-10-26T20:59:00+00:00,1664.52,time_exit,-6.26,-6.61,-7.31,-7.66,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-04T04:00:00+00:00,2022-11-04T05:00:00+00:00,long,asia,1646.66,1670.66,1631.66,2022-11-04T14:15:00+00:00,1670.66,take_profit,24.0,23.65,22.95,22.6,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-04T14:00:00+00:00,2022-11-04T15:00:00+00:00,long,london_ny_overlap,1673.01,1697.01,1658.01,2022-11-04T20:58:00+00:00,1681.04,time_exit,8.03,7.68,6.98,6.63,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-08T15:00:00+00:00,2022-11-08T16:00:00+00:00,long,london_ny_overlap,1712.89,1736.89,1697.89,2022-11-09T03:59:00+00:00,1709.13,time_exit,-3.76,-4.11,-4.81,-5.16,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-10T13:00:00+00:00,2022-11-10T14:00:00+00:00,long,london_ny_overlap,1733.03,1757.03,1718.03,2022-11-10T21:12:00+00:00,1757.03,take_profit,24.0,23.65,22.95,22.6,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-10T21:00:00+00:00,2022-11-10T22:00:00+00:00,long,other,1753.45,1777.45,1738.45,2022-11-11T09:59:00+00:00,1763.81,time_exit,10.36,10.01,9.31,8.96,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-15T07:00:00+00:00,2022-11-15T08:00:00+00:00,long,london,1782.85,1806.85,1767.85,2022-11-15T19:59:00+00:00,1778.34,time_exit,-4.51,-4.86,-5.56,-5.91,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-23T19:00:00+00:00,2022-11-23T20:00:00+00:00,long,new_york,1751.72,1775.72,1736.72,2022-11-24T07:59:00+00:00,1753.63,time_exit,1.91,1.56,0.86,0.51,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-11-30T20:00:00+00:00,2022-11-30T21:00:00+00:00,long,new_york,1769.43,1793.43,1754.43,2022-12-01T08:59:00+00:00,1778.03,time_exit,8.6,8.25,7.55,7.2,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-12-01T14:00:00+00:00,2022-12-01T15:00:00+00:00,long,london_ny_overlap,1801.48,1825.48,1786.48,2022-12-02T02:59:00+00:00,1797.93,time_exit,-3.55,-3.9,-4.6,-4.95,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-12-05T01:00:00+00:00,2022-12-05T02:00:00+00:00,long,asia,1806.3,1830.3,1791.3,2022-12-05T13:50:00+00:00,1791.3,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-12-13T13:00:00+00:00,2022-12-13T14:00:00+00:00,long,london_ny_overlap,1810.83,1834.83,1795.83,2022-12-14T01:59:00+00:00,1810.55,time_exit,-0.28,-0.63,-1.33,-1.68,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-12-20T08:00:00+00:00,2022-12-20T09:00:00+00:00,long,london,1803.02,1827.02,1788.02,2022-12-20T20:59:00+00:00,1817.35,time_exit,14.33,13.98,13.28,12.93,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2022-12-27T15:00:00+00:00,2022-12-27T16:00:00+00:00,long,london_ny_overlap,1824.44,1848.44,1809.44,2022-12-28T00:25:00+00:00,1809.44,stop_loss,-15.0,-15.35,-16.05,-16.4,,2022,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-03T02:00:00+00:00,2023-01-03T03:00:00+00:00,long,asia,1838.27,1862.27,1823.27,2023-01-03T14:59:00+00:00,1844.76,time_exit,6.49,6.14,5.44,5.09,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-04T07:00:00+00:00,2023-01-04T08:00:00+00:00,long,london,1858.02,1882.02,1843.02,2023-01-04T19:59:00+00:00,1852.3,time_exit,-5.72,-6.07,-6.77,-7.12,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-06T13:00:00+00:00,2023-01-06T14:00:00+00:00,long,london_ny_overlap,1851.64,1875.64,1836.64,2023-01-06T20:58:00+00:00,1866.84,time_exit,15.2,14.85,14.15,13.8,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-08T23:00:00+00:00,2023-01-09T00:00:00+00:00,long,asia,1869.42,1893.42,1854.42,2023-01-09T11:59:00+00:00,1872.91,time_exit,3.49,3.14,2.44,2.09,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-12T13:00:00+00:00,2023-01-12T14:00:00+00:00,long,london_ny_overlap,1899.46,1923.46,1884.46,2023-01-12T14:44:00+00:00,1884.46,stop_loss,-15.0,-15.35,-16.05,-16.4,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-13T14:00:00+00:00,2023-01-13T15:00:00+00:00,long,london_ny_overlap,1910.98,1934.98,1895.98,2023-01-13T20:58:00+00:00,1920.75,time_exit,9.77,9.42,8.72,8.37,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-18T13:00:00+00:00,2023-01-18T14:00:00+00:00,long,london_ny_overlap,1921.13,1945.13,1906.13,2023-01-18T16:44:00+00:00,1906.13,stop_loss,-15.0,-15.35,-16.05,-16.4,,2023,close_minus_sma10_ge_10,baseline_control
baseline_sma_distance_v1_control,control_v1_long,unguarded,2023-01-19T19:00:00+00:00,2023-01-19T20:00:00+00:00,long,new_york,1929.49,1953.49,1914.49,2023-01-20T07:59:00+00:00,1932.94,time_exit,3.45,3.1,2.4,2.05,,2023,close_minus_sma10_ge_10,baseline_control
