family,design,guard_variant,horizon_hours,diagnosis,trades,median_mfe,median_mae,median_close_move,median_realized_net,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,hit_minus_20_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate,avg_mfe_minus_abs_mae
baseline_sma_distance_v1_control,control_v1_long,macro_blocked,12,EXIT_DESIGN_WEAK_ENTRY_HAS_SOME_MFE,1105,18.25,-17.29,1.74,-5.17,0.672398,0.552941,0.41448,0.656109,0.541176,0.447964,0.404525,0.40181,0.277828,0.462443,-1.66829
baseline_sma_distance_v1_control,control_v1_long,unguarded,12,EXIT_DESIGN_WEAK_ENTRY_HAS_SOME_MFE,1108,18.17,-17.305,1.74,-5.51,0.672383,0.552347,0.413357,0.65704,0.542419,0.447653,0.404332,0.402527,0.277076,0.463899,-1.685298
baseline_sma_distance_v1_control,control_v1_long,macro_blocked,6,ENTRY_OR_STOP_GEOMETRY_WEAK,1105,13.25,-13.12,0.88,-5.17,0.590045,0.452489,0.305882,0.577376,0.457919,0.354751,0.356561,0.365611,0.21991,0.41448,-0.430652
baseline_sma_distance_v1_control,control_v1_long,unguarded,6,ENTRY_OR_STOP_GEOMETRY_WEAK,1108,13.275,-13.18,0.87,-5.51,0.590253,0.452166,0.305054,0.577617,0.458484,0.354693,0.356498,0.365523,0.219314,0.415162,-0.440162
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,12,NO_CLEAR_EDGE,699,9.4,-8.59,0.58,-2.0,0.479256,0.329041,0.200286,0.457797,0.313305,0.240343,0.286123,0.260372,0.16166,0.294707,0.167167
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,12,NO_CLEAR_EDGE,701,9.4,-8.59,0.58,-2.0,0.479315,0.328103,0.199715,0.457917,0.313837,0.241084,0.285307,0.261056,0.161198,0.295292,0.157047
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,12,ENTRY_OR_STOP_GEOMETRY_WEAK,428,9.0,-10.495,0.06,-5.04,0.462617,0.32243,0.175234,0.514019,0.341121,0.233645,0.28271,0.310748,0.142523,0.32243,0.545023
compression_expansion_confirmed,range16_pct18_expansion,unguarded,12,ENTRY_OR_STOP_GEOMETRY_WEAK,428,9.0,-10.495,0.06,-5.04,0.462617,0.32243,0.175234,0.514019,0.341121,0.233645,0.28271,0.310748,0.142523,0.32243,0.545023
baseline_sma_distance_v1_control,control_v1_long,unguarded,3,ENTRY_OR_STOP_GEOMETRY_WEAK,1108,9.78,-9.42,1.11,-5.51,0.495487,0.338448,0.209386,0.487365,0.352888,0.26444,0.281588,0.305054,0.16065,0.33574,-0.870776
baseline_sma_distance_v1_control,control_v1_long,macro_blocked,3,ENTRY_OR_STOP_GEOMETRY_WEAK,1105,9.77,-9.42,1.12,-5.17,0.495023,0.338462,0.209955,0.486878,0.352036,0.264253,0.281448,0.304977,0.161086,0.334842,-0.862434
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,6,ENTRY_OR_STOP_GEOMETRY_WEAK,428,6.895,-7.915,-0.615,-5.04,0.385514,0.226636,0.121495,0.420561,0.245327,0.154206,0.207944,0.233645,0.102804,0.240654,0.418505
compression_expansion_confirmed,range16_pct18_expansion,unguarded,6,ENTRY_OR_STOP_GEOMETRY_WEAK,428,6.895,-7.915,-0.615,-5.04,0.385514,0.226636,0.121495,0.420561,0.245327,0.154206,0.207944,0.233645,0.102804,0.240654,0.418505
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,6,NO_CLEAR_EDGE,699,6.62,-5.82,0.66,-2.0,0.339056,0.221745,0.111588,0.321888,0.217454,0.143062,0.197425,0.18598,0.091559,0.20887,0.482046
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,6,NO_CLEAR_EDGE,701,6.65,-5.86,0.62,-2.0,0.339515,0.221113,0.11127,0.322397,0.216833,0.142653,0.196862,0.185449,0.091298,0.208274,0.489001
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,3,ENTRY_OR_STOP_GEOMETRY_WEAK,428,5.06,-5.78,-0.82,-5.04,0.287383,0.154206,0.070093,0.299065,0.179907,0.098131,0.142523,0.172897,0.065421,0.17757,-0.056519
compression_expansion_confirmed,range16_pct18_expansion,unguarded,3,ENTRY_OR_STOP_GEOMETRY_WEAK,428,5.06,-5.78,-0.82,-5.04,0.287383,0.154206,0.070093,0.299065,0.179907,0.098131,0.142523,0.172897,0.065421,0.17757,-0.056519
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,3,NO_CLEAR_EDGE,699,4.19,-4.14,0.21,-2.0,0.223176,0.1402,0.0701,0.237482,0.128755,0.088698,0.128755,0.11731,0.062947,0.125894,-0.092432
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,3,NO_CLEAR_EDGE,701,4.19,-4.14,0.17,-2.0,0.222539,0.1398,0.0699,0.236805,0.128388,0.088445,0.128388,0.116976,0.062767,0.125535,-0.086819
