family,design,guard_variant,direction,session,entry_utc,entry_price,realized_exit_reason,realized_net_x1,horizon_hours,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,hit_minus_20,first_hit_15_15,first_hit_24_15,bars_checked
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,new_york,2022-05-04T20:00:00+00:00,1885.78,time_exit,11.28,3,3.74,-4.87,-4.77,False,False,False,False,False,False,none,none,119
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,new_york,2022-05-04T20:00:00+00:00,1885.78,time_exit,11.28,6,10.15,-4.87,9.91,True,False,False,False,False,False,none,none,298
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,new_york,2022-05-04T20:00:00+00:00,1885.78,time_exit,11.28,12,17.42,-4.87,11.63,True,True,False,False,False,False,tp_first,none,658
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london,2022-05-11T09:00:00+00:00,1848.54,time_exit,4.04,3,5.6,-2.04,3.85,False,False,False,False,False,False,none,none,180
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london,2022-05-11T09:00:00+00:00,1848.54,time_exit,4.04,6,9.3,-13.91,4.56,False,False,False,True,False,False,none,none,360
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london,2022-05-11T09:00:00+00:00,1848.54,time_exit,4.04,12,9.3,-13.91,4.39,False,False,False,True,False,False,none,none,720
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,new_york,2022-05-16T20:00:00+00:00,1822.44,time_exit,7.3,3,4.22,-0.45,1.27,False,False,False,False,False,False,none,none,119
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,new_york,2022-05-16T20:00:00+00:00,1822.44,time_exit,7.3,6,6.73,-0.45,2.86,False,False,False,False,False,False,none,none,298
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,new_york,2022-05-16T20:00:00+00:00,1822.44,time_exit,7.3,12,7.68,-0.75,7.65,False,False,False,False,False,False,none,none,658
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london,2022-05-19T11:00:00+00:00,1829.4,time_exit,12.11,3,11.89,-3.18,8.71,True,False,False,False,False,False,none,none,180
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london,2022-05-19T11:00:00+00:00,1829.4,time_exit,12.11,6,19.51,-3.18,12.75,True,True,False,False,False,False,tp_first,none,360
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london,2022-05-19T11:00:00+00:00,1829.4,time_exit,12.11,12,19.51,-3.18,12.46,True,True,False,False,False,False,tp_first,none,658
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,time_exit,2.67,3,4.84,-6.29,1.34,False,False,False,False,False,False,none,none,180
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,time_exit,2.67,6,5.68,-6.29,4.59,False,False,False,False,False,False,none,none,360
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,time_exit,2.67,12,5.68,-6.29,3.02,False,False,False,False,False,False,none,none,658
baseline_sma_distance_v1_control,control_v1_long,unguarded,long,london_ny_overlap,2022-06-02T15:00:00+00:00,1863.79,time_exit,7.59,3,6.49,-0.6,3.83,False,False,False,False,False,False,none,none,180
