family,design,guard_variant,geometry,decision,score,trades,total_x1,total_x3,total_x4,pf_x1,pf_x3,pf_x4,median_x1,median_x4,win_rate_x1,win_rate_x4,max_dd_x1,max_dd_x4,positive_years,total_years,positive_sessions,total_sessions
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp24_sl15_h12_control,KILL_COST_STRESS_X4_NEGATIVE,-0.476345,699,235.01,-254.29,-498.94,1.059742,0.93943,0.884899,-0.74,-1.79,0.470672,0.434907,-367.39,-549.72,2,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp24_sl15_h12_control,KILL_COST_STRESS_X4_NEGATIVE,-0.50543,701,217.82,-272.88,-518.23,1.055131,0.935289,0.880978,-0.75,-1.8,0.46933,0.433666,-367.39,-549.72,2,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp18_sl15_h12,KILL_COST_STRESS_X4_NEGATIVE,-0.531605,699,183.25,-306.05,-550.7,1.049209,0.923036,0.865914,-0.17,-1.22,0.494993,0.459227,-358.17,-611.65,2,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp18_sl12_h12,KILL_COST_STRESS_X4_NEGATIVE,-0.545885,699,102.52,-386.78,-631.43,1.028994,0.898331,0.839836,-1.11,-2.16,0.462089,0.429185,-277.56,-671.18,2,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp18_sl15_h12,KILL_COST_STRESS_X4_NEGATIVE,-0.56054,701,166.06,-324.64,-569.99,1.044388,0.918741,0.861866,-0.17,-1.22,0.493581,0.457917,-358.17,-611.65,2,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp18_sl12_h12,KILL_COST_STRESS_X4_NEGATIVE,-0.57062,701,88.33,-402.37,-647.72,1.024881,0.894665,0.83638,-1.13,-2.18,0.46077,0.42796,-277.56,-671.18,2,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp15_sl12_h6,KILL_COST_STRESS_X4_NEGATIVE,-0.941905,699,61.62,-427.68,-672.33,1.022726,0.855711,0.782918,0.05,-1.0,0.502146,0.446352,-278.94,-720.61,1,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp15_sl12_h6,KILL_COST_STRESS_X4_NEGATIVE,-0.96253,701,50.17,-440.53,-685.88,1.018425,0.852018,0.779508,0.03,-1.02,0.500713,0.445078,-278.94,-720.61,1,5,1,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp24_sl15_h12_control,KILL_COST_STRESS_X4_NEGATIVE,-0.996895,428,-126.77,-426.37,-576.17,0.951263,0.846048,0.798165,-1.15,-2.2,0.446262,0.425234,-299.76,-708.21,1,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp24_sl15_h12_control,KILL_COST_STRESS_X4_NEGATIVE,-0.996895,428,-126.77,-426.37,-576.17,0.951263,0.846048,0.798165,-1.15,-2.2,0.446262,0.425234,-299.76,-708.21,1,5,0,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp15_sl10_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.24696,699,-84.78,-574.08,-818.73,0.968112,0.803611,0.732633,-0.49,-1.54,0.477825,0.422031,-330.51,-825.41,1,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp15_sl10_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.269895,701,-96.97,-587.67,-833.02,0.963693,0.799892,0.72923,-0.59,-1.64,0.476462,0.420827,-330.51,-839.7,1,5,1,5
baseline_sma_distance_v1_control,control_v1_long,macro_blocked,tp24_sl15_h12_control,KILL_COST_STRESS_X4_NEGATIVE,-1.418735,1105,268.64,-504.86,-891.61,1.032023,0.942844,0.901559,-5.17,-6.22,0.431674,0.419005,-658.68,-1015.68,2,5,2,5
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp24_sl15_h12_control,KILL_COST_STRESS_X4_NEGATIVE,-1.497635,1108,222.59,-553.01,-940.81,1.026388,0.937732,0.896688,-5.51,-6.56,0.430505,0.41787,-658.68,-1015.68,2,5,2,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp12_sl8_h3,KILL_COST_STRESS_X4_NEGATIVE,-1.51851,428,-207.6,-507.2,-657.0,0.863868,0.702041,0.633571,-1.955,-3.005,0.42757,0.38785,-325.29,-685.4,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp12_sl8_h3,KILL_COST_STRESS_X4_NEGATIVE,-1.51851,428,-207.6,-507.2,-657.0,0.863868,0.702041,0.633571,-1.955,-3.005,0.42757,0.38785,-325.29,-685.4,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp10_sl8_h3,KILL_COST_STRESS_X4_NEGATIVE,-1.527795,428,-231.42,-531.02,-680.82,0.846286,0.684005,0.615312,-1.69,-2.74,0.434579,0.397196,-310.31,-697.22,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp10_sl8_h3,KILL_COST_STRESS_X4_NEGATIVE,-1.527795,428,-231.42,-531.02,-680.82,0.846286,0.684005,0.615312,-1.69,-2.74,0.434579,0.397196,-310.31,-697.22,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp18_sl15_h12,KILL_COST_STRESS_X4_NEGATIVE,-1.57158,428,-222.65,-522.25,-672.05,0.912685,0.807581,0.759741,-0.975,-2.025,0.46028,0.439252,-355.42,-759.21,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp18_sl15_h12,KILL_COST_STRESS_X4_NEGATIVE,-1.57158,428,-222.65,-522.25,-672.05,0.912685,0.807581,0.759741,-0.975,-2.025,0.46028,0.439252,-355.42,-759.21,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp18_sl12_h12,KILL_COST_STRESS_X4_NEGATIVE,-1.67064,428,-221.48,-521.08,-670.88,0.909044,0.800222,0.751149,-2.64,-3.69,0.429907,0.408879,-405.98,-748.24,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp18_sl12_h12,KILL_COST_STRESS_X4_NEGATIVE,-1.67064,428,-221.48,-521.08,-670.88,0.909044,0.800222,0.751149,-2.64,-3.69,0.429907,0.408879,-405.98,-748.24,0,5,0,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp12_sl10_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.778175,701,-110.67,-601.37,-846.72,0.957054,0.787943,0.715111,-0.12,-1.17,0.490728,0.435093,-327.03,-861.11,0,5,0,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp12_sl10_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.78974,699,-120.48,-609.78,-854.43,0.953214,0.784785,0.712238,-0.12,-1.17,0.490701,0.434907,-327.03,-861.11,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp12_sl10_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.923105,428,-346.9,-646.5,-796.3,0.824453,0.698745,0.643398,-2.405,-3.455,0.441589,0.408879,-451.22,-875.23,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp12_sl10_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.923105,428,-346.9,-646.5,-796.3,0.824453,0.698745,0.643398,-2.405,-3.455,0.441589,0.408879,-451.22,-875.23,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,macro_blocked,tp15_sl12_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.94766,428,-371.83,-671.43,-821.23,0.827029,0.7107,0.65904,-2.145,-3.195,0.439252,0.404206,-445.26,-854.57,0,5,0,5
compression_expansion_confirmed,range16_pct18_expansion,unguarded,tp15_sl12_h6,KILL_COST_STRESS_X4_NEGATIVE,-1.94766,428,-371.83,-671.43,-821.23,0.827029,0.7107,0.65904,-2.145,-3.195,0.439252,0.404206,-445.26,-854.57,0,5,0,5
baseline_sma_distance_v1_control,control_v1_long,macro_blocked,tp18_sl12_h12,KILL_COST_STRESS_X4_NEGATIVE,-2.060025,1105,219.4,-554.1,-940.85,1.03128,0.925669,0.877445,-7.16,-8.21,0.435294,0.424434,-450.4,-985.29,0,5,1,5
h4_trend_h1_pullback_continuation,balanced_pullback,macro_blocked,tp10_sl8_h3,KILL_COST_STRESS_X4_NEGATIVE,-2.070045,699,-253.54,-742.84,-987.49,0.871497,0.670347,0.588878,-0.53,-1.58,0.450644,0.384835,-376.74,-988.79,0,5,0,5
h4_trend_h1_pullback_continuation,balanced_pullback,unguarded,tp10_sl8_h3,KILL_COST_STRESS_X4_NEGATIVE,-2.07759,701,-256.47,-747.17,-992.52,0.870205,0.669061,0.587648,-0.53,-1.58,0.449358,0.383738,-376.74,-993.82,0,5,0,5
