family,design,guard_variant,geometry,direction,session,entry_utc,entry_price,tp_usd,sl_usd,horizon_hours,exit_utc,exit_price,exit_reason,gross_usd_x1,net_x1,net_x3,net_x4,year,reason,regime_note,macro_labels
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp10_sl8_h3,long,new_york,2022-05-04T20:00:00+00:00,1885.78,10.0,8.0,3,2022-05-04T21:58:00+00:00,1881.01,time_exit,-4.77,-5.12,-5.82,-6.17,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl8_h3,long,new_york,2022-05-04T20:00:00+00:00,1885.78,12.0,8.0,3,2022-05-04T21:58:00+00:00,1881.01,time_exit,-4.77,-5.12,-5.82,-6.17,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl10_h6,long,new_york,2022-05-04T20:00:00+00:00,1885.78,12.0,10.0,6,2022-05-05T01:59:00+00:00,1895.69,time_exit,9.91,9.56,8.86,8.51,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl10_h6,long,new_york,2022-05-04T20:00:00+00:00,1885.78,15.0,10.0,6,2022-05-05T01:59:00+00:00,1895.69,time_exit,9.91,9.56,8.86,8.51,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl12_h6,long,new_york,2022-05-04T20:00:00+00:00,1885.78,15.0,12.0,6,2022-05-05T01:59:00+00:00,1895.69,time_exit,9.91,9.56,8.86,8.51,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl12_h12,long,new_york,2022-05-04T20:00:00+00:00,1885.78,18.0,12.0,12,2022-05-05T07:59:00+00:00,1897.41,time_exit,11.63,11.28,10.58,10.23,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl15_h12,long,new_york,2022-05-04T20:00:00+00:00,1885.78,18.0,15.0,12,2022-05-05T07:59:00+00:00,1897.41,time_exit,11.63,11.28,10.58,10.23,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp24_sl15_h12_control,long,new_york,2022-05-04T20:00:00+00:00,1885.78,24.0,15.0,12,2022-05-05T07:59:00+00:00,1897.41,time_exit,11.63,11.28,10.58,10.23,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp10_sl8_h3,long,london,2022-05-11T09:00:00+00:00,1848.54,10.0,8.0,3,2022-05-11T11:59:00+00:00,1852.39,time_exit,3.85,3.5,2.8,2.45,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl8_h3,long,london,2022-05-11T09:00:00+00:00,1848.54,12.0,8.0,3,2022-05-11T11:59:00+00:00,1852.39,time_exit,3.85,3.5,2.8,2.45,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl10_h6,long,london,2022-05-11T09:00:00+00:00,1848.54,12.0,10.0,6,2022-05-11T13:38:00+00:00,1838.54,stop_loss,-10.0,-10.35,-11.05,-11.4,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl10_h6,long,london,2022-05-11T09:00:00+00:00,1848.54,15.0,10.0,6,2022-05-11T13:38:00+00:00,1838.54,stop_loss,-10.0,-10.35,-11.05,-11.4,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl12_h6,long,london,2022-05-11T09:00:00+00:00,1848.54,15.0,12.0,6,2022-05-11T13:39:00+00:00,1836.54,stop_loss,-12.0,-12.35,-13.05,-13.4,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl12_h12,long,london,2022-05-11T09:00:00+00:00,1848.54,18.0,12.0,12,2022-05-11T13:39:00+00:00,1836.54,stop_loss,-12.0,-12.35,-13.05,-13.4,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl15_h12,long,london,2022-05-11T09:00:00+00:00,1848.54,18.0,15.0,12,2022-05-11T20:59:00+00:00,1852.93,time_exit,4.39,4.04,3.34,2.99,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp24_sl15_h12_control,long,london,2022-05-11T09:00:00+00:00,1848.54,24.0,15.0,12,2022-05-11T20:59:00+00:00,1852.93,time_exit,4.39,4.04,3.34,2.99,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp10_sl8_h3,long,new_york,2022-05-16T20:00:00+00:00,1822.44,10.0,8.0,3,2022-05-16T21:58:00+00:00,1823.71,time_exit,1.27,0.92,0.22,-0.13,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl8_h3,long,new_york,2022-05-16T20:00:00+00:00,1822.44,12.0,8.0,3,2022-05-16T21:58:00+00:00,1823.71,time_exit,1.27,0.92,0.22,-0.13,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl10_h6,long,new_york,2022-05-16T20:00:00+00:00,1822.44,12.0,10.0,6,2022-05-17T01:59:00+00:00,1825.3,time_exit,2.86,2.51,1.81,1.46,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl10_h6,long,new_york,2022-05-16T20:00:00+00:00,1822.44,15.0,10.0,6,2022-05-17T01:59:00+00:00,1825.3,time_exit,2.86,2.51,1.81,1.46,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl12_h6,long,new_york,2022-05-16T20:00:00+00:00,1822.44,15.0,12.0,6,2022-05-17T01:59:00+00:00,1825.3,time_exit,2.86,2.51,1.81,1.46,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl12_h12,long,new_york,2022-05-16T20:00:00+00:00,1822.44,18.0,12.0,12,2022-05-17T07:59:00+00:00,1830.09,time_exit,7.65,7.3,6.6,6.25,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl15_h12,long,new_york,2022-05-16T20:00:00+00:00,1822.44,18.0,15.0,12,2022-05-17T07:59:00+00:00,1830.09,time_exit,7.65,7.3,6.6,6.25,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp24_sl15_h12_control,long,new_york,2022-05-16T20:00:00+00:00,1822.44,24.0,15.0,12,2022-05-17T07:59:00+00:00,1830.09,time_exit,7.65,7.3,6.6,6.25,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp10_sl8_h3,long,london,2022-05-19T11:00:00+00:00,1829.4,10.0,8.0,3,2022-05-19T13:36:00+00:00,1839.4,take_profit,10.0,9.65,8.95,8.6,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl8_h3,long,london,2022-05-19T11:00:00+00:00,1829.4,12.0,8.0,3,2022-05-19T13:59:00+00:00,1838.11,time_exit,8.71,8.36,7.66,7.31,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl10_h6,long,london,2022-05-19T11:00:00+00:00,1829.4,12.0,10.0,6,2022-05-19T15:03:00+00:00,1841.4,take_profit,12.0,11.65,10.95,10.6,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl10_h6,long,london,2022-05-19T11:00:00+00:00,1829.4,15.0,10.0,6,2022-05-19T15:09:00+00:00,1844.4,take_profit,15.0,14.65,13.95,13.6,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl12_h6,long,london,2022-05-19T11:00:00+00:00,1829.4,15.0,12.0,6,2022-05-19T15:09:00+00:00,1844.4,take_profit,15.0,14.65,13.95,13.6,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl12_h12,long,london,2022-05-19T11:00:00+00:00,1829.4,18.0,12.0,12,2022-05-19T16:18:00+00:00,1847.4,take_profit,18.0,17.65,16.95,16.6,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl15_h12,long,london,2022-05-19T11:00:00+00:00,1829.4,18.0,15.0,12,2022-05-19T16:18:00+00:00,1847.4,take_profit,18.0,17.65,16.95,16.6,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp24_sl15_h12_control,long,london,2022-05-19T11:00:00+00:00,1829.4,24.0,15.0,12,2022-05-19T21:58:00+00:00,1841.86,time_exit,12.46,12.11,11.41,11.06,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp10_sl8_h3,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,10.0,8.0,3,2022-06-01T16:59:00+00:00,1845.43,time_exit,1.34,0.99,0.29,-0.06,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl8_h3,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,12.0,8.0,3,2022-06-01T16:59:00+00:00,1845.43,time_exit,1.34,0.99,0.29,-0.06,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl10_h6,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,12.0,10.0,6,2022-06-01T19:59:00+00:00,1848.68,time_exit,4.59,4.24,3.54,3.19,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl10_h6,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,15.0,10.0,6,2022-06-01T19:59:00+00:00,1848.68,time_exit,4.59,4.24,3.54,3.19,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp15_sl12_h6,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,15.0,12.0,6,2022-06-01T19:59:00+00:00,1848.68,time_exit,4.59,4.24,3.54,3.19,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl12_h12,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,18.0,12.0,12,2022-06-02T01:59:00+00:00,1847.11,time_exit,3.02,2.67,1.97,1.62,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp18_sl15_h12,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,18.0,15.0,12,2022-06-02T01:59:00+00:00,1847.11,time_exit,3.02,2.67,1.97,1.62,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp24_sl15_h12_control,long,london_ny_overlap,2022-06-01T14:00:00+00:00,1844.09,24.0,15.0,12,2022-06-02T01:59:00+00:00,1847.11,time_exit,3.02,2.67,1.97,1.62,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp10_sl8_h3,long,london_ny_overlap,2022-06-02T15:00:00+00:00,1863.79,10.0,8.0,3,2022-06-02T17:59:00+00:00,1867.62,time_exit,3.83,3.48,2.78,2.43,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl8_h3,long,london_ny_overlap,2022-06-02T15:00:00+00:00,1863.79,12.0,8.0,3,2022-06-02T17:59:00+00:00,1867.62,time_exit,3.83,3.48,2.78,2.43,2022,close_minus_sma10_ge_10,baseline_control,
baseline_sma_distance_v1_control,control_v1_long,unguarded,tp12_sl10_h6,long,london_ny_overlap,2022-06-02T15:00:00+00:00,1863.79,12.0,10.0,6,2022-06-02T20:59:00+00:00,1869.44,time_exit,5.65,5.3,4.6,4.25,2022,close_minus_sma10_ge_10,baseline_control,
