probe_utc,session,year,h1_trend,h4_trend,vol_bucket,compression_bucket,impulse_bucket,macro_bucket,direction,horizon_hours,entry_price,mfe_usd,mae_usd,close_move_usd,hit_plus_10,hit_plus_15,hit_plus_24,hit_minus_10,hit_minus_15,first_hit_15_15,first_hit_24_15
2022-05-19T02:00:00+00:00,asia,2022,down,down,low,low,normal,normal,long,3,1815.38,2.1,-0.94,-0.21,False,False,False,False,False,none,none
2022-05-19T02:00:00+00:00,asia,2022,down,down,low,low,normal,normal,short,3,1815.38,0.94,-2.1,0.21,False,False,False,False,False,none,none
2022-05-19T02:00:00+00:00,asia,2022,down,down,low,low,normal,normal,long,6,1815.38,2.1,-4.61,-2.38,False,False,False,False,False,none,none
2022-05-19T02:00:00+00:00,asia,2022,down,down,low,low,normal,normal,short,6,1815.38,4.61,-2.1,2.38,False,False,False,False,False,none,none
2022-05-19T02:00:00+00:00,asia,2022,down,down,low,low,normal,normal,long,12,1815.38,25.91,-4.61,23.88,True,True,True,False,False,tp_first,tp_first
2022-05-19T02:00:00+00:00,asia,2022,down,down,low,low,normal,normal,short,12,1815.38,4.61,-25.91,-23.88,False,False,False,True,True,sl_first,sl_first
2022-05-19T05:00:00+00:00,asia,2022,down,down,low,low,normal,normal,long,3,1815.16,0.48,-4.39,-2.16,False,False,False,False,False,none,none
2022-05-19T05:00:00+00:00,asia,2022,down,down,low,low,normal,normal,short,3,1815.16,4.39,-0.48,2.16,False,False,False,False,False,none,none
2022-05-19T05:00:00+00:00,asia,2022,down,down,low,low,normal,normal,long,6,1815.16,15.44,-4.39,13.49,True,True,False,False,False,tp_first,none
2022-05-19T05:00:00+00:00,asia,2022,down,down,low,low,normal,normal,short,6,1815.16,4.39,-15.44,-13.49,False,False,False,True,True,sl_first,sl_first
2022-05-19T05:00:00+00:00,asia,2022,down,down,low,low,normal,normal,long,12,1815.16,33.75,-4.39,27.61,True,True,True,False,False,tp_first,tp_first
2022-05-19T05:00:00+00:00,asia,2022,down,down,low,low,normal,normal,short,12,1815.16,4.39,-33.75,-27.61,False,False,False,True,True,sl_first,sl_first
2022-05-19T08:00:00+00:00,london,2022,down,neutral,mid_high,low,expanded,normal,long,3,1812.99,17.61,-2.21,15.66,True,True,False,False,False,tp_first,none
2022-05-19T08:00:00+00:00,london,2022,down,neutral,mid_high,low,expanded,normal,short,3,1812.99,2.21,-17.61,-15.66,False,False,False,True,True,sl_first,sl_first
2022-05-19T08:00:00+00:00,london,2022,down,neutral,mid_high,low,expanded,normal,long,6,1812.99,28.3,-2.21,26.27,True,True,True,False,False,tp_first,tp_first
2022-05-19T08:00:00+00:00,london,2022,down,neutral,mid_high,low,expanded,normal,short,6,1812.99,2.21,-28.3,-26.27,False,False,False,True,True,sl_first,sl_first
2022-05-19T08:00:00+00:00,london,2022,down,neutral,mid_high,low,expanded,normal,long,12,1812.99,35.92,-2.21,29.61,True,True,True,False,False,tp_first,tp_first
2022-05-19T08:00:00+00:00,london,2022,down,neutral,mid_high,low,expanded,normal,short,12,1812.99,2.21,-35.92,-29.61,False,False,False,True,True,sl_first,sl_first
2022-05-19T11:00:00+00:00,london,2022,up,neutral,mid_low,mid_low,normal,normal,long,3,1828.58,12.71,-1.4,10.68,True,False,False,False,False,none,none
2022-05-19T11:00:00+00:00,london,2022,up,neutral,mid_low,mid_low,normal,normal,short,3,1828.58,1.4,-12.71,-10.68,False,False,False,True,False,none,none
2022-05-19T11:00:00+00:00,london,2022,up,neutral,mid_low,mid_low,normal,normal,long,6,1828.58,20.33,-1.4,14.19,True,True,False,False,False,tp_first,none
2022-05-19T11:00:00+00:00,london,2022,up,neutral,mid_low,mid_low,normal,normal,short,6,1828.58,1.4,-20.33,-14.19,False,False,False,True,True,sl_first,sl_first
2022-05-19T11:00:00+00:00,london,2022,up,neutral,mid_low,mid_low,normal,normal,long,12,1828.58,20.33,-1.4,13.15,True,True,False,False,False,tp_first,none
2022-05-19T11:00:00+00:00,london,2022,up,neutral,mid_low,mid_low,normal,normal,short,12,1828.58,1.4,-20.33,-13.15,False,False,False,True,True,sl_first,sl_first
2022-05-19T14:00:00+00:00,london_ny_overlap,2022,up,neutral,high,mid_high,expanded,normal,long,3,1839.27,9.64,-0.07,3.5,False,False,False,False,False,none,none
2022-05-19T14:00:00+00:00,london_ny_overlap,2022,up,neutral,high,mid_high,expanded,normal,short,3,1839.27,0.07,-9.64,-3.5,False,False,False,False,False,none,none
2022-05-19T14:00:00+00:00,london_ny_overlap,2022,up,neutral,high,mid_high,expanded,normal,long,6,1839.27,9.64,-0.07,3.33,False,False,False,False,False,none,none
2022-05-19T14:00:00+00:00,london_ny_overlap,2022,up,neutral,high,mid_high,expanded,normal,short,6,1839.27,0.07,-9.64,-3.33,False,False,False,False,False,none,none
2022-05-19T14:00:00+00:00,london_ny_overlap,2022,up,neutral,high,mid_high,expanded,normal,long,12,1839.27,9.64,-1.76,-1.34,False,False,False,False,False,none,none
2022-05-19T14:00:00+00:00,london_ny_overlap,2022,up,neutral,high,mid_high,expanded,normal,short,12,1839.27,1.76,-9.64,1.34,False,False,False,False,False,none,none
2022-05-19T17:00:00+00:00,new_york,2022,up,neutral,low,high,normal,normal,long,3,1842.78,1.0,-3.06,-0.18,False,False,False,False,False,none,none
2022-05-19T17:00:00+00:00,new_york,2022,up,neutral,low,high,normal,normal,short,3,1842.78,3.06,-1.0,0.18,False,False,False,False,False,none,none
2022-05-19T17:00:00+00:00,new_york,2022,up,neutral,low,high,normal,normal,long,6,1842.78,1.0,-3.06,-1.05,False,False,False,False,False,none,none
2022-05-19T17:00:00+00:00,new_york,2022,up,neutral,low,high,normal,normal,short,6,1842.78,3.06,-1.0,1.05,False,False,False,False,False,none,none
2022-05-19T17:00:00+00:00,new_york,2022,up,neutral,low,high,normal,normal,long,12,1842.78,1.61,-6.46,-0.25,False,False,False,False,False,none,none
2022-05-19T17:00:00+00:00,new_york,2022,up,neutral,low,high,normal,normal,short,12,1842.78,6.46,-1.61,0.25,False,False,False,False,False,none,none
2022-05-19T20:00:00+00:00,new_york,2022,up,neutral,mid_low,high,normal,normal,long,3,1842.61,0.14,-1.88,-0.88,False,False,False,False,False,none,none
2022-05-19T20:00:00+00:00,new_york,2022,up,neutral,mid_low,high,normal,normal,short,3,1842.61,1.88,-0.14,0.88,False,False,False,False,False,none,none
2022-05-19T20:00:00+00:00,new_york,2022,up,neutral,mid_low,high,normal,normal,long,6,1842.61,1.78,-5.1,-4.68,False,False,False,False,False,none,none
2022-05-19T20:00:00+00:00,new_york,2022,up,neutral,mid_low,high,normal,normal,short,6,1842.61,5.1,-1.78,4.68,False,False,False,False,False,none,none
2022-05-19T20:00:00+00:00,new_york,2022,up,neutral,mid_low,high,normal,normal,long,12,1842.61,6.59,-6.29,1.33,False,False,False,False,False,none,none
2022-05-19T20:00:00+00:00,new_york,2022,up,neutral,mid_low,high,normal,normal,short,12,1842.61,6.29,-6.59,-1.33,False,False,False,False,False,none,none
2022-05-20T00:00:00+00:00,asia,2022,up,neutral,mid_low,high,normal,normal,long,3,1841.91,1.21,-5.59,-3.39,False,False,False,False,False,none,none
2022-05-20T00:00:00+00:00,asia,2022,up,neutral,mid_low,high,normal,normal,short,3,1841.91,5.59,-1.21,3.39,False,False,False,False,False,none,none
2022-05-20T00:00:00+00:00,asia,2022,up,neutral,mid_low,high,normal,normal,long,6,1841.91,4.56,-5.59,3.5,False,False,False,False,False,none,none
2022-05-20T00:00:00+00:00,asia,2022,up,neutral,mid_low,high,normal,normal,short,6,1841.91,5.59,-4.56,-3.5,False,False,False,False,False,none,none
2022-05-20T00:00:00+00:00,asia,2022,up,neutral,mid_low,high,normal,normal,long,12,1841.91,7.29,-5.59,0.39,False,False,False,False,False,none,none
2022-05-20T00:00:00+00:00,asia,2022,up,neutral,mid_low,high,normal,normal,short,12,1841.91,5.59,-7.29,-0.39,False,False,False,False,False,none,none
2022-05-20T03:00:00+00:00,asia,2022,up,neutral,low,mid_high,normal,normal,long,3,1838.54,7.93,-0.01,6.87,False,False,False,False,False,none,none
2022-05-20T03:00:00+00:00,asia,2022,up,neutral,low,mid_high,normal,normal,short,3,1838.54,0.01,-7.93,-6.87,False,False,False,False,False,none,none
2022-05-20T03:00:00+00:00,asia,2022,up,neutral,low,mid_high,normal,normal,long,6,1838.54,10.66,-0.01,6.92,True,False,False,False,False,none,none
2022-05-20T03:00:00+00:00,asia,2022,up,neutral,low,mid_high,normal,normal,short,6,1838.54,0.01,-10.66,-6.92,False,False,False,True,False,none,none
2022-05-20T03:00:00+00:00,asia,2022,up,neutral,low,mid_high,normal,normal,long,12,1838.54,10.66,-6.38,1.88,True,False,False,False,False,none,none
