group_name,group_value,direction,horizon_hours,diagnosis,edge_score,samples,avg_close_move,median_close_move,median_mfe,median_mae,hit_plus_10_rate,hit_plus_15_rate,hit_plus_24_rate,hit_minus_10_rate,hit_minus_15_rate,tp15_first_rate,sl15_first_rate,tp24_first_rate,sl24_first_rate
year,2025,long,12,PROMISING_REGIME_RESEARCH_ONLY,3.428442,1952,2.813689,3.01,15.59,-12.035,0.664959,0.515369,0.317111,0.565574,0.43084,0.441086,0.351947,0.26998,0.394467
compression_bucket,mid_high,long,12,PROMISING_REGIME_RESEARCH_ONLY,3.189388,2282,2.727949,1.815,9.29,-7.375,0.469325,0.328659,0.187993,0.388256,0.256792,0.284838,0.221297,0.150307,0.24014
h4_trend,up,long,12,PROMISING_REGIME_RESEARCH_ONLY,3.130265,3199,2.535392,2.03,10.87,-8.0,0.531729,0.379181,0.220694,0.421069,0.295092,0.33573,0.250391,0.189122,0.272273
session,london_ny_overlap,long,12,PROMISING_REGIME_RESEARCH_ONLY,2.799364,1397,2.468654,0.98,9.01,-8.13,0.46743,0.330709,0.175376,0.425197,0.287044,0.285612,0.236936,0.138869,0.267717
session,new_york,long,12,PROMISING_REGIME_RESEARCH_ONLY,2.501355,1698,2.266961,0.905,6.3,-5.205,0.339812,0.222615,0.127208,0.280919,0.187868,0.189635,0.156655,0.097762,0.171967
h1_trend,up,long,12,PROMISING_REGIME_RESEARCH_ONLY,2.483327,3016,2.061575,1.25,9.955,-8.105,0.498011,0.353117,0.205239,0.422745,0.291446,0.307361,0.247679,0.172745,0.268236
vol_bucket,mid_high,long,12,PROMISING_REGIME_RESEARCH_ONLY,2.11118,2347,1.869165,0.35,9.54,-8.65,0.484448,0.343417,0.192586,0.45164,0.309757,0.295271,0.260332,0.155944,0.286749
h4_trend,up,long,6,PROMISING_REGIME_RESEARCH_ONLY,2.0891,3199,1.742116,1.12,7.02,-5.59,0.380119,0.242263,0.121913,0.300406,0.193811,0.220694,0.170678,0.107221,0.183807
session,new_york,long,6,PROMISING_REGIME_RESEARCH_ONLY,2.028258,1698,1.946985,0.605,3.995,-3.4,0.209069,0.133098,0.073027,0.175501,0.116019,0.114252,0.104829,0.058304,0.112485
session,other,long,3,PROMISING_REGIME_RESEARCH_ONLY,2.027086,278,1.825647,0.98,2.94,-1.33,0.136691,0.086331,0.046763,0.100719,0.057554,0.079137,0.05036,0.046763,0.053957
impulse_bucket,shock_impulse,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.928549,773,1.642652,1.27,9.12,-8.15,0.45925,0.320828,0.164295,0.425614,0.278137,0.278137,0.238034,0.133247,0.265201
year,2025,long,6,PROMISING_REGIME_RESEARCH_ONLY,1.809189,1952,1.468514,1.56,10.455,-8.645,0.518955,0.355533,0.185963,0.448258,0.311988,0.325307,0.27459,0.169057,0.298668
vol_bucket,mid_low,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.544965,2298,1.383956,0.685,9.075,-8.09,0.464317,0.319408,0.185814,0.421671,0.286771,0.271105,0.251958,0.147955,0.27154
h4_trend,up,long,3,PROMISING_REGIME_RESEARCH_ONLY,1.500245,3199,1.353951,0.86,4.66,-3.71,0.247265,0.140669,0.058143,0.201626,0.117537,0.129415,0.109409,0.053142,0.115349
year,2024,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.426159,1960,1.145036,1.75,9.045,-7.09,0.452551,0.270408,0.106122,0.362755,0.235714,0.264286,0.221939,0.104592,0.232653
h1_trend,up,long,6,PROMISING_REGIME_RESEARCH_ONLY,1.310381,3016,1.078946,0.525,6.42,-5.7,0.34748,0.227454,0.11439,0.30305,0.194629,0.203581,0.170424,0.099801,0.182692
impulse_bucket,normal,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.304226,5609,1.089929,0.87,9.2,-7.87,0.472455,0.323409,0.184168,0.417187,0.290248,0.274737,0.245142,0.145659,0.268675
session,other,long,6,PROMISING_REGIME_RESEARCH_ONLY,1.299066,278,1.324245,1.155,5.425,-3.08,0.241007,0.136691,0.093525,0.251799,0.158273,0.129496,0.125899,0.082734,0.147482
macro_bucket,normal,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.287759,7890,1.07344,0.835,9.31,-8.2,0.474778,0.327883,0.183523,0.429024,0.296451,0.280608,0.250317,0.145881,0.275665
compression_bucket,mid_low,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.210814,2304,1.154826,-0.01,8.77,-8.295,0.457465,0.311198,0.162326,0.434896,0.301649,0.267361,0.259983,0.129774,0.284722
impulse_bucket,shock_impulse,long,6,PROMISING_REGIME_RESEARCH_ONLY,1.195098,773,0.977762,0.31,7.61,-6.81,0.388098,0.25097,0.116429,0.371281,0.219922,0.223803,0.192755,0.095731,0.210867
session,other,long,12,PROMISING_REGIME_RESEARCH_ONLY,1.158707,278,1.007626,1.92,8.54,-5.765,0.428058,0.223022,0.125899,0.345324,0.219424,0.201439,0.172662,0.093525,0.197842
compression_bucket,mid_high,long,6,PROMISING_REGIME_RESEARCH_ONLY,1.138865,2282,1.00784,0.705,5.71,-4.95,0.309816,0.196319,0.102542,0.286591,0.177914,0.173532,0.154689,0.085013,0.168712
vol_bucket,mid_low,long,6,PROMISING_REGIME_RESEARCH_ONLY,1.010654,2298,0.958869,0.395,5.53,-5.38,0.303742,0.192776,0.098782,0.289817,0.178851,0.167972,0.163185,0.08181,0.173194
macro_bucket,macro_high,short,6,IGNORE_TOO_FEW_SAMPLES,52.815,2,45.815,45.815,57.29,-13.235,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0
macro_bucket,macro_high,short,12,IGNORE_TOO_FEW_SAMPLES,50.115,2,43.115,43.115,59.045,-13.235,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0
macro_bucket,macro_high,short,3,IGNORE_TOO_FEW_SAMPLES,48.93,2,41.93,41.93,46.185,-13.235,1.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0
macro_bucket,shock,long,12,IGNORE_TOO_FEW_SAMPLES,8.850001,11,8.304545,5.43,20.91,-14.75,0.727273,0.727273,0.454545,0.727273,0.454545,0.454545,0.454545,0.272727,0.454545
