thesis_id,definition,guard_variant,geometry,decision,score,raw_signals,macro_blocked_signals,trades,total_x1,total_x3,total_x4,pf_x1,pf_x3,pf_x4,median_x1,median_x4,win_rate_x1,win_rate_x4,max_dd_x1,max_dd_x4,positive_years,total_years,positive_sessions,total_sessions
h4_up_compression_long_continuation_v1,liquidity_session,unguarded_overlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,17.904255,1024,0,1017,5599.66,4887.76,4531.81,2.397951,2.137453,2.017678,2.0,0.95,0.60177,0.546706,-394.62,-415.62,4,5,2,2
h4_up_compression_long_continuation_v1,liquidity_session,macro_blocked_overlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,17.904255,1024,0,1017,5599.66,4887.76,4531.81,2.397951,2.137453,2.017678,2.0,0.95,0.60177,0.546706,-394.62,-415.62,4,5,2,2
h4_up_compression_long_continuation_v1,confirmed_session,unguarded_overlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,14.709275,730,0,725,3902.8,3395.3,3141.55,2.238449,2.006537,1.899639,1.53,0.48,0.575172,0.52,-354.52,-369.22,4,5,2,2
h4_up_compression_long_continuation_v1,confirmed_session,macro_blocked_overlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,14.709275,730,0,725,3902.8,3395.3,3141.55,2.238449,2.006537,1.899639,1.53,0.48,0.575172,0.52,-354.52,-369.22,4,5,2,2
h4_up_compression_long_continuation_v1,liquidity_session,unguarded_nonoverlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,12.36974,1024,0,262,1480.24,1296.84,1205.14,2.231163,2.019745,1.920727,3.11,2.06,0.629771,0.580153,-193.22,-202.67,4,5,2,2
h4_up_compression_long_continuation_v1,liquidity_session,macro_blocked_nonoverlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,12.36974,1024,0,262,1480.24,1296.84,1205.14,2.231163,2.019745,1.920727,3.11,2.06,0.629771,0.580153,-193.22,-202.67,4,5,2,2
h4_up_compression_long_continuation_v1,liquidity_session,unguarded_overlap,tp24_sl15_h12_control,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,9.298715,1024,0,1017,3098.62,2386.72,2030.77,1.889853,1.630947,1.515002,1.82,0.77,0.588987,0.534907,-306.43,-351.58,4,5,2,2
h4_up_compression_long_continuation_v1,liquidity_session,macro_blocked_overlap,tp24_sl15_h12_control,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,9.298715,1024,0,1017,3098.62,2386.72,2030.77,1.889853,1.630947,1.515002,1.82,0.77,0.588987,0.534907,-306.43,-351.58,4,5,2,2
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_nonoverlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,9.16787,2658,0,483,2146.13,1808.03,1638.98,1.747275,1.600754,1.531684,3.03,1.98,0.598344,0.554865,-398.52,-417.59,4,5,5,5
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,macro_blocked_nonoverlap,time_exit_12h,PROMISING_FOR_STAGE8C_RESEARCH_ONLY,9.16787,2658,0,483,2146.13,1808.03,1638.98,1.747275,1.600754,1.531684,3.03,1.98,0.598344,0.554865,-398.52,-417.59,4,5,5,5
