thesis_id,definition,guard_variant,geometry,signal_utc,entry_utc,direction,session,entry_price,exit_utc,exit_price,exit_reason,gross_usd_x1,net_x1,net_x3,net_x4,year,h1_trend,h4_trend,compression_bucket,vol_bucket,macro_labels,macro_score,macro_regime
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T08:00:00+00:00,2022-05-23T09:00:00+00:00,long,london,1856.32,2022-05-23T20:59:00+00:00,1852.82,time_exit_only,-3.5,-3.85,-4.55,-4.9,2022,up,up,mid_high,mid_high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T09:00:00+00:00,2022-05-23T10:00:00+00:00,long,london,1861.36,2022-05-23T21:58:00+00:00,1853.28,time_exit_only,-8.08,-8.43,-9.13,-9.48,2022,up,up,mid_high,mid_high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T10:00:00+00:00,2022-05-23T11:00:00+00:00,long,london,1864.21,2022-05-23T21:58:00+00:00,1853.28,time_exit_only,-10.93,-11.28,-11.98,-12.33,2022,up,up,mid_high,mid_low,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T11:00:00+00:00,2022-05-23T12:00:00+00:00,long,london,1860.16,2022-05-23T23:59:00+00:00,1853.22,time_exit_only,-6.94,-7.29,-7.99,-8.34,2022,up,up,mid_high,mid_high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T12:00:00+00:00,2022-05-23T13:00:00+00:00,long,london_ny_overlap,1862.09,2022-05-24T00:59:00+00:00,1853.71,time_exit_only,-8.38,-8.73,-9.43,-9.78,2022,up,up,mid_high,mid_low,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T13:00:00+00:00,2022-05-23T14:00:00+00:00,long,london_ny_overlap,1855.56,2022-05-24T01:59:00+00:00,1851.79,time_exit_only,-3.77,-4.12,-4.82,-5.17,2022,up,up,mid_high,high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-23T14:00:00+00:00,2022-05-23T15:00:00+00:00,long,london_ny_overlap,1854.32,2022-05-24T02:59:00+00:00,1849.68,time_exit_only,-4.64,-4.99,-5.69,-6.04,2022,up,up,mid_high,mid_low,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-25T17:00:00+00:00,2022-05-25T18:00:00+00:00,long,new_york,1844.96,2022-05-26T05:59:00+00:00,1844.9,time_exit_only,-0.06,-0.41,-1.11,-1.46,2022,down,up,mid_high,mid_low,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-25T18:00:00+00:00,2022-05-25T19:00:00+00:00,long,new_york,1847.4,2022-05-26T06:59:00+00:00,1843.44,time_exit_only,-3.96,-4.31,-5.01,-5.36,2022,down,up,mid_high,mid_high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-25T19:00:00+00:00,2022-05-25T20:00:00+00:00,long,new_york,1854.37,2022-05-26T07:59:00+00:00,1846.66,time_exit_only,-7.71,-8.06,-8.76,-9.11,2022,neutral,up,mid_high,mid_high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-25T20:00:00+00:00,2022-05-25T21:00:00+00:00,long,new_york,1854.88,2022-05-26T08:59:00+00:00,1847.69,time_exit_only,-7.19,-7.54,-8.24,-8.59,2022,neutral,up,mid_high,low,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-25T21:00:00+00:00,2022-05-25T22:00:00+00:00,long,other,1852.68,2022-05-26T09:59:00+00:00,1845.7,time_exit_only,-6.98,-7.33,-8.03,-8.38,2022,down,up,mid_high,low,,0.0,unknown
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-05-25T23:00:00+00:00,2022-05-26T00:00:00+00:00,long,asia,1852.91,2022-05-26T11:59:00+00:00,1844.41,time_exit_only,-8.5,-8.85,-9.55,-9.9,2022,down,up,mid_high,low,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-06-03T01:00:00+00:00,2022-06-03T02:00:00+00:00,long,asia,1873.11,2022-06-03T13:59:00+00:00,1858.1,time_exit_only,-15.01,-15.36,-16.06,-16.41,2022,up,up,mid_high,high,,0,neutral
h4_up_compression_long_continuation_v1,base_h4up_compression_mid_high,unguarded_overlap,time_exit_12h,2022-06-03T07:00:00+00:00,2022-06-03T08:00:00+00:00,long,london,1865.71,2022-06-03T19:59:00+00:00,1850.64,time_exit_only,-15.07,-15.42,-16.12,-16.47,2022,up,up,mid_high,mid_high,,0,neutral
