definition,guard_variant,geometry,macro_regime_numeric,trades,total_net_x4,median_net_x4,pf_x4,win_rate_x4,max_dd_x4
base_h4up_compression_mid_high,macro_blocked_nonoverlap,time_exit_12h,neutral,270,1020.19,2.245,1.613726,0.566667,-409.02
base_h4up_compression_mid_high,macro_blocked_nonoverlap,time_exit_12h,mixed,143,633.23,2.05,1.651377,0.531469,-134.46
base_h4up_compression_mid_high,macro_blocked_nonoverlap,time_exit_12h,supportive,52,212.2,1.44,2.725063,0.557692,-35.26
base_h4up_compression_mid_high,macro_blocked_nonoverlap,time_exit_12h,hostile,18,-226.64,2.27,0.303032,0.555556,-278.16
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp15_sl12_h12,supportive,67,175.36,2.07,1.953147,0.58209,-34.5
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp15_sl12_h12,neutral,436,97.04,-0.24,1.040188,0.493119,-243.7
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp15_sl12_h12,mixed,231,73.86,-0.12,1.058319,0.497835,-240.16
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp15_sl12_h12,hostile,22,-7.99,-0.135,0.925695,0.5,-55.28
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp18_sl12_h12,neutral,404,360.26,-0.415,1.159244,0.487624,-195.29
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp18_sl12_h12,mixed,227,189.79,-1.16,1.147422,0.484581,-240.56
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp18_sl12_h12,supportive,63,159.42,1.46,1.867261,0.555556,-34.5
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp18_sl12_h12,hostile,22,0.37,-0.135,1.003328,0.5,-55.92
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp24_sl15_h12_control,neutral,349,630.33,1.09,1.308239,0.52149,-180.4
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp24_sl15_h12_control,mixed,196,325.24,0.42,1.278573,0.505102,-114.8
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp24_sl15_h12_control,supportive,57,209.53,1.46,2.314904,0.561404,-37.5
base_h4up_compression_mid_high,macro_blocked_nonoverlap,tp24_sl15_h12_control,hostile,21,1.57,1.39,1.013021,0.52381,-53.32
base_h4up_compression_mid_high,macro_blocked_overlap,time_exit_12h,neutral,1429,4954.31,1.39,1.609063,0.554934,-1376.35
