stage,promotion,decision_scope,candidate,family,side,lookback_hours,trigger,horizon_hours,raw_n,raw_mean_bps,raw_median_bps,raw_hit_rate_pct,event_clock_n,event_clock_mean_bps,event_clock_median_bps,event_clock_hit_rate_pct,round_trip_cost_bps,event_clock_cost_stressed_mean_bps,directional_h1_all_drift_bps,directional_daily_anchor_drift_bps,h1_drift_adjusted_residual_bps,daily_anchor_adjusted_residual_bps,h1_benchmark_cost_adjusted_residual_bps,pre2025_n,pre2025_mean_bps,ex2025_n,ex2025_mean_bps,y2025_n,y2025_mean_bps,first_half_n,first_half_mean_bps,second_half_n,second_half_mean_bps,leave_one_year_out_min_mean_bps,median_mfe_bps,median_mae_bps,mean_mfe_bps,mean_mae_bps,classification,year_means_json,year_counts_json,leave_one_year_out_json
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_UPSIDE_EXTREME_REV_SHORT_L24_T2.5,RETURN_ZSCORE_REVERSAL,SHORT,24,Short after 24H upside move with z >= +2.5,24,325,1.7901335682477097,0.4729971199723959,50.153846153846146,76,1.4161140593677886,2.574148167139856,51.31578947368421,8.0,-6.583885940632212,-8.502590481085887,-7.013983104031285,9.918704540453676,8.430097163399074,1.9187045404536764,53,15.271656387554012,61,15.126872968880685,15,-54.34097217265132,48,19.87533174690304,28,-30.228259119264067,-6.150868919413617,59.69172178229343,-59.602222277001516,90.25366370160656,-78.97389504714776,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 21.937772029965746, ""2023"": 18.853074836559735, ""2024"": 3.114032456666825, ""2025"": -54.34097217265132, ""2026"": 14.167682820169919}","{""2022"": 15, ""2023"": 23, ""2024"": 15, ""2025"": 15, ""2026"": 8}","{""2022"": -3.630195277664499, ""2023"": -6.150868919413617, ""2024"": 0.998593141999175, ""2025"": 15.126872968880685, ""2026"": -0.08407050072657958}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,120,Long when close is <= -2.5 sigma vs 120H rolling mean,24,544,20.76369616365241,14.990654976555495,59.19117647058824,107,15.739413861306806,19.191487829097742,59.813084112149525,8.0,7.739413861306806,8.502590481085887,7.013983104031285,7.236823380220919,8.725430757275522,-0.763176619779081,72,14.547973466146967,87,6.971212437928088,20,53.88109005300423,59,12.8717610447664,48,19.264237114971056,6.971212437928088,71.92648411404878,-44.11462439679825,91.89737815866302,-82.82246352364058,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 20.465655033988785, ""2023"": 13.441832572446442, ""2024"": 9.08031360916823, ""2025"": 53.88109005300423, ""2026"": -29.39724049752253}","{""2022"": 25, ""2023"": 25, ""2024"": 22, ""2025"": 20, ""2026"": 15}","{""2022"": 14.298486674513523, ""2023"": 16.439895961569118, ""2024"": 17.46294569127209, ""2025"": 6.971212437928088, ""2026"": 23.098650985028986}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,48,Long near bottom 0.05 of rolling 48H range,24,814,9.777470451443088,13.400907732268319,56.26535626535627,242,15.609576250501899,24.352893402072027,60.33057851239669,8.0,7.609576250501899,8.502590481085887,7.013983104031285,7.106985769416012,8.595593146470613,-0.8930142305839883,173,9.872383353535024,196,12.121860407017666,46,30.470278540130384,136,10.839342948702546,106,21.72987558111239,12.121860407017666,69.53691629597691,-48.333238162941996,84.46306775260852,-76.94111607647426,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 4.977221313066544, ""2023"": 11.684953749881084, ""2024"": 11.840444090607557, ""2025"": 30.470278540130384, ""2026"": 29.041839983213173}","{""2022"": 48, ""2023"": 71, ""2024"": 54, ""2025"": 46, ""2026"": 23}","{""2022"": 18.24026200821786, ""2023"": 17.239097873566685, ""2024"": 16.692199317705594, ""2025"": 12.121860407017666, ""2026"": 14.198881885879254}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_UPSIDE_EXTREME_REV_SHORT_L120_T1.5,RETURN_ZSCORE_REVERSAL,SHORT,120,Short after 120H upside move with z >= +1.5,24,2649,-19.615511300358435,-14.47166069521888,42.733106832767085,187,-2.0613876609122794,-9.989627289657133,44.38502673796791,8.0,-10.06138766091228,-8.502590481085887,-7.013983104031285,6.441202820173608,4.952595443119006,-1.5587971798263922,122,-7.96615665527789,139,-4.362049757809209,48,4.600946328018398,97,-15.301176999562811,90,12.208163070744396,-4.417798165876584,55.571574615322916,-65.328504214196,93.83600907740474,-87.03243166119753,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -25.017307250053612, ""2023"": -4.772826859385508, ""2024"": -0.22771876092817733, ""2025"": 4.600946328018398, ""2026"": 21.502717388730762}","{""2022"": 28, ""2023"": 55, ""2024"": 39, ""2025"": 48, ""2026"": 17}","{""2022"": 1.9811642164207797, ""2023"": -0.9316213282151063, ""2024"": -2.5445841953675505, ""2025"": -4.362049757809209, ""2026"": -4.417798165876584}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_UPSIDE_EXTREME_REV_SHORT_L24_T2,RETURN_ZSCORE_REVERSAL,SHORT,24,Short after 24H upside move with z >= +2,24,1019,-14.845573945825278,-15.165758625523829,42.00196270853778,163,-2.241743594646147,-9.202681641640176,45.39877300613497,8.0,-10.241743594646147,-8.502590481085887,-7.013983104031285,6.26084688643974,4.772239509385138,-1.7391531135602598,109,8.245104463104688,124,8.166674192906386,39,-35.335174508915735,89,9.343519944572765,74,-16.175371364787804,-6.675639652642616,48.66890543631763,-61.10435971441453,88.078504042598,-82.11025818569071,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 22.23336264549439, ""2023"": 9.333470193624544, ""2024"": -1.9775343172321256, ""2025"": -35.335174508915735, ""2026"": 7.596747562798714}","{""2022"": 25, ""2023"": 45, ""2024"": 39, ""2025"": 39, ""2026"": 15}","{""2022"": -6.675639652642616, ""2023"": -6.6560200393256475, ""2024"": -2.324841673832817, ""2025"": 8.166674192906386, ""2026"": -3.238887968711505}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W72_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,Long near bottom 0.05 of rolling 72H range,24,832,9.827877395938982,12.688232409882039,55.28846153846154,212,12.821394109850717,15.569065016948214,56.60377358490566,8.0,4.821394109850717,8.502590481085887,7.013983104031285,4.3188036287648295,5.807411005819431,-3.6811963712351705,154,10.46272522531876,176,8.622464993721909,36,33.34949201092489,121,9.404379416257909,91,17.364897163968628,8.622464993721909,65.21654041723778,-52.72269392609663,81.13040671629017,-81.43911569901677,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 8.475838362886046, ""2023"": 7.997778836893267, ""2024"": 15.586180678805448, ""2025"": 33.34949201092489, ""2026"": -4.259356627456035}","{""2022"": 48, ""2023"": 59, ""2024"": 47, ""2025"": 36, ""2026"": 22}","{""2022"": 14.093264084572084, ""2023"": 14.681481045174179, ""2024"": 12.033848844754521, ""2025"": 8.622464993721909, ""2026"": 14.79916524785466}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,BB_LOWER_REV_LONG_W72_K2,BOLLINGER_REVERSAL,LONG,72,Long when close is <= -2 sigma vs 72H rolling mean,24,1579,9.983409886713693,11.337120371426312,56.4914502849905,233,11.792081887678382,20.438953571122465,59.65665236051502,8.0,3.792081887678382,8.502590481085887,7.013983104031285,3.2894914065924947,4.7780987836470965,-4.710508593407505,159,7.658123165677407,190,11.089105436869824,43,14.898256902878984,125,3.4658044584251595,108,21.42897706042516,9.199339753299526,69.27266414963329,-54.45952091740702,86.53714893931767,-87.12106767043751,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 4.4617410575726115, ""2023"": 8.354152632120387, ""2024"": 9.717825440409282, ""2025"": 14.898256902878984, ""2026"": 28.68672418266318}","{""2022"": 47, ""2023"": 59, ""2024"": 53, ""2025"": 43, ""2026"": 31}","{""2022"": 13.64437231249005, ""2023"": 12.957816520310113, ""2024"": 12.402835174929836, ""2025"": 11.089105436869824, ""2026"": 9.199339753299526}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_UPSIDE_EXTREME_REV_SHORT_L72_T2.5,RETURN_ZSCORE_REVERSAL,SHORT,72,Short after 72H upside move with z >= +2.5,24,303,1.8953862858346628,-0.3652015129773645,49.504950495049506,45,-5.990519155480768,-3.2327314054803047,48.888888888888886,8.0,-13.990519155480769,-8.502590481085887,-7.013983104031285,2.5120713256051195,1.0234639485505177,-5.4879286743948805,32,-4.604314444667244,37,0.957604500402547,8,-38.12559106394109,27,-6.002989865864635,18,-5.971813089904957,-19.92872543479892,52.34277708592971,-71.6215599990866,92.47626045761041,-85.31533039574808,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -35.356621484885686, ""2023"": 21.885893403155535, ""2024"": -23.953339487942795, ""2025"": -38.12559106394109, ""2026"": 36.55388574884921}","{""2022"": 6, ""2023"": 15, ""2024"": 11, ""2025"": 8, ""2026"": 5}","{""2022"": -1.472657258649241, ""2023"": -19.92872543479892, ""2024"": -0.1790184596842236, ""2025"": 0.957604500402547, ""2026"": -11.308569768522016}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RET_Z_UPSIDE_EXTREME_REV_SHORT_L24_T1.5,RETURN_ZSCORE_REVERSAL,SHORT,24,Short after 24H upside move with z >= +1.5,24,2454,-10.847696512021228,-9.97753145554503,44.94702526487367,298,-6.297791826087729,-2.993661904454603,46.308724832214764,8.0,-14.297791826087728,-8.502590481085887,-7.013983104031285,2.204798654998158,0.7161912779435564,-5.795201345001842,191,6.428645358679288,219,2.097001734796313,79,-29.569434735373864,151,7.264036741726261,147,-20.228649742685775,-11.286523856587833,55.889691661463736,-60.108617766087555,81.02800127832658,-81.11822346463536,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": 20.344160081476662, ""2023"": 6.683019082134132, ""2024"": -3.3265317606046345, ""2025"": -29.569434735373864, ""2026"": -27.450995842405423}","{""2022"": 47, ""2023"": 75, ""2024"": 69, ""2025"": 79, ""2026"": 28}","{""2022"": -11.286523856587833, ""2023"": -10.663535405086114, ""2024"": -7.193062326167789, ""2025"": 2.097001734796313, ""2026"": -4.104126224395527}"
Stage39A_BENCHMARK_FIRST_REVERSAL_OR_MEAN_REVERSION_SCAN,NO_GO,RESEARCH_STAGE_ONLY_NO_PROMOTION,RSI_OVERBOUGHT_REV_SHORT_RSI28_T70,RSI_REVERSAL,SHORT,28,Short when RSI28 >= 70,24,557,16.226070799255517,7.513148009016257,54.39856373429084,91,-6.798476569090572,-8.371930776533976,47.25274725274725,8.0,-14.798476569090571,-8.502590481085887,-7.013983104031285,1.7041139119953153,0.21550653494071348,-6.295886088004685,53,0.46205224444617765,62,-1.8763485249231953,29,-17.321646870413932,40,-2.2702651731894266,51,-10.350014918816958,-11.173874017253667,59.6123089334033,-82.69853284589179,85.84560614088522,-100.05953362408222,FAIL_BENCHMARK_RESEARCH_ONLY,"{""2022"": -12.195290099079479, ""2023"": 6.924360881966405, ""2024"": -0.8222527070862885, ""2025"": -17.321646870413932, ""2026"": -15.646930833431716}","{""2022"": 9, ""2023"": 22, ""2024"": 22, ""2025"": 29, ""2026"": 9}","{""2022"": -6.206143376774717, ""2023"": -11.173874017253667, ""2024"": -8.703939249729622, ""2025"": -1.8763485249231953, ""2026"": -5.8273047595897145}"
