stage,decision_scope,promotion,candidate,family,side,horizon_hours,lookback_hours,trigger_type,threshold,entry_idx,entry_utc,exit_idx,exit_utc,year,entry_close,exit_close,final_bps,mfe_bps,mae_bps,max_adverse_hour,max_favorable_hour,source_stage39a_residual_bps,source_stage39a_event_clock_n
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,169,2022-05-11T00:00:00+00:00,241,2022-05-16T00:00:00+00:00,2022,1833.44,1812.96,-111.70259184920207,137.33746400209412,-188.33449690199845,64,28,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,251,2022-05-16T10:00:00+00:00,323,2022-05-19T10:00:00+00:00,2022,1792.77,1813.0,112.8421381437672,240.5774304567787,-34.47179504342479,0,28,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,526,2022-05-31T22:00:00+00:00,598,2022-06-03T22:00:00+00:00,2022,1835.92,1850.72,80.61353435879548,206.6538847008581,-41.61401368251383,14,53,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,710,2022-06-10T14:00:00+00:00,782,2022-06-15T14:00:00+00:00,2022,1834.7,1830.93,-20.548318526188993,240.85681582820095,-162.36986973347078,56,9,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,1045,2022-06-30T14:00:00+00:00,1117,2022-07-05T15:00:00+00:00,2022,1805.11,1800.24,-26.978965270814115,109.13462337475366,-115.33923140418013,25,2,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,1118,2022-07-05T16:00:00+00:00,1190,2022-07-08T16:00:00+00:00,2022,1786.08,1736.71,-276.4153901281008,79.55970617217645,-302.3380811609777,27,0,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,1261,2022-07-13T15:00:00+00:00,1333,2022-07-18T15:00:00+00:00,2022,1712.55,1717.04,26.218212606932134,191.00172257744407,-88.40617792181149,25,3,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,1394,2022-07-21T04:00:00+00:00,1466,2022-07-26T04:00:00+00:00,2022,1692.0,1726.91,206.32387706855937,278.4869976359339,-66.54846335697351,10,37,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,1811,2022-08-15T13:00:00+00:00,1883,2022-08-18T13:00:00+00:00,2022,1778.21,1769.8,-47.294751463551336,43.86433548343449,-104.26215126447369,54,2,12.930408592169847,87
Stage39B_EVENT_PATH_AND_TRADABILITY_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,120,bb_lower,2.5,1933,2022-08-22T15:00:00+00:00,2005,2022-08-25T15:00:00+00:00,2022,1730.31,1760.05,171.8767157330192,202.27589275910063,-15.60414029855961,0,71,12.930408592169847,87
