classification,candidate,dimension,bucket,n,bucket_share_pct,mean_final_bps,median_final_bps,cost_stressed_mean_bps,hit_rate_pct,median_mae_bps,median_mfe_bps,ex2025_mean_bps,leave_one_year_out_min_mean_bps,touch_stop_100bps_pct,touch_target_100bps_pct,mean_mae_bps,mean_mfe_bps,touch_stop_50bps_pct,touch_stop_150bps_pct,touch_target_50bps_pct,touch_target_150bps_pct,years_count,ex2025_n,leave_one_year_out_json,mean_after_cost_plus_slip_0bps,mean_after_cost_plus_slip_4bps,mean_after_cost_plus_slip_8bps,mean_after_cost_plus_slip_12bps,mean_after_cost_plus_slip_16bps
BAD_BUCKET_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,session_utc,NY_13_19,47,57.3170731707317,6.487713846882323,-3.002990979015241,-1.5122861531176774,48.93617021276596,-88.40617792181149,97.08912529834413,-9.91207303515768,-13.0557128569246,46.808510638297875,46.808510638297875,-116.37936634219616,128.85809121022706,70.2127659574468,29.78723404255319,72.3404255319149,36.17021276595745,5,38,"{""2022"": 25.16826567653557, ""2023"": -13.0557128569246, ""2024"": 12.149028054954574, ""2025"": -9.91207303515768, ""2026"": 14.672214209014054}",-1.5122861531176774,-5.512286153117679,-9.512286153117678,-13.512286153117678,-17.512286153117675
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,atr24_bucket,ATR24_MID,52,33.33333333333333,40.32428939158381,34.76882337264287,32.32428939158382,65.38461538461539,-70.78367552785681,120.69357902302235,17.238825941393245,17.238825941393245,38.46153846153847,61.53846153846154,-96.50430512953184,136.0789427113441,65.38461538461539,21.153846153846153,80.76923076923077,38.46153846153847,5,39,"{""2022"": 49.98347747783682, ""2023"": 38.04985960655513, ""2024"": 51.89957421125805, ""2025"": 17.238825941393245, ""2026"": 43.561189771208085}",32.32428939158382,28.324289391583818,24.324289391583818,20.324289391583815,16.324289391583815
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,50,32.05128205128205,50.07347084470807,32.131479137117445,42.07347084470807,66.0,-88.38887186624677,117.71145188999022,40.15746775941753,40.15746775941753,40.0,62.0,-110.45198252928796,142.42229152780095,76.0,24.0,82.0,30.0,5,41,"{""2022"": 64.17192923096, ""2023"": 52.58674383968696, ""2024"": 48.66294233516368, ""2025"": 40.15746775941753, ""2026"": 46.790515450878566}",42.07347084470807,38.07347084470807,34.07347084470807,30.07347084470808,26.073470844708073
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,prior_ret72_regime,NEUTRAL_-75_75BPS,81,51.92307692307693,49.74987638079189,34.308905671429635,41.74987638079189,62.96296296296296,-65.82497581835823,110.84498412521793,25.525309050305108,25.525309050305108,35.80246913580247,54.32098765432099,-90.63192960566934,141.36640550757116,64.19753086419753,19.753086419753085,76.5432098765432,39.50617283950617,5,67,"{""2022"": 59.98733077946444, ""2023"": 65.64889370559196, ""2024"": 54.43376956057172, ""2025"": 25.525309050305108, ""2026"": 46.81813772853744}",41.74987638079189,37.74987638079189,33.74987638079189,29.74987638079189,25.74987638079189
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,session_utc,LONDON_07_12,31,19.871794871794872,68.92231859161537,49.98685861355767,60.92231859161536,61.29032258064516,-76.42121467580587,133.40089870079063,70.0974628588353,51.19763024532364,38.70967741935484,58.06451612903226,-113.32227699036441,180.51337552536248,70.96774193548387,29.03225806451613,74.19354838709677,45.16129032258064,5,21,"{""2022"": 70.15383433528184, ""2023"": 93.29545753049672, ""2024"": 62.814276277965384, ""2025"": 70.0974628588353, ""2026"": 51.19763024532364}",60.92231859161536,56.92231859161536,52.92231859161536,48.92231859161536,44.92231859161536
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,spread_regime,NA,156,100.0,42.31976882080977,34.03049564779437,34.31976882080977,62.82051282051282,-81.40424120059886,114.91886279222373,24.941128971135086,24.941128971135086,41.02564102564102,57.692307692307686,-121.26766982380902,150.57758759453492,69.87179487179486,27.564102564102566,76.92307692307693,37.82051282051282,5,123,"{""2022"": 50.317911840684445, ""2023"": 48.911271071550914, ""2024"": 44.67658498648266, ""2025"": 24.941128971135086, ""2026"": 42.999400228817365}",34.31976882080977,30.31976882080976,26.31976882080976,22.319768820809767,18.319768820809763
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,trigger_severity_bucket,SEVERITY_MID,52,33.33333333333333,50.503817220506235,31.403718427981396,42.50381722050623,63.46153846153846,-74.06457517217468,120.69357902302235,44.00473973067929,44.00473973067929,44.230769230769226,61.53846153846154,-105.72460983428125,145.4073150297271,63.46153846153846,25.0,80.76923076923077,40.38461538461539,5,41,"{""2022"": 53.931731294061606, ""2023"": 63.07338106553065, ""2024"": 47.15399419886681, ""2025"": 44.00473973067929, ""2026"": 46.50337657638945}",42.50381722050623,38.503817220506235,34.503817220506235,30.503817220506235,26.503817220506235
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,trigger_severity_bucket,SEVERITY_LOW,52,33.33333333333333,48.443878181679466,31.66577880221677,40.443878181679466,63.46153846153846,-69.57846416476175,127.887773793971,25.232455825591547,25.232455825591547,30.76923076923077,63.46153846153846,-118.53457727792528,172.64360890064802,63.46153846153846,25.0,80.76923076923077,40.38461538461539,5,41,"{""2022"": 70.62695448099153, ""2023"": 54.97334638839087, ""2024"": 44.075349610639165, ""2025"": 25.232455825591547, ""2026"": 47.566493651192765}",40.443878181679466,36.443878181679466,32.44387818167948,28.44387818167947,24.44387818167947
CONDITION_BUCKET_WATCH_ONLY_NO_PROMOTION,RANGE_BOTTOM_REV_LONG_W48_Q0.05,weekday,Monday,38,24.358974358974358,83.91493511097478,55.43790074696076,75.91493511097478,68.42105263157895,-64.1315371241208,125.03186469952743,73.8804279293356,52.902480878710705,34.21052631578947,65.78947368421053,-100.41513336741332,186.5989637054779,63.1578947368421,28.947368421052634,81.57894736842105,42.10526315789473,5,29,"{""2022"": 113.4162650271618, ""2023"": 82.70029434827356, ""2024"": 103.16512197020644, ""2025"": 73.8804279293356, ""2026"": 52.902480878710705}",75.91493511097478,71.91493511097478,67.91493511097478,63.91493511097479,59.91493511097479
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,atr24_bucket,ATR24_MID,28,34.146341463414636,57.188152203381335,45.48331007505513,49.188152203381335,60.71428571428571,-52.75418441103186,143.91991348730704,34.354787926790756,34.354787926790756,32.142857142857146,60.71428571428571,-86.35697907125515,164.96541240885412,50.0,21.428571428571427,92.85714285714286,46.42857142857143,5,22,"{""2022"": 82.07237318440141, ""2023"": 60.93074688186288, ""2024"": 47.32108032910453, ""2025"": 34.354787926790756, ""2026"": 61.4811653272721}",49.188152203381335,45.188152203381335,41.188152203381335,37.18815220338132,33.188152203381314
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,atr24_bucket,ATR24_LOW,27,32.926829268292686,29.119385119348763,4.876403911497906,21.119385119348763,51.85185185185185,-66.54846335697351,109.13462337475366,17.18918058703647,17.18918058703647,40.74074074074074,51.85185185185185,-87.41630618667799,125.64210584729608,62.96296296296296,14.814814814814813,62.96296296296296,40.74074074074074,4,25,"{""2022"": 41.14021716053524, ""2023"": 17.529875668591306, ""2024"": 39.12354897365249, ""2025"": 17.18918058703647}",21.119385119348763,17.119385119348763,13.119385119348761,9.119385119348761,5.119385119348761
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,atr24_bucket,ATR24_HIGH,27,32.926829268292686,17.32211157593991,23.58299712148959,9.322111575939912,55.55555555555556,-128.3959806475632,149.66689988744398,-12.12019148624812,-12.12019148624812,59.25925925925925,55.55555555555556,-227.74138471865678,198.13568391118372,81.48148148148148,40.74074074074074,74.07407407407408,48.148148148148145,5,18,"{""2022"": 17.645051302124546, ""2023"": 18.339285674349753, ""2024"": 11.659625555061108, ""2025"": -12.12019148624812, ""2026"": 51.82396168504305}",9.322111575939912,5.322111575939912,1.322111575939912,-2.6778884240600838,-6.677888424060084
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,1,1,1.2195121951219512,660.1801142766761,660.1801142766761,652.1801142766761,100.0,-55.729650645525155,797.7124893730614,660.1801142766761,,0.0,100.0,-55.729650645525155,797.7124893730614,100.0,0.0,100.0,100.0,1,1,{},652.1801142766761,648.1801142766761,644.1801142766761,640.1801142766761,636.1801142766761
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,23,1,1.2195121951219512,473.1166464155545,473.1166464155545,465.1166464155545,100.0,-711.3836573511534,740.8321520183625,473.1166464155545,,100.0,100.0,-711.3836573511534,740.8321520183625,100.0,100.0,100.0,100.0,1,1,{},465.1166464155545,461.1166464155545,457.1166464155545,453.1166464155545,449.1166464155545
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,7,1,1.2195121951219512,251.49578113014437,251.49578113014437,243.49578113014437,100.0,-93.33674252109402,272.6054717463566,251.49578113014437,,0.0,100.0,-93.33674252109402,272.6054717463566,100.0,0.0,100.0,100.0,1,1,{},243.49578113014437,239.49578113014437,235.49578113014437,231.49578113014437,227.49578113014437
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,11,1,1.2195121951219512,158.92413490970148,158.92413490970148,150.92413490970148,100.0,-41.388294836839364,174.545622236697,158.92413490970148,,0.0,100.0,-41.388294836839364,174.545622236697,0.0,0.0,100.0,100.0,1,1,{},150.92413490970148,146.92413490970148,142.92413490970148,138.92413490970148,134.92413490970148
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,22,4,4.878048780487805,157.4502654137938,116.2689696462016,149.4502654137938,100.0,-22.129913201035524,220.50454005670295,101.36515435163362,101.36515435163362,0.0,100.0,-21.743755887731755,238.4746263842502,0.0,0.0,100.0,100.0,3,3,"{""2022"": 183.06250909879327, ""2024"": 203.15956647953493, ""2025"": 101.36515435163362}",149.4502654137938,145.4502654137938,141.4502654137938,137.4502654137938,133.4502654137938
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,9,2,2.4390243902439024,141.17601388631053,141.17601388631053,133.17601388631053,100.0,-103.78690540882141,173.37915661286618,56.49594395079394,56.49594395079394,50.0,50.0,-103.78690540882141,173.37915661286618,100.0,0.0,100.0,50.0,2,1,"{""2023"": 225.8560838218271, ""2025"": 56.49594395079394}",133.17601388631053,129.17601388631053,125.17601388631051,121.17601388631051,117.17601388631051
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,0,2,2.4390243902439024,130.8842525477999,130.8842525477999,122.88425254779989,50.0,-116.22456064939834,257.70511276118066,-111.70259184920207,-111.70259184920207,50.0,100.0,-116.22456064939834,257.70511276118066,50.0,50.0,100.0,50.0,2,1,"{""2022"": 373.47109694480184, ""2025"": -111.70259184920207}",122.88425254779989,118.88425254779989,114.88425254779989,110.88425254779989,106.88425254779989
INSUFFICIENT_BUCKET_EVENTS_NO_PROMOTION,BB_LOWER_REV_LONG_W120_K2.5,hour_utc,3,4,4.878048780487805,116.80032670405764,226.2744339951639,108.80032670405764,75.0,-86.66284235708198,243.6217730039658,7.326219412951417,7.326219412951417,50.0,75.0,-133.15324654160577,203.07560347634202,50.0,25.0,75.0,75.0,3,2,"{""2024"": 49.45903889183959, ""2025"": 7.326219412951417, ""2026"": 257.1243527103465}",108.80032670405764,104.80032670405764,100.80032670405764,96.80032670405764,92.80032670405764
