stage,decision_scope,promotion,candidate,family,side,horizon_hours,horizon_bars,lookback_hours,trigger_type,threshold,event_source,bar_index,entry_ts,exit_ts,entry_close,exit_close,final_bps,cost_stressed_final_bps,mfe_bps,mae_bps,touch_target_50bps,touch_target_100bps,touch_target_150bps,touch_stop_50bps,touch_stop_100bps,touch_stop_150bps,trigger_severity,hour_utc,session_utc,weekday,year,month,spread,spread_roll_median_24,spread_roll_median_120,spread_z240,atr24_bps,atr72_bps,ret1_bps,ret24_bps,ret72_bps,ret120_bps,source_stage39b_residual_bps,source_stage39b_event_clock_n,source_stage39b_median_mae_bps,source_stage39b_median_mfe_bps,spread_regime,prior_ret24_regime,prior_ret72_regime,atr24_bucket,trigger_severity_bucket
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,169,2022-05-11 00:00:00+00:00,2022-05-16 00:00:00+00:00,1833.44,1812.96,-111.70259184920207,-119.70259184920207,137.33746400209412,-188.33449690199845,True,True,False,True,True,True,2.5400343122984474,0,ASIA_00_06,Wednesday,2022,5,50.0,,,,31.260915388308437,29.476270873205312,-24.972388916393307,-113.45498468573356,-217.00967392522253,-186.16651143869566,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_EXTREME_LE_-200BPS,ATR24_MID,SEVERITY_LOW
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,251,2022-05-16 10:00:00+00:00,2022-05-19 10:00:00+00:00,1792.77,1813.0,112.8421381437672,104.8421381437672,240.5774304567787,-1.6176085052732603,True,True,True,False,False,False,2.5343635625668393,10,LONDON_07_12,Monday,2022,5,,,,,34.042308901321654,32.6318105866519,-76.38785101047762,-171.59429188572827,-301.6975559089874,-411.3025293233574,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_EXTREME_LE_-200BPS,ATR24_HIGH,SEVERITY_LOW
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,526,2022-05-31 22:00:00+00:00,2022-06-03 22:00:00+00:00,1835.92,1850.72,80.61353435879548,72.61353435879548,206.6538847008581,-41.61401368251383,True,True,True,False,False,False,2.9689389221161653,22,LATE_20_23,Tuesday,2022,5,,,,,24.164299165852867,21.193349789342474,-25.101328957805038,-99.44131668068623,-84.04087540778148,-151.43631145562276,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_MID,SEVERITY_HIGH
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,710,2022-06-10 14:00:00+00:00,2022-06-15 14:00:00+00:00,1834.7,1830.93,-20.548318526188993,-28.548318526188993,240.85681582820095,-162.36986973347078,True,True,True,True,True,True,2.869519694070022,14,NY_13_19,Friday,2022,6,,,,,18.474232500150453,18.614916280512844,-42.60399989145402,-61.32111244731897,-67.13226138270744,-154.86488226834626,12.93,80,-87.0,153.37,NA,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_LOW,SEVERITY_HIGH
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,1045,2022-06-30 14:00:00+00:00,2022-07-05 15:00:00+00:00,1805.11,1800.24,-26.978965270814115,-34.978965270814115,109.13462337475366,-115.33923140418013,True,True,False,True,True,False,2.898321879905274,14,NY_13_19,Thursday,2022,6,,,,,21.748503590289758,19.65659617497459,-27.898086357007745,-107.7396055393287,-156.2363668091793,-131.53506781764523,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_HIGH
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,1118,2022-07-05 16:00:00+00:00,2022-07-08 16:00:00+00:00,1786.08,1736.71,-276.4153901281008,-284.4153901281008,0.0,-302.3380811609777,False,False,False,True,True,True,2.906763947927878,16,NY_13_19,Tuesday,2022,7,,,,,20.208671469787486,24.423119319175534,-78.65617917610979,-118.06884952031194,-198.92116137033344,-198.75980903254154,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_HIGH
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,1261,2022-07-13 15:00:00+00:00,2022-07-18 15:00:00+00:00,1712.55,1717.04,26.218212606932134,18.218212606932134,191.00172257744407,-88.40617792181149,True,True,True,True,False,False,3.6278605705828473,15,NY_13_19,Wednesday,2022,7,,,,,24.358413691640262,25.22339453680756,-97.1463266545236,-112.35500949763555,-148.5866151244275,-297.55193845003356,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_MID,SEVERITY_HIGH
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,1394,2022-07-21 04:00:00+00:00,2022-07-26 04:00:00+00:00,1692.0,1726.91,206.32387706855937,198.32387706855937,278.4869976359339,-66.54846335697351,True,True,True,True,False,False,2.7540706663006214,4,ASIA_00_06,Thursday,2022,7,,,,,22.425741793210317,21.57789064777903,-14.753614635585333,-103.58481847798751,-129.7367929811466,-200.56410464314945,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,1811,2022-08-15 13:00:00+00:00,2022-08-18 13:00:00+00:00,1778.21,1769.8,-47.294751463551336,-55.294751463551336,43.86433548343449,-104.26215126447369,False,False,False,True,True,False,2.7195854188960875,13,NY_13_19,Monday,2022,8,,,,,23.36577249065195,22.863752825322926,-6.743808340967661,-54.64266938108864,-70.0819763675753,-8.933588043600338,12.93,80,-87.0,153.37,NA,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_LOW,SEVERITY_MID
Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,BB_LOWER_REV_LONG_W120_K2.5,BOLLINGER_REVERSAL,LONG,72,72,120,bb_lower,2.5,recomputed_from_h1,1929,2022-08-22 11:00:00+00:00,2022-08-25 11:00:00+00:00,1734.79,1762.36,158.92413490970148,150.92413490970148,174.545622236697,-41.388294836839364,True,True,True,False,False,False,2.502449630342213,11,LONDON_07_12,Monday,2022,8,,,,,19.756479527792457,20.20110436052805,-13.125550495950433,-109.63386962520416,-226.42508647984783,-272.46015992104964,12.93,80,-87.0,153.37,NA,DOWN_MODERATE_-200_-75BPS,DOWN_EXTREME_LE_-200BPS,ATR24_LOW,SEVERITY_LOW
