stage,candidate,spec_type,dimension,bucket,dimension_a,bucket_a,dimension_b,bucket_b,segment,n,mean_bps,cost_mean_bps,hit_rate_pct
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,first_half,26,28.63896642442213,20.63896642442213,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,second_half,26,52.00961235874551,44.00961235874551,69.23076923076923
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,q1,13,28.064127910299224,20.064127910299224,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,q2,13,29.213804938545028,21.213804938545028,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,q3,13,20.011074676828766,12.011074676828766,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,q4,13,84.00815004066224,76.00815004066224,76.92307692307693
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,atr24_bucket,ATR24_MID,,,,,recent_third,18,52.668651569195475,44.668651569195475,72.22222222222221
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,first_half,25,22.988639011645958,14.988639011645958,52.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,second_half,25,77.1583026777702,69.1583026777702,80.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,q1,12,-14.42542334293038,-22.42542334293038,50.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,q2,13,57.52469656971644,49.52469656971644,53.84615384615385
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,q3,12,73.30112761263247,65.30112761263247,83.33333333333334
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,q4,13,80.71877196866654,72.71877196866654,76.92307692307693
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,DOWN_MODERATE_-200_-75BPS,,,,,recent_third,17,84.7036431161629,76.7036431161629,82.35294117647058
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,first_half,40,9.453041103382436,1.4530411033824358,52.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,second_half,41,89.06386201728893,81.06386201728893,73.17073170731707
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,q1,20,18.887165999735885,10.887165999735885,50.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,q2,20,0.018916207028988375,-7.9810837929710114,55.00000000000001
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,q3,20,36.22334581455017,28.22334581455017,65.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,q4,21,139.38816316275438,131.38816316275438,80.95238095238095
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,prior_ret72_regime,NEUTRAL_-75_75BPS,,,,,recent_third,27,94.04070667410932,86.04070667410932,70.37037037037037
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,first_half,15,39.074981757809766,31.074981757809766,60.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,second_half,16,96.90419687330808,88.90419687330808,62.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,q1,7,19.935883848454715,11.935883848454715,42.857142857142854
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,q2,8,55.82169242849544,47.82169242849544,75.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,q3,8,4.165910658253658,-3.834089341746342,62.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,q4,8,189.6424830883625,181.6424830883625,62.5
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,session_utc,LONDON_07_12,,,,,recent_third,11,106.27264292749669,98.27264292749669,54.54545454545454
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,first_half,78,19.444450356028696,11.444450356028696,56.41025641025641
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,second_half,78,65.19508728559084,57.195087285590844,69.23076923076923
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,q1,39,17.53310560137691,9.53310560137691,51.28205128205128
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,q2,39,21.355795110680482,13.355795110680482,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,q3,39,58.152710372274996,50.152710372274996,69.23076923076923
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,q4,39,72.23746419890666,64.23746419890666,69.23076923076923
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,spread_regime,NA,,,,,recent_third,52,82.19615418870657,74.19615418870657,75.0
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,first_half,26,27.562406085498374,19.562406085498374,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,second_half,26,73.4452283555141,65.4452283555141,65.38461538461539
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q1,13,36.00330807088863,28.00330807088863,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q2,13,19.121504100108126,11.121504100108126,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q3,13,67.19762706558804,59.19762706558804,61.53846153846154
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,q4,13,79.69282964544013,71.69282964544013,69.23076923076923
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_MID,,,,,recent_third,18,86.45227373038351,78.45227373038351,72.22222222222221
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,first_half,26,4.0737312652954065,-3.9262687347045935,46.15384615384615
Stage39D_CONDITION_ROBUSTNESS_AND_FORWARD_SPLIT_AUDIT,RANGE_BOTTOM_REV_LONG_W48_Q0.05,single_condition,trigger_severity_bucket,SEVERITY_LOW,,,,,second_half,26,92.81402509806354,84.81402509806354,80.76923076923077
