spec_id,spec_label,stage39e_classification,stage,decision_scope,promotion,candidate,family,side,horizon_hours,horizon_bars,lookback_hours,trigger_type,threshold,event_source,bar_index,entry_ts,exit_ts,entry_close,exit_close,final_bps,cost_stressed_final_bps,mfe_bps,mae_bps,touch_target_50bps,touch_target_100bps,touch_target_150bps,touch_stop_50bps,touch_stop_100bps,touch_stop_150bps,trigger_severity,hour_utc,session_utc,weekday,year,month,spread,spread_roll_median_24,spread_roll_median_120,spread_z240,atr24_bps,atr72_bps,ret1_bps,ret24_bps,ret72_bps,ret120_bps,source_stage39b_residual_bps,source_stage39b_event_clock_n,source_stage39b_median_mae_bps,source_stage39b_median_mfe_bps,spread_regime,prior_ret24_regime,prior_ret72_regime,atr24_bucket,trigger_severity_bucket,_event_time
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,132,2022-05-09 11:00:00+00:00,2022-05-12 11:00:00+00:00,1865.4,1846.99,-98.69196955076708,-106.69196955076708,31.682212930201903,-179.6397555484075,False,False,False,True,True,True,0.970562390158169,11,LONDON_07_12,Monday,2022,5,,,,,28.153977378505303,31.73855907306408,-22.83825487920277,-86.3603752026143,-15.629014301618003,-75.75918792960378,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_MID,2022-05-09 11:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,619,2022-06-06 19:00:00+00:00,2022-06-09 19:00:00+00:00,1842.11,1848.48,34.57991108023029,26.57991108023029,93.96832979572388,-28.554212289167992,True,False,False,False,False,False,0.9778256852479272,19,NY_13_19,Monday,2022,6,,,,,17.552584166050867,18.394010057586016,-6.726883120405924,-46.36108694595076,-28.74278723841939,-72.11033204167161,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_LOW,SEVERITY_MID,2022-06-06 19:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,950,2022-06-24 15:00:00+00:00,2022-06-29 15:00:00+00:00,1821.86,1831.12,50.827176621695,42.827176621695,104.12435642694896,-54.61451483648517,True,True,False,True,False,False,0.9673913043478304,15,NY_13_19,Friday,2022,6,,,,,24.58960832787476,24.061564425175234,-15.454764671066767,-65.21905094284075,-77.28547697502863,-139.9029068414426,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_MID,SEVERITY_MID,2022-06-24 15:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,1118,2022-07-05 16:00:00+00:00,2022-07-08 16:00:00+00:00,1786.08,1736.71,-276.4153901281008,-284.4153901281008,0.0,-302.3380811609777,False,False,False,True,True,True,0.9722318639361348,16,NY_13_19,Tuesday,2022,7,,,,,20.20867146978749,24.42311931917553,-78.65617917610979,-118.06884952031194,-198.92116137033344,-198.75980903254157,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID,2022-07-05 16:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,1915,2022-08-19 21:00:00+00:00,2022-08-24 21:00:00+00:00,1746.52,1749.53,17.234271580055527,9.234271580055529,53.07697592927596,-108.2724503584276,True,False,False,True,True,False,0.9651031894934312,21,LATE_20_23,Friday,2022,8,,,,,19.42220319716309,19.728675527232543,-16.976375972426183,-73.31961669186482,-170.97191738420946,-303.3062210254567,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_LOW,SEVERITY_MID,2022-08-19 21:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,2110,2022-09-01 00:00:00+00:00,2022-09-06 00:00:00+00:00,1708.86,1713.73,28.49853118453316,20.49853118453316,52.31557880692517,-118.38301557763552,True,False,False,True,True,False,0.9635639926515668,0,ASIA_00_06,Thursday,2022,9,42.0,,,,22.34882384296694,22.670519084670147,-11.923549009293932,-83.33236615174044,-148.56194116324662,-239.8821150748776,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_MID,SEVERITY_MID,2022-09-01 00:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,2763,2022-10-10 05:00:00+00:00,2022-10-13 05:00:00+00:00,1691.49,1669.75,-128.52573766324315,-136.52573766324315,0.6503142200076084,-181.2011894838284,False,False,False,True,True,True,0.969107551487416,5,ASIA_00_06,Monday,2022,10,,,,,31.69466303826133,29.559222057534694,-14.345423632757814,-117.60788025379388,-163.75425231878626,168.62646082816292,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,DOWN_MODERATE_-200_-75BPS,ATR24_HIGH,SEVERITY_MID,2022-10-10 05:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3203,2022-11-03 12:00:00+00:00,2022-11-08 12:00:00+00:00,1621.27,1670.3,302.4172408050485,294.4172408050485,372.6091274124621,-29.729779740573782,True,True,True,False,False,False,0.9675795408779722,12,LONDON_07_12,Thursday,2022,11,,,,,32.18351895251852,25.97891807835968,-16.502971150590405,-204.75361898547595,-111.67494114346366,-237.8414831674469,8.96,145,-76.42,123.1,,DOWN_EXTREME_LE_-200BPS,DOWN_MODERATE_-200_-75BPS,ATR24_HIGH,SEVERITY_MID,2022-11-03 12:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3615,2022-11-28 19:00:00+00:00,2022-12-01 19:00:00+00:00,1742.45,1801.39,338.2593474705153,330.2593474705153,352.4921805503744,-17.618869981921303,True,True,True,False,False,False,0.968275862068963,19,NY_13_19,Monday,2022,11,,,,,26.64675369158424,21.012319286189204,-14.555957340729451,-44.28065363958456,0.401749331373491,7.236430257466786,8.96,145,-76.42,123.1,,NEUTRAL_-75_75BPS,NEUTRAL_-75_75BPS,ATR24_MID,SEVERITY_MID,2022-11-28 19:00:00+00:00
1,RANGE_BOTTOM_REV_LONG_W48_Q0.05 :: trigger_severity_bucket=SEVERITY_MID,STRICT_FROZEN_OOS_WATCH_ONLY_NO_PROMOTION,Stage39C_MICROSTRUCTURE_SESSION_CONDITION_DIAGNOSTIC,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,RANGE_BOTTOM_REV_LONG_W48_Q0.05,ROLLING_RANGE_REVERSAL,LONG,72,72,48,range_bottom,0.05,recomputed_from_h1,3734,2022-12-05 18:00:00+00:00,2022-12-08 18:00:00+00:00,1773.21,1789.68,92.88239971577016,84.88239971577016,121.13624443805372,-42.40896453324705,True,True,False,False,False,False,0.96392838335966,18,NY_13_19,Monday,2022,12,,,,,26.14733678492455,28.78617741487928,-25.706217867227377,-123.48360792701295,120.83057464441494,161.7201244706279,8.96,145,-76.42,123.1,,DOWN_MODERATE_-200_-75BPS,UP_MODERATE_75_200BPS,ATR24_MID,SEVERITY_MID,2022-12-05 18:00:00+00:00
