stage,decision_scope,promotion,ea,paper_live,live,family,candidate,side,trigger,horizon_hours,params_json,raw_trigger_count,event_clock_n,round_trip_cost_bps,directional_h1_all_drift_bps,directional_daily_anchor_drift_bps,n,event_clock_mean_bps,event_clock_median_bps,cost_stressed_mean_bps,event_clock_hit_rate_pct,median_mae_bps,median_mfe_bps,touch_stop_100bps_pct,touch_target_100bps_pct,mean_after_cost_plus_slip16_bps,h1_drift_adjusted_residual_bps,daily_anchor_adjusted_residual_bps,h1_benchmark_cost_adjusted_residual_bps,daily_anchor_cost_adjusted_residual_bps,pre2025_n,pre2025_cost_mean_bps,ex2025_n,ex2025_cost_mean_bps,y2025_n,y2025_cost_mean_bps,leave_one_year_out_min_cost_mean_bps,leave_one_year_out_json,year_cost_mean_json,year_counts_json,train_n,train_cost_mean_bps,train_slip16_mean_bps,train_hit_rate_pct,train_median_mae_bps,oos_n,oos_cost_mean_bps,oos_slip16_mean_bps,oos_hit_rate_pct,oos_median_mae_bps,first_half_n,first_half_cost_mean_bps,first_half_slip16_mean_bps,first_half_hit_rate_pct,first_half_median_mae_bps,second_half_n,second_half_cost_mean_bps,second_half_slip16_mean_bps,second_half_hit_rate_pct,second_half_median_mae_bps,q1_n,q1_cost_mean_bps,q1_slip16_mean_bps,q1_hit_rate_pct,q1_median_mae_bps,q2_n,q2_cost_mean_bps,q2_slip16_mean_bps,q2_hit_rate_pct,q2_median_mae_bps,q3_n,q3_cost_mean_bps,q3_slip16_mean_bps,q3_hit_rate_pct,q3_median_mae_bps,q4_n,q4_cost_mean_bps,q4_slip16_mean_bps,q4_hit_rate_pct,q4_median_mae_bps,recent_third_n,recent_third_cost_mean_bps,recent_third_slip16_mean_bps,recent_third_hit_rate_pct,recent_third_median_mae_bps,worst_quarter_cost_mean_bps,worst_quarter_slip16_mean_bps,hard_fail_reasons,classification
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 2.0, ""lookback"": 120}",205,88,8.0,25.002508867881485,23.30868059339869,88,53.2044469079274,68.35272593008312,45.204446907927384,63.63636363636363,-84.29593482414344,129.60720650455062,44.31818181818182,57.95454545454546,29.204446907927384,28.201938040045913,29.895766314528707,20.2019380400459,21.895766314528693,57,37.66668079342276,67,32.662466303670236,21,85.219337407224,32.662466303670236,"{""2022"": 55.7097404093126, ""2023"": 47.94486169575872, ""2024"": 37.03608751286686, ""2025"": 32.662466303670236, ""2026"": 50.469319112523095}","{""2022"": -15.403015600064247, ""2023"": 36.983202544433404, ""2024"": 69.709525093109, ""2025"": 85.219337407224, ""2026"": 4.13844371208084}","{""2022"": 13, ""2023"": 22, ""2024"": 22, ""2025"": 21, ""2026"": 10}",58,37.77978267464552,21.779782674645517,60.3448275862069,-78.42709339138332,30,59.55879775893899,43.55879775893899,70.0,-105.39501605010105,44,37.006363631034894,21.006363631034894,63.63636363636363,-78.42709339138332,44,53.40253018481988,37.40253018481988,63.63636363636363,-96.94633470620606,22,3.8851551080428863,-12.114844891957114,59.09090909090909,-103.75603043804915,22,70.1275721540269,54.12757215402689,68.18181818181817,-57.920344513499586,22,62.87100717934684,46.87100717934684,63.63636363636363,-98.61842701061329,22,43.93405319029293,27.93405319029293,63.63636363636363,-95.41872845229892,30,59.55879775893899,43.55879775893899,70.0,-105.39501605010105,3.8851551080428863,-12.114844891957114,,STRICT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,SESSION_TRANSITION_IMBALANCE,ASIA_COMP_LONDON_BREAKOUT_LONG_Q0.4,LONG,Asia compression then London breakout up,72,"{""asia_range_q"": 0.4, ""direction"": ""breakout_up""}",671,155,8.0,25.002508867881485,23.30868059339869,155,45.95840560361998,31.599917565432456,37.95840560361999,55.483870967741936,-82.99851085948661,108.74587784601263,45.16129032258064,55.483870967741936,21.958405603619987,20.955896735738495,22.64972501022129,12.955896735738502,14.649725010221296,107,28.20721489551395,119,30.427301957894457,36,62.852887099212694,27.186688551920007,"{""2022"": 48.976476607626175, ""2023"": 45.13784534572801, ""2024"": 27.186688551920007, ""2025"": 30.427301957894457, ""2026"": 36.929202303438096}","{""2022"": -9.913213241372429, ""2023"": 13.34318363067817, ""2024"": 66.01497094758271, ""2025"": 62.85288709921268, ""2026"": 50.223078264120666}","{""2022"": 29, ""2023"": 35, ""2024"": 43, ""2025"": 36, ""2026"": 12}",103,31.111495276557854,15.111495276557854,57.28155339805825,-79.83100049923308,52,51.52055490530071,35.52055490530071,51.92307692307693,-105.25664353029651,77,16.437207262096788,0.43720726209678773,53.246753246753244,-83.5332397921984,78,59.20369114589288,43.20369114589288,57.692307692307686,-74.5055473779005,38,-3.2611341340619484,-19.261134134061948,47.368421052631575,-113.70117760262809,39,35.630462981430945,19.630462981430945,58.97435897435898,-72.42154332806061,39,63.0706143208492,47.0706143208492,64.1025641025641,-51.32341693589226,39,55.33676797093653,39.33676797093653,51.28205128205128,-119.20981733482883,52,51.52055490530071,35.52055490530071,51.92307692307693,-105.25664353029651,-3.2611341340619484,-19.261134134061948,,SOFT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,SESSION_TRANSITION_IMBALANCE,ASIA_COMP_LONDON_BREAKOUT_LONG_Q0.25,LONG,Asia compression then London breakout up,72,"{""asia_range_q"": 0.25, ""direction"": ""breakout_up""}",542,134,8.0,25.002508867881485,23.30868059339869,134,42.17723107262294,31.295647958097252,34.17723107262293,54.47761194029851,-85.9355702091702,111.39403106196767,47.01492537313433,55.970149253731336,18.17723107262293,17.174722204741453,18.868550479224247,9.174722204741446,10.86855047922424,93,16.163024690934474,101,21.62754547839861,33,72.58687486100646,21.62754547839861,"{""2022"": 45.71929009023834, ""2023"": 43.02448990767492, ""2024"": 29.056347571427388, ""2025"": 21.62754547839861, ""2026"": 30.940699735477136}","{""2022"": -18.72387275811433, ""2023"": 5.976593535894763, ""2024"": 47.602249981162615, ""2025"": 72.58687486100646, ""2026"": 85.15259963266931}","{""2022"": 24, ""2023"": 32, ""2024"": 37, ""2025"": 33, ""2026"": 8}",89,20.150824228628572,4.150824228628572,56.17977528089888,-79.83100049923308,45,61.91834683074513,45.91834683074513,51.11111111111111,-112.89859106868639,67,1.6638618378921528,-14.336138162107847,52.23880597014925,-86.70369637032493,67,66.69060030735373,50.69060030735373,56.71641791044776,-85.16744404801545,33,-0.5987867284360391,-16.59878672843604,48.484848484848484,-119.6796173550907,34,3.859961916975401,-12.1400380830246,55.88235294117647,-78.15774393155561,33,57.723677666703516,41.723677666703516,60.60606060606061,-51.32341693589226,34,75.39378992916127,59.39378992916127,52.94117647058824,-118.58110191634519,45,61.91834683074513,45.91834683074513,51.11111111111111,-112.89859106868639,-0.5987867284360391,-16.59878672843604,,SOFT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.25_M2.0,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.25, ""expansion_mult"": 2.0, ""lookback"": 120}",280,110,8.0,25.002508867881485,23.30868059339869,110,41.35313838301361,55.297006846458665,33.353138383013594,60.0,-85.9918570376067,132.9796524469307,43.63636363636363,58.18181818181818,17.353138383013594,16.350629515132123,18.044457789614917,8.350629515132109,10.044457789614903,73,26.67808127019141,84,21.720085031981007,26,70.93684920942658,21.720085031981007,"{""2022"": 39.459686636492755, ""2023"": 39.959558562352264, ""2024"": 25.58816686174631, ""2025"": 21.720085031981007, ""2026"": 38.30159608251579}","{""2022"": -0.053272650725288216, ""2023"": 13.04451338726881, ""2024"": 55.04150711482914, ""2025"": 70.93684920942658, ""2026"": -11.182980912506222}","{""2022"": 17, ""2023"": 27, ""2024"": 29, ""2025"": 26, ""2026"": 11}",73,26.67808127019141,10.67808127019141,57.534246575342465,-84.43438820098126,37,46.52284565966278,30.522845659662778,64.86486486486487,-98.33356537108817,55,11.91405219197265,-4.085947808027351,56.36363636363636,-92.33397197663918,55,54.79222457405455,38.79222457405455,63.63636363636363,-78.08030010367672,27,-1.977635401067671,-17.977635401067673,55.55555555555556,-106.30766046901718,28,25.309608085261534,9.309608085261534,57.14285714285714,-83.20806968924177,27,57.75053894333472,41.75053894333472,62.96296296296296,-62.95886210714641,28,51.93956428939153,35.93956428939153,64.28571428571429,-92.72404926499611,37,46.52284565966278,30.522845659662778,64.86486486486487,-98.33356537108817,-1.977635401067671,-17.977635401067673,,SOFT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L72_Q0.15_M1.5,LONG,Compressed 72H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 1.5, ""lookback"": 72}",429,140,8.0,25.002508867881485,23.30868059339869,140,39.67102682158809,34.20883866077196,31.671026821588086,55.714285714285715,-92.29294763934803,123.527511342445,46.42857142857143,54.285714285714285,15.671026821588086,14.668517953706608,16.362346228189402,6.668517953706601,8.362346228189395,97,12.353225659060245,108,13.114792257319202,32,94.29831847599557,13.114792257319202,"{""2022"": 41.79884782785249, ""2023"": 39.32189400742754, ""2024"": 30.62378630889164, ""2025"": 13.114792257319202, ""2026"": 32.68069054388142}","{""2022"": -19.8487582972352, ""2023"": 9.568521618051896, ""2024"": 34.482040829352236, ""2025"": 94.29831847599557, ""2026"": 19.83042498742091}","{""2022"": 23, ""2023"": 36, ""2024"": 38, ""2025"": 32, ""2026"": 11}",93,11.452805101091228,-4.5471948989087725,52.68817204301075,-94.18435445832651,47,71.67729533235848,55.67729533235848,61.702127659574465,-87.2994268257643,70,-3.2938368405247656,-19.293836840524765,51.42857142857142,-98.32220541178327,70,66.63589048370093,50.63589048370093,60.0,-89.82240445605194,35,-7.679752167409676,-23.679752167409674,42.857142857142854,-139.83495873968522,35,1.0920784863601478,-14.907921513639852,60.0,-80.26943035706502,35,52.89702100283729,36.89702100283729,57.14285714285714,-89.8075441449997,35,80.3747599645646,64.3747599645646,62.857142857142854,-98.23112469721673,47,71.67729533235848,55.67729533235848,61.702127659574465,-87.2994268257643,-7.679752167409676,-23.679752167409674,,SOFT_PARALLEL_THESIS_WATCH_ONLY_NO_PROMOTION
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,PULLBACK_CONTINUATION_AFTER_TREND,UPTREND_PULLBACK_CONT_LONG_TL120_T300,LONG,Uptrend 120H then controlled pullback continuation,72,"{""mean_lookback"": 24, ""trend_bps"": 300, ""trend_lookback"": 120}",378,59,8.0,25.002508867881485,23.30868059339869,59,47.12049679132351,74.0799241825929,39.12049679132351,57.6271186440678,-131.0355394290552,180.33247504594786,61.016949152542374,67.79661016949152,23.12049679132351,22.117987923442026,23.81181619792482,14.117987923442026,15.81181619792482,25,4.83952158729163,37,45.571539755066446,22,28.271015443210388,15.807454881551475,"{""2022"": 39.752957492103626, ""2023"": 40.81933478168668, ""2024"": 54.80767002621144, ""2025"": 45.571539755066446, ""2026"": 15.807454881551475}","{""2022"": 30.424162155596974, ""2023"": 29.68250795597259, ""2024"": -22.320931711987544, ""2025"": 28.27101544321039, ""2026"": 130.42991093793066}","{""2022"": 4, ""2023"": 9, ""2024"": 12, ""2025"": 22, ""2026"": 12}",39,15.563382125036805,-0.43661787496319526,56.41025641025641,-121.98350289691962,20,85.0568703905826,69.0568703905826,60.0,-169.45580146439764,29,-1.4199384152027936,-17.419938415202793,55.172413793103445,-131.0355394290552,30,78.30958415763226,62.30958415763226,60.0,-130.37236102696082,14,47.48916876402139,31.489168764021393,64.28571428571429,-98.84867282036413,15,-47.0684384491454,-63.0684384491454,46.666666666666664,-136.6279777112689,15,55.44985370743157,39.44985370743157,60.0,-93.30748352074369,15,101.16931460783297,85.16931460783297,60.0,-175.47430902795202,20,85.0568703905826,69.0568703905826,60.0,-169.45580146439764,-47.0684384491454,-63.0684384491454,worst_quarter_cost_floor;worst_quarter_slip16_floor;stop100_cap,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOL_COMPRESSION_EXPANSION,VOL_COMP_EXP_LONG_L120_Q0.15_M1.5,LONG,Compressed 120H range then bullish expansion,72,"{""compression_q"": 0.15, ""expansion_mult"": 1.5, ""lookback"": 120}",429,113,8.0,25.002508867881485,23.30868059339869,113,47.00596347407985,52.226589904342816,39.00596347407985,57.52212389380531,-80.84127840128575,124.37595902401011,42.47787610619469,54.86725663716814,23.00596347407985,22.003454606198364,23.697282880681158,14.003454606198364,15.697282880681158,72,27.686075717289402,86,30.691567255125655,27,65.4888551344525,30.645045703005398,"{""2022"": 46.8765713013976, ""2023"": 47.575378810151896, ""2024"": 30.645045703005398, ""2025"": 30.691567255125655, ""2026"": 37.99592464924297}","{""2022"": -8.70959647903407, ""2023"": 10.331381387992577, ""2024"": 62.137835974052514, ""2025"": 65.48885513445249, ""2026"": 46.14838087828349}","{""2022"": 16, ""2023"": 26, ""2024"": 30, ""2025"": 27, ""2026"": 14}",75,28.957027597266407,12.957027597266407,54.666666666666664,-74.74155921893488,38,58.83938954673798,42.83938954673798,63.1578947368421,-106.14895709603556,56,12.87382112246326,-3.1261788775367396,53.57142857142857,-79.77725839564354,57,64.67964718794879,48.67964718794879,61.40350877192983,-87.11453315890405,28,-12.008189177332794,-28.008189177332795,50.0,-85.08960075533645,28,37.75583142225931,21.755831422259313,57.14285714285714,-73.85517115718832,28,56.39686701018469,40.39686701018469,57.14285714285714,-69.22756132586804,29,72.67681425613482,56.67681425613482,65.51724137931035,-100.5289816541477,38,58.83938954673798,42.83938954673798,63.1578947368421,-106.14895709603556,-12.008189177332794,-28.008189177332795,worst_quarter_cost_floor;worst_quarter_slip16_floor,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOLATILITY_SHOCK_REVERSAL,UPPER_WICK_SHOCK_REV_SHORT_M2.5_W1.5,SHORT,Large H1 shock with upper-wick rejection,24,"{""range_atr_mult"": 2.5, ""wick_ratio"": 1.5}",55,52,8.0,-8.502590481085887,-8.612916361476685,52,10.804294268211107,6.293575370477367,2.8042942682111067,50.0,-43.292053207389934,64.3280233879845,26.923076923076923,30.76923076923077,-13.195705731788893,19.306884749296994,19.417210629687794,11.306884749296994,11.417210629687792,43,-10.247212201687876,46,7.85695422269138,6,-35.93276538280431,-13.39238197896744,"{""2022"": 12.004886509076382, ""2023"": -2.75307253053066, ""2024"": 12.249472317502468, ""2025"": 7.85695422269138, ""2026"": -13.39238197896744}","{""2022"": -56.34237013735135, ""2023"": 12.456562918657342, ""2024"": -16.641660539153456, ""2025"": -35.93276538280431, ""2026"": 267.35000630546074}","{""2022"": 7, ""2023"": 19, ""2024"": 17, ""2025"": 6, ""2026"": 3}",34,-7.854612358211307,-23.854612358211305,50.0,-41.856067602392685,18,22.93778456256456,6.937784562564559,50.0,-60.96164968540374,26,-6.066226750268077,-22.06622675026808,50.0,-27.893500572051533,26,11.674815286690292,-4.325184713309708,50.0,-64.60865061629129,13,-31.78758448573877,-47.78758448573877,38.46153846153847,-41.841681873644454,13,19.655130985202618,3.655130985202618,61.53846153846154,-26.23695793935399,13,-27.90602313774604,-43.90602313774604,46.15384615384615,-86.78089108741239,13,51.25565371112662,35.25565371112662,53.84615384615385,-46.794590497467595,18,22.93778456256456,6.937784562564559,50.0,-60.96164968540374,-31.78758448573877,-47.78758448573877,loyo_floor;train_cost_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,VOLATILITY_SHOCK_REVERSAL,UPPER_WICK_SHOCK_REV_SHORT_M2.5_W1.5,SHORT,Large H1 shock with upper-wick rejection,72,"{""range_atr_mult"": 2.5, ""wick_ratio"": 1.5}",55,46,8.0,-25.002508867881485,-23.30868059339869,46,-6.5924526295874974,-5.065055866158574,-14.592452629587498,45.65217391304348,-94.02680623668225,113.74163824418915,47.82608695652174,54.347826086956516,-30.5924526295875,18.410056238293986,16.716227963811193,10.410056238293986,8.716227963811193,37,-33.243497861821524,40,-11.444989841852486,6,-35.57553788115429,-33.56889879475167,"{""2022"": -5.139153072056694, ""2023"": -28.563138775864047, ""2024"": 8.54912784657667, ""2025"": -11.444989841852486, ""2026"": -33.56889879475167}","{""2022"": -67.26083587868773, ""2023"": 11.602583894681029, ""2024"": -67.48749371796275, ""2025"": -35.5755378811543, ""2026"": 257.40327573776557}","{""2022"": 7, ""2023"": 16, ""2024"": 14, ""2025"": 6, ""2026"": 3}",30,-16.427218177789168,-32.42721817778917,53.333333333333336,-83.63041345953448,16,-11.15226722670937,-27.15226722670937,31.25,-155.78994022292792,23,-12.399326471126852,-28.39932647112685,52.17391304347826,-79.03910537396808,23,-16.785578788048145,-32.78557878804814,39.130434782608695,-150.09146432891197,11,-54.22748694248069,-70.22748694248068,36.36363636363637,-88.22172154510088,12,25.943153960947495,9.943153960947495,66.66666666666666,-42.345408980497545,11,-79.16357225780078,-95.16357225780078,45.45454545454545,-155.13754741953935,12,40.39424855922508,24.394248559225083,33.33333333333333,-105.73212734246496,16,-11.15226722670937,-27.15226722670937,31.25,-155.78994022292792,-79.16357225780078,-95.16357225780078,ex2025_floor;loyo_floor;train_cost_floor;oos_cost_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY
Stage40_PARALLEL_THESIS_MEGASCAN,RESEARCH_STAGE_ONLY_NO_PROMOTION,NO_GO,NO_GO,NO_GO,NO_GO,FALSE_BREAKOUT_SWEEP_REVERSAL,SWEEP_LOW_REV_LONG_L72_T15,LONG,Sweep below prior 72H low by 15bps then close back inside,8,"{""lookback"": 72, ""threshold_bps"": 15}",52,49,8.0,2.7951299583446616,1.1310753012648225,49,19.909119136428245,23.26049171957445,11.909119136428245,59.183673469387756,-36.7520102609642,52.28069019297621,20.408163265306122,24.489795918367346,-4.090880863571755,17.113989178083585,18.778043835163423,9.113989178083584,10.778043835163423,21,34.75361432424601,33,7.469858306642231,16,21.065094597861894,0.020646539806129162,"{""2022"": 0.020646539806129162, ""2023"": 10.084833893036093, ""2024"": 12.933682120774392, ""2025"": 7.469858306642231, ""2026"": 28.834254442566394}","{""2022"": 48.5652429760131, ""2023"": 39.881492868441235, ""2024"": 4.566417748614185, ""2025"": 21.065094597861897, ""2026"": -40.276714724164364}","{""2022"": 12, ""2023"": 3, ""2024"": 6, ""2025"": 16, ""2026"": 12}",32,23.492454434396514,7.492454434396514,53.125,-35.62086678850829,17,-9.894806130335557,-25.894806130335557,70.58823529411765,-88.26003440007058,24,37.10077033930508,21.10077033930508,58.333333333333336,-33.696746746366685,25,-12.274866018333514,-28.274866018333512,60.0,-59.13362275378642,12,48.56524297601309,32.56524297601309,58.333333333333336,-34.51154848075566,12,25.63629770259705,9.636297702597052,58.333333333333336,-27.30727339694039,12,10.843393635793552,-5.156606364206448,58.333333333333336,-36.26243888358471,13,-33.614798006758505,-49.614798006758505,61.53846153846154,-116.2148882332703,17,-9.894806130335557,-25.894806130335557,70.58823529411765,-88.26003440007058,-33.614798006758505,-49.614798006758505,oos_cost_floor;worst_quarter_cost_floor;worst_quarter_slip16_floor,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY
