ts_utc,family,candidate,side,horizon_h,entry_close,raw_return_bps,cost_return_bps,slip16_return_bps,hour_utc,weekday,session_utc,year,quarter,mae_bps,mfe_bps,touch_stop_100bps
2022-05-23 08:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1855.96,-6.304015172741151,-14.30401517274115,-30.304015172741153,8,Monday,LONDON_OPEN,2022,2022Q2,-49.40839242225103,49.138990064441224,False
2022-07-28 10:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1744.14,126.53800727005837,118.53800727005837,102.53800727005837,10,Thursday,LONDON_MID,2022,2022Q3,-47.5879229878351,135.31023885697158,False
2022-08-25 09:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1760.32,-26.813306671514823,-34.81330667151482,-50.81330667151482,9,Thursday,LONDON_MID,2022,2022Q3,-46.92328667515011,28.3471187056894,False
2022-09-30 08:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1667.42,-4.61791270345846,-12.61791270345846,-28.617912703458458,8,Friday,LONDON_OPEN,2022,2022Q3,-44.67980472826261,46.23909992683251,False
2022-10-04 08:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1702.96,89.49123878423393,81.49123878423393,65.49123878423393,8,Tuesday,LONDON_OPEN,2022,2022Q4,-15.326255461080018,154.2608164607495,False
2022-10-26 10:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1670.8,-49.13813741920015,-57.13813741920015,-73.13813741920015,10,Wednesday,LONDON_MID,2022,2022Q4,-71.16351448407832,23.761072540100514,False
2022-11-14 16:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1768.97,16.56331085320817,8.563310853208169,-7.4366891467918315,16,Monday,LONDON_NY_OVERLAP,2022,2022Q4,-14.584758362210515,98.02314341113672,False
2022-12-01 07:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1779.97,96.0690348713733,88.0690348713733,72.0690348713733,7,Thursday,LONDON_OPEN,2022,2022Q4,-30.843216458704692,136.51915481721622,False
2023-01-04 10:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1859.84,-73.23210598761176,-81.23210598761176,-97.23210598761176,10,Wednesday,LONDON_MID,2023,2023Q1,-86.83542670337107,15.270130763938017,False
2023-01-11 07:00:00+00:00,41A_MTF_STRUCTURE_BREAK_RETEST,MTF_BREAK_RETEST_LONG_W96_TOL20,LONG,24,1882.21,6.959903517673727,-1.0400964823262733,-17.040096482326273,7,Wednesday,LONDON_OPEN,2023,2023Q1,-81.07490662572215,22.420452553115755,False
