stage,family,candidate,side,horizon_bars,horizon_minutes,description,event_clock_n,raw_mean_bps,cost_stressed_mean_bps,slip16_mean_bps,median_cost_bps,win_rate_cost_pct,intraday_benchmark_cost_mean_bps,intraday_benchmark_cost_adjusted_residual_bps,train_n,oos_n,train_cost_mean_bps,oos_cost_mean_bps,train_win_rate_cost_pct,oos_win_rate_cost_pct,worst_quarter_cost_mean_bps,worst_quarter_slip16_mean_bps,positive_quarter_pct,quarters_n,worst_year_cost_mean_bps,positive_year_pct,years_n,top_quarter_event_share_pct,top_year_event_share_pct,ex2025_n,ex2025_cost_mean_bps,median_mae_bps,median_mfe_bps,touch_stop_35bps_pct,touch_stop_50bps_pct,oos_median_mae_bps,oos_touch_stop_35bps_pct,oos_touch_stop_50bps_pct,boot_p10_bps,boot_p50_bps,boot_prob_mean_gt_0_pct,promotion,EA,paper_live,live,classification,failed_reasons
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C8H,LONG,32,480,Intraday compression followed by two-bar expansion confirmation with trend gate.,379,7.614528671497032,-0.3854713285029687,-16.38547132850297,-5.150049874128364,44.06332453825858,-5.207211879342069,4.821740550839101,265,114,-2.2883223059921693,4.037822610397368,42.26415094339623,48.24561403508772,-13.58409656719592,-29.584096567195918,41.17647058823529,17,-5.594226600241171,40.0,5,11.609498680738787,32.189973614775724,257,-3.7246278052275956,-25.97770409832556,32.809181798658656,36.147757255936675,24.538258575197887,-34.31202324746252,49.122807017543856,35.08771929824561,-3.896172768683452,-0.29398132094033147,46.400000000000006,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C12H,LONG,32,480,Intraday compression followed by two-bar expansion confirmation with trend gate.,374,7.134377872946856,-0.865622127053145,-16.865622127053143,-5.197797394480334,44.6524064171123,-5.207211879342069,4.341589752288924,261,113,-1.345104505408001,0.2418548707399327,44.06130268199234,46.017699115044245,-14.614131987963837,-30.61413198796384,41.17647058823529,17,-9.491977144058755,40.0,5,12.032085561497325,31.550802139037433,256,-3.9373132084189555,-25.524104076372623,32.051103723791385,35.82887700534759,24.06417112299465,-38.779731127196456,53.09734513274337,38.05309734513274,-4.528841272524061,-0.8559721960478405,38.1,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C4H,LONG,32,480,Intraday compression followed by two-bar expansion confirmation with trend gate.,510,6.487591014123393,-1.5124089858766065,-17.512408985876604,-6.557181994945919,42.94117647058823,-5.207211879342069,3.6948028934654626,357,153,-2.7223321350669023,1.3107450289007505,41.73669467787115,45.751633986928105,-15.877007794185912,-31.877007794185914,29.411764705882355,17,-5.503781286460695,40.0,5,9.411764705882353,28.431372549019606,365,-3.375043637488222,-26.034287678771697,28.590526364137283,36.470588235294116,23.52941176470588,-33.903682719547135,48.36601307189542,35.294117647058826,-4.803554463782279,-1.3829031259329265,30.3,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42B_NY_IMPULSE_PULLBACK_CONTINUATION,NY_IMPULSE_PULLBACK_SHORT_I35,SHORT,8,120,NY overlap continuation after a one-hour impulse and controlled pullback to micro mean.,221,6.1967288069122475,-1.803271193087752,-17.80327119308775,-13.261403388985286,38.009049773755656,-8.699116538553762,6.895845345466009,154,67,-5.001802825149729,5.548577632845744,38.961038961038966,35.82089552238806,-21.22520050546944,-37.22520050546944,23.52941176470588,17,-7.88842481835527,20.0,5,16.289592760180994,29.86425339366516,155,-0.15480308088723294,-29.467990582209282,28.871051584735685,41.6289592760181,27.601809954751133,-41.6606750344084,55.223880597014926,43.28358208955223,-7.14940735683683,-1.815613818838303,33.6,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_SHORT_C24H,SHORT,32,480,Intraday compression followed by two-bar expansion confirmation with trend gate.,425,5.639229297960898,-2.360770702039102,-18.3607707020391,-8.613505965731953,44.23529411764706,-10.792788120657931,8.43201741861883,297,128,-5.372074354256399,4.626394803496347,43.09764309764309,46.875,-20.916805070596002,-36.916805070596,29.411764705882355,17,-10.408923082524252,20.0,5,8.0,26.823529411764707,333,-5.710077177923528,-30.073279095261807,37.719797033635146,42.58823529411765,30.352941176470587,-32.60759345270591,47.65625,38.28125,-7.09915351987208,-2.1832713947459483,26.900000000000002,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C8H,LONG,16,240,Intraday compression followed by two-bar expansion confirmation with trend gate.,413,5.533631099282885,-2.466368900717116,-18.466368900717114,-4.991880055174917,44.30992736077482,-6.605797582228234,4.139428681511118,289,124,-2.0276409188480655,-3.4888881487828862,42.56055363321799,48.38709677419355,-12.572365907883079,-28.572365907883082,29.411764705882355,17,-7.16604272016396,40.0,5,12.106537530266344,33.41404358353511,275,-4.509702996106569,-20.97953329973756,24.09702129156477,29.297820823244553,14.769975786924938,-30.030298172775694,45.16129032258064,26.61290322580645,-5.289756698594057,-2.584306291055762,12.4,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_LONG_C24H,LONG,32,480,Intraday compression followed by two-bar expansion confirmation with trend gate.,566,5.1390540524540596,-2.860945947545941,-18.860945947545943,-4.5776616621770945,44.87632508833922,-5.207211879342069,2.3462659317961285,396,170,-2.5295615613264144,-3.6328766354455424,44.94949494949495,44.70588235294118,-21.68370512247873,-37.68370512247873,35.294117647058826,17,-15.763155764682637,20.0,5,8.657243816254418,27.915194346289752,408,-5.5527476498312165,-28.54930665444955,33.52338312678782,40.98939929328622,26.325088339222614,-38.20323885643684,52.352941176470594,37.05882352941177,-5.7993505626949595,-2.9067112219026896,13.900000000000002,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42F_MICROTREND_PULLBACK_HOLD,MICROTREND_PULLBACK_LONG_P8,LONG,32,480,Micro trend pullback to two-hour mean with hold confirmation.,950,5.062042326436955,-2.937957673563046,-18.937957673563044,-6.788282580691744,44.10526315789474,-5.207211879342069,2.2692542057790233,665,285,-4.970100189983279,1.8037081980841672,43.30827067669173,45.96491228070175,-19.510509508917046,-35.510509508917046,35.294117647058826,17,-9.94211210137186,20.0,5,7.157894736842104,25.263157894736842,712,-5.586450512514497,-33.109290515156985,37.55319767876908,48.421052631578945,32.421052631578945,-40.76869540174721,56.14035087719298,39.64912280701755,-5.428944742770107,-2.7692833637787553,8.9,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42F_MICROTREND_PULLBACK_HOLD,MICROTREND_PULLBACK_LONG_P15,LONG,32,480,Micro trend pullback to two-hour mean with hold confirmation.,1016,4.09940575139175,-3.9005942486082508,-19.90059424860825,-6.617919934829068,44.58661417322835,-5.207211879342069,1.3066176307338186,711,305,-4.908592103497806,-1.5508025278657125,44.303797468354425,45.24590163934426,-18.917555122005854,-34.91755512200585,35.294117647058826,17,-9.665607115822919,20.0,5,6.988188976377953,25.098425196850393,761,-6.3843855774300335,-33.418430824948004,36.61566373163838,48.72047244094488,32.08661417322835,-40.161239625191584,55.40983606557377,40.0,-6.503943589954865,-3.9661532333712888,1.6,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage42_PARALLEL_INTRADAY_EXECUTION_MEGASCAN_V3,42D_INTRADAY_COMPRESSION_EXPANSION_CONFIRM,INTRADAY_COMP_EXPAND_SHORT_C24H,SHORT,16,240,Intraday compression followed by two-bar expansion confirmation with trend gate.,478,4.009484634503515,-3.990515365496484,-19.990515365496485,-7.263447673902294,40.37656903765691,-9.394202417771766,5.403687052275282,334,144,-6.997754537412149,2.9846088249190146,37.12574850299401,47.91666666666667,-24.691859468028532,-40.69185946802853,23.52941176470588,17,-9.446623627170148,20.0,5,7.322175732217573,26.778242677824267,370,-6.24839459977586,-20.829857205511004,23.94297537850365,27.19665271966527,16.10878661087866,-23.18623953402821,34.72222222222222,25.0,-7.296404403775609,-4.092300457523985,4.3,NO_GO,NO_GO,NO_GO,NO_GO,FAIL_BENCHMARK_OR_INTRADAY_STABILITY_RESEARCH_ONLY,cost_mean_gt_15;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
