stage,family,candidate,side,horizon_bars,horizon_minutes,event_clock_n,description,cost_stressed_mean_bps,context_benchmark_cost_adjusted_mean_bps,context_benchmark_cost_adjusted_residual_bps,train_cost_mean_bps,oos_cost_mean_bps,median_mae_bps,median_mfe_bps,touch_stop_50bps_pct,touch_stop_75bps_pct,oos_touch_stop_50bps_pct,worst_quarter_slip16_mean_bps,positive_quarter_pct,boot_p10_bps,boot_prob_mean_gt_0_pct,top_year_event_share_pct,classification,failed_reasons
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_NY_P20,LONG,32,480,182,HTF trend-up plus NY pullback >= 20bps in non-low-vol regime,0.7595384042035801,-5.219084723458579,5.978623127662159,0.7319904005513808,0.8231492490004781,-31.986603452167085,40.69048933057928,32.417582417582416,21.978021978021978,40.0,-64.72721284484827,18.75,-7.053256026604849,56.00000000000001,36.26373626373626,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_OVL_P12,LONG,32,480,149,HTF trend-up plus OVL pullback >= 12bps in non-low-vol regime,0.3496183348064528,-5.219084723458579,5.568703058265032,-0.19372690039587298,1.6053495450518285,-38.42179504002008,47.96374694412853,38.25503355704698,26.845637583892618,46.666666666666664,-87.10451185554179,6.666666666666667,-8.528765762778303,49.5,36.91275167785235,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_NY_P12,LONG,32,480,222,HTF trend-up plus NY pullback >= 12bps in non-low-vol regime,-0.6918818013553195,-5.219084723458579,4.5272029221032595,-1.7773360455177394,1.8192436888711712,-30.620369504903987,38.2320167850625,32.88288288288289,20.72072072072072,38.80597014925373,-87.10451185554179,5.88235294117647,-7.3452182104057275,46.5,33.78378378378378,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_NY_P20,LONG,16,240,219,HTF trend-up plus NY pullback >= 20bps in non-low-vol regime,-0.7274798393945847,-6.60998807482627,5.882508235431685,0.37139744530014474,-3.2748771811869166,-28.1111687068869,32.911345064232655,26.027397260273972,15.981735159817351,33.33333333333333,-36.891062801206616,12.5,-6.324950474635471,43.875,36.5296803652968,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_OVL_P20,LONG,8,120,132,HTF trend-up plus OVL pullback >= 20bps in non-low-vol regime,-0.8649084444861482,-7.299055158611118,6.43414671412497,1.1814800130681866,-5.571601896861115,-24.597851387402336,30.150127152590578,21.96969696969697,10.606060606060606,30.0,-47.59899482105688,6.666666666666667,-6.533864564498955,42.125,35.60606060606061,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_NY_P35,LONG,8,120,127,HTF trend-up plus NY pullback >= 35bps in non-low-vol regime,-1.1803856636227716,-7.299055158611118,6.118669494988346,-1.9879263542264036,0.641757433123885,-23.12921241984234,27.666963794272803,19.68503937007874,11.811023622047244,28.205128205128204,-49.806892344161426,6.666666666666667,-6.815821901007065,40.25,33.07086614173229,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_OVL_P12,LONG,8,120,194,HTF trend-up plus OVL pullback >= 12bps in non-low-vol regime,-1.9942436920757132,-7.299055158611118,5.304811466535405,-2.7975849447018897,-0.15608997843954298,-20.955562497103067,25.767869210201468,19.587628865979383,8.762886597938143,23.728813559322035,-44.69752617197196,0.0,-6.682356250414166,30.0,36.08247422680412,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43D_CONTEXT_COMPRESSION_TO_EXPANSION,CTX_COMP_EXPAND_LONG_M1p1,LONG,32,480,201,Low-vol compression expansion long with multiplier 1.1 and non-bearish context,-2.255759185733591,-5.219084723458579,2.963325537724988,-1.7460051618668095,-3.4256864536245657,-38.99806537012607,35.004902138784374,34.82587064676617,15.422885572139302,52.459016393442624,-61.75131397134853,11.76470588235294,-7.975854506935056,27.125,28.35820895522388,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;residual_gt_3;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43D_CONTEXT_COMPRESSION_TO_EXPANSION,CTX_COMP_EXPAND_LONG_M1p45,LONG,32,480,151,Low-vol compression expansion long with multiplier 1.45 and non-bearish context,-2.39658685303437,-5.219084723458579,2.822497870424209,-6.601487737948027,7.201556471225068,-34.24147684978451,37.147727185868895,35.099337748344375,16.55629139072848,47.82608695652174,-59.64972830873888,23.52941176470588,-9.160146926795912,30.5,26.490066225165563,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;residual_gt_3;train_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_OVL_P12,LONG,16,240,149,HTF trend-up plus OVL pullback >= 12bps in non-low-vol regime,-2.739075147993341,-6.60998807482627,3.870912926832929,-1.4274896288221606,-5.770295014522291,-29.141534059905496,41.55598885593026,31.543624161073826,20.13422818791946,44.44444444444444,-61.309077830819604,0.0,-10.243092437954555,30.25,36.91275167785235,FAIL_BENCHMARK_OR_CONTEXT_STABILITY_RESEARCH_ONLY,cost_mean_gt_12;train_gt_0;oos_gt_0;worst_quarter_slip16_gt_minus20;boot_p10_gt_minus5;boot_prob_gt_65;positive_quarter_pct_ge_45
