stage,family,candidate,side,horizon_bars,horizon_minutes,entry_i,entry_ts_utc,exit_ts_utc,entry_close,exit_close,cost_return_bps,slip16_return_bps,mae_bps,mfe_bps,touch_stop_50bps,touch_stop_75bps,year,quarter,hour_utc,weekday,trend_fast_bps,trend_slow_bps,atr_24h_bps,atr_ratio_4h_24h
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,1969,2022-05-30 11:15:00+00:00,2022-05-30 12:15:00+00:00,1857.76,1858.48,-4.124364826457498,-20.124364826457498,-1.883989320471402,11.734562053224984,False,False,2022,2022Q2,11,0,28.752704870382807,30.047050390433736,10.936380419890112,0.8991183743015229
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,2917,2022-06-13 09:45:00+00:00,2022-06-13 10:45:00+00:00,1861.46,1857.03,-31.798523739431143,-47.79852373943115,-31.695550804208274,19.393379390371113,False,False,2022,2022Q2,9,0,19.850569803630613,25.172305385736227,16.16914562693344,0.6347388562713563
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,6364,2022-08-02 10:30:00+00:00,2022-08-02 11:30:00+00:00,1771.48,1771.45,-8.169349922098938,-24.169349922098938,-6.999796780093881,9.088445819314117,False,False,2022,2022Q3,10,1,9.725860109436057,86.75052663121697,12.458042660105614,0.8342155859642413
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,13181,2022-11-09 11:00:00+00:00,2022-11-09 12:00:00+00:00,1711.07,1705.29,-41.78003237740068,-57.78003237740068,-35.591764217711706,8.415786613056309,False,False,2022,2022Q4,11,2,54.838979897569594,58.57108052271305,13.989972541979554,0.899983225766528
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,13185,2022-11-09 12:00:00+00:00,2022-11-09 13:00:00+00:00,1705.29,1709.53,16.863806156136814,0.863806156136814,-8.737516786001542,26.857601932808173,False,False,2022,2022Q4,12,2,46.17249851931194,60.961038884881056,14.21552578966061,0.9945313240750822
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,13268,2022-11-10 08:45:00+00:00,2022-11-10 09:45:00+00:00,1709.69,1705.7,-31.337564119810807,-47.33756411981081,-26.67150185121203,0.0,False,False,2022,2022Q4,8,3,6.377252601348675,117.52328516670653,13.313667013822043,0.7162716409029521
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,13363,2022-11-11 08:30:00+00:00,2022-11-11 09:30:00+00:00,1755.65,1760.28,18.371998974739075,2.371998974739075,-1.0252612992345256,38.846011448749884,False,False,2022,2022Q4,8,4,89.32351740570938,216.81425564130976,16.387832218871335,0.8776907702743666
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,13380,2022-11-11 12:45:00+00:00,2022-11-11 13:45:00+00:00,1758.04,1759.11,-1.9136765943903384,-17.91367659439034,-18.088325635367,13.537803462948528,False,False,2022,2022Q4,12,4,75.73419831175715,234.3239547545354,17.3456912496183,1.136640074907491
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14224,2022-11-24 07:45:00+00:00,2022-11-24 08:45:00+00:00,1753.03,1755.09,3.7510824115951706,-12.24891758840483,-3.2515130944699155,14.489198701677086,False,False,2022,2022Q4,7,3,51.52269689242654,229.60192495279526,12.459145680434096,0.5087965213246906
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14233,2022-11-24 10:00:00+00:00,2022-11-24 11:00:00+00:00,1753.97,1757.59,12.638893481643716,-3.3611065183562836,-4.732121986122939,22.406312536702444,False,False,2022,2022Q4,10,3,42.302842503957855,225.77409510044822,12.433979371299543,0.6751663706759226
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14508,2022-11-29 11:45:00+00:00,2022-11-29 12:45:00+00:00,1753.88,1755.18,-0.5878623394992495,-16.58786233949925,-0.8552466531352998,13.284831345359294,False,False,2022,2022Q4,11,1,31.830617450072737,140.1735307337645,11.114108772334513,1.0578181953539647
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14690,2022-12-01 09:15:00+00:00,2022-12-01 10:15:00+00:00,1779.15,1776.28,-24.13129865385199,-40.131298653851985,-26.248489447208144,5.283421858752746,False,False,2022,2022Q4,9,3,75.43044899717967,114.20944224301718,15.542340324283437,0.6829991648091759
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14694,2022-12-01 10:15:00+00:00,2022-12-01 11:15:00+00:00,1776.28,1777.29,-2.313959510887635,-18.313959510887635,-4.7852815997473375,15.031413966266616,False,False,2022,2022Q4,10,3,70.35243598982005,113.7711842539849,15.831009614087918,0.8154700829564089
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14877,2022-12-05 08:00:00+00:00,2022-12-05 09:00:00+00:00,1805.7,1798.34,-48.75981613778645,-64.75981613778646,-46.63011574458697,7.2548042310449645,False,False,2022,2022Q4,8,0,49.204140591829294,122.92944449059597,12.475999812055846,0.5653445352460402
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14881,2022-12-05 09:00:00+00:00,2022-12-05 10:00:00+00:00,1798.34,1798.73,-5.831333340747584,-21.831333340747584,-4.55976066817132,18.2946495101044,False,False,2022,2022Q4,9,0,42.83348347179539,124.26850943092063,12.826138007842934,0.7057058104687339
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,14886,2022-12-05 10:15:00+00:00,2022-12-05 11:15:00+00:00,1797.02,1797.63,-4.605491313395042,-20.605491313395042,-8.013266407719266,10.016583009648805,False,False,2022,2022Q4,10,0,27.259829235810415,125.21091051666808,12.963692153077252,0.9062595972885893
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,15554,2022-12-14 09:15:00+00:00,2022-12-14 10:15:00+00:00,1808.56,1807.79,-12.257530853275515,-28.257530853275515,-12.440836908922392,7.630379970806622,False,False,2022,2022Q4,9,2,28.657122240898584,117.25549262949737,13.86833769564966,0.544646223908529
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,16699,2023-01-03 07:15:00+00:00,2023-01-03 08:15:00+00:00,1838.0,1841.77,12.511425462459432,-3.4885745375405683,-0.1088139281824052,32.97062023938979,False,False,2023,2023Q1,7,1,73.82968353282507,71.8302842763872,13.086233560997323,1.062260872432791
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,16711,2023-01-03 10:15:00+00:00,2023-01-03 11:15:00+00:00,1840.45,1841.22,-3.8162405933337347,-19.816240593333735,-32.76372626259905,4.944442935150839,False,False,2023,2023Q1,10,1,83.10807139558246,76.64585540673865,13.957237673884046,1.0759335901185438
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,16719,2023-01-03 12:15:00+00:00,2023-01-03 13:15:00+00:00,1837.83,1833.0,-34.280994433652836,-50.280994433652836,-34.714853930993826,1.6867718994695302,False,False,2023,2023Q1,12,1,67.23339028455698,79.62997348321917,14.592784161142811,1.2610989911115547
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,16815,2023-01-04 12:15:00+00:00,2023-01-04 13:15:00+00:00,1857.84,1860.12,4.272316238211012,-11.727683761788988,-1.9915600912878695,26.051759031995303,False,False,2023,2023Q1,12,2,82.10812018257752,110.7295916673826,13.66552746399708,1.1935471170118503
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,17092,2023-01-09 09:30:00+00:00,2023-01-09 10:30:00+00:00,1875.06,1875.19,-7.306688852622749,-23.30668885262275,-8.746386782289006,9.279703049502874,False,False,2023,2023Q1,9,0,89.42991602046598,177.25330011661822,13.910709105795966,0.6902713032813147
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,17098,2023-01-09 11:00:00+00:00,2023-01-09 12:00:00+00:00,1871.96,1872.91,-2.925105237291163,-18.925105237291163,-4.540695314003695,14.476805059937536,False,False,2023,2023Q1,11,0,72.06628791925814,179.87789202226452,14.158029303441134,0.89598944974692
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,17467,2023-01-13 07:15:00+00:00,2023-01-13 08:15:00+00:00,1894.32,1895.06,-4.093585033152262,-20.093585033152262,-11.50808733476838,5.067781578613761,False,False,2023,2023Q1,7,4,29.060559989863812,250.8846347238049,14.080951773169254,0.5377679803566338
Stage43_PARALLEL_CONTEXT_REGIME_MEGASCAN_V4,43A_CONTEXT_TREND_PULLBACK_CONTINUATION,CTX_TREND_PULLBACK_LONG_LDN_P12,LONG,4,60,17484,2023-01-13 11:30:00+00:00,2023-01-13 12:30:00+00:00,1903.93,1904.17,-6.739449454550066,-22.739449454550066,-0.6827982121193621,11.55504666663143,False,False,2023,2023Q1,11,4,27.747431190571877,256.94262984983766,15.223914353602678,0.9761637053758313
