stage,family,candidate,side,classification,reason,bucket,event_clock_n,cost_stressed_mean_bps,stage_residual_bps
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W168_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,benchmark_residual,41.0,72.37569694784801,55.39606564617779
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W168_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,worst_quarter_slip16_gt_minus10,quarter_stability,41.0,72.37569694784801,55.39606564617779
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W168_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,oos_touch100_le_65,oos_segment,41.0,72.37569694784801,55.39606564617779
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W168_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,oos_touch100_le_65,path_risk,41.0,72.37569694784801,55.39606564617779
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W120_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,benchmark_residual,59.0,63.0069713846824,46.02734008301218
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W120_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,worst_quarter_slip16_gt_minus10,quarter_stability,59.0,63.0069713846824,46.02734008301218
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W72_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,benchmark_residual,48.0,47.766684494852846,30.787053193182622
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W72_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,worst_quarter_slip16_gt_minus10,quarter_stability,48.0,47.766684494852846,30.787053193182622
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W72_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,oos_touch100_le_65,oos_segment,48.0,47.766684494852846,30.787053193182622
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W72_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,oos_touch100_le_65,path_risk,48.0,47.766684494852846,30.787053193182622
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W168_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,benchmark_residual,69.0,45.380577753658365,28.40094645198814
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_LONG_W168_NO_HTF,LONG,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,worst_quarter_slip16_gt_minus10,quarter_stability,69.0,45.380577753658365,28.40094645198814
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_SHORT_W72_NO_HTF,SHORT,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,benchmark_residual,42.0,31.428578939677077,64.4082102413473
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_SHORT_W72_NO_HTF,SHORT,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,train_gt_0,train_segment,42.0,31.428578939677077,64.4082102413473
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_SHORT_W72_NO_HTF,SHORT,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,worst_quarter_slip16_gt_minus10,quarter_stability,42.0,31.428578939677077,64.4082102413473
stage41,41F_MULTIBAR_VOL_REGIME_EXPANSION_CONFIRMATION,MULTIBAR_VOL_EXPAND_SHORT_W72_NO_HTF,SHORT,FAIL_BENCHMARK_OR_STABILITY_RESEARCH_ONLY,boot_p10_gt_minus5,bootstrap_stability,42.0,31.428578939677077,64.4082102413473
