timeframe,spread_quantile,spread_bps,assumed_extra_slip_bps,estimated_total_cost_bps
M15,median,1.3334234981603519,0.0,1.3334234981603519
M15,median,1.3334234981603519,4.0,5.333423498160352
M15,median,1.3334234981603519,8.0,9.333423498160352
M15,median,1.3334234981603519,16.0,17.33342349816035
M15,p90,2.5745864676461885,0.0,2.5745864676461885
M15,p90,2.5745864676461885,4.0,6.5745864676461885
M15,p90,2.5745864676461885,8.0,10.574586467646188
M15,p90,2.5745864676461885,16.0,18.57458646764619
M15,p95,2.751901462739446,0.0,2.751901462739446
M15,p95,2.751901462739446,4.0,6.751901462739446
M15,p95,2.751901462739446,8.0,10.751901462739447
M15,p95,2.751901462739446,16.0,18.751901462739447
M15,p99,3.542072619733219,0.0,3.542072619733219
M15,p99,3.542072619733219,4.0,7.542072619733219
M15,p99,3.542072619733219,8.0,11.542072619733219
M15,p99,3.542072619733219,16.0,19.54207261973322
H1,median,1.2536160834067693,0.0,1.2536160834067693
H1,median,1.2536160834067693,4.0,5.2536160834067696
H1,median,1.2536160834067693,8.0,9.253616083406769
H1,median,1.2536160834067693,16.0,17.25361608340677
H1,p90,2.434947763753794,0.0,2.434947763753794
H1,p90,2.434947763753794,4.0,6.434947763753794
H1,p90,2.434947763753794,8.0,10.434947763753794
H1,p90,2.434947763753794,16.0,18.434947763753794
H1,p95,2.6496665127869017,0.0,2.6496665127869017
H1,p95,2.6496665127869017,4.0,6.649666512786902
H1,p95,2.6496665127869017,8.0,10.6496665127869
H1,p95,2.6496665127869017,16.0,18.6496665127869
H1,p99,2.7682864639221325,0.0,2.7682864639221325
H1,p99,2.7682864639221325,4.0,6.7682864639221325
H1,p99,2.7682864639221325,8.0,10.768286463922133
H1,p99,2.7682864639221325,16.0,18.76828646392213
M5,median,1.3209908753052193,0.0,1.3209908753052193
M5,median,1.3209908753052193,4.0,5.3209908753052195
M5,median,1.3209908753052193,8.0,9.320990875305219
M5,median,1.3209908753052193,16.0,17.32099087530522
M5,p90,2.54100146586055,0.0,2.54100146586055
M5,p90,2.54100146586055,4.0,6.54100146586055
M5,p90,2.54100146586055,8.0,10.54100146586055
M5,p90,2.54100146586055,16.0,18.54100146586055
M5,p95,2.727344258191002,0.0,2.727344258191002
M5,p95,2.727344258191002,4.0,6.7273442581910015
M5,p95,2.727344258191002,8.0,10.727344258191001
M5,p95,2.727344258191002,16.0,18.727344258191003
M5,p99,3.338206607306006,0.0,3.338206607306006
M5,p99,3.338206607306006,4.0,7.338206607306006
M5,p99,3.338206607306006,8.0,11.338206607306006
M5,p99,3.338206607306006,16.0,19.338206607306006
