timeframe,group,key,n,min,p10,median,p90,p95,p99,max,mean
M15,session,ASIA_00_07,4240,0.5963265139956112,0.796979122274603,1.3203660819148189,2.5137270213450784,2.6992866462318257,2.8453877555820943,3.8378348925524683,1.5681896563789595
M15,session,LONDON_07_12,8,0.8229732996600092,0.8833185142581175,1.294111978712798,1.9907123114911607,2.241521175893465,2.4421682674153082,2.4923300402957693,1.4268644469160248
M15,session,LONDON_NY_OVERLAP_12_16,12,0.8857324010507738,1.1374169212210419,1.5037262139621173,1.600467965208539,1.6006874940416302,1.6008629678159318,1.6009068362595071,1.4124430972234565
M15,session,NY_16_21,11,0.8244663126499926,1.0771559083155668,1.466528640441684,2.6577225443972554,2.6640781514763288,2.6691626371395873,2.670433758555402,1.7240979060469057
M15,session,ROLLOVER_OTHER_21_24,2114,0.5795996526860544,0.7963480662243423,1.394441047029714,2.8308598497757202,3.102889552214269,4.469046317811038,9.856549091468503,1.6793037516545366
M15,hour_utc,0,3975,0.5963265139956112,0.7899176365283697,1.308362686313913,2.474293126006174,2.6970545603247063,2.844377773937708,3.8378348925524683,1.547312579160504
M15,hour_utc,1,245,0.6459402654317613,0.9131347182186739,2.147449232957977,2.718772922152074,2.7472938202885495,2.8466973246461866,2.9985261960866403,1.8919065065606142
M15,hour_utc,2,16,1.2874638571344275,1.324312935367443,1.8468560682524229,2.5229258900140934,2.709827485938267,2.7409215428049962,2.7486950570216786,1.8652264872050592
M15,hour_utc,3,2,1.125687724844397,1.1294609716258204,1.144553958751514,1.1596469458772076,1.1615335692679192,1.1630428679804885,1.163420192658631,1.144553958751514
M15,hour_utc,4,1,0.927883266298756,0.927883266298756,0.927883266298756,0.927883266298756,0.927883266298756,0.927883266298756,0.927883266298756,0.927883266298756
M15,hour_utc,5,1,1.9789317973524367,1.9789317973524367,1.9789317973524367,1.9789317973524367,1.9789317973524367,1.9789317973524367,1.9789317973524367,1.9789317973524367
M15,hour_utc,6,0,,,,,,,,
M15,hour_utc,7,1,2.4923300402957693,2.4923300402957693,2.4923300402957693,2.4923300402957693,2.4923300402957693,2.4923300402957693,2.4923300402957693,2.4923300402957693
M15,hour_utc,8,1,1.3986992097349467,1.3986992097349467,1.3986992097349467,1.3986992097349467,1.3986992097349467,1.3986992097349467,1.3986992097349467,1.3986992097349467
M15,hour_utc,9,4,0.8229732996600092,0.8488355344877698,0.9807309157010345,1.1483516480783116,1.1689381978844802,1.1854074377294153,1.189524747690649,0.9934899696881818
M15,hour_utc,10,0,,,,,,,,
M15,hour_utc,11,2,1.7741931616841409,1.7743471740017882,1.7749632232723775,1.7755792725429669,1.7756562787017904,1.7757178836288494,1.7757332848606142,1.7749632232723775
M15,hour_utc,12,4,0.8857324010507738,1.0050303594639567,1.323184832957397,1.4304458977225163,1.4449034322016103,1.4564694597848855,1.4593609666807044,1.247865758411568
M15,hour_utc,13,3,1.3870667583671914,1.4192716989424592,1.5480914612435304,1.5897041818825912,1.594905771962474,1.59906704402638,1.6001073620423565,1.5117551938843594
M15,hour_utc,14,3,1.549746874677136,1.5598991061871095,1.6005080322270036,1.6008270754530065,1.6008669558562567,1.600898860178857,1.6009068362595071,1.583720581054549
M15,hour_utc,15,2,1.1211974388647077,1.1641006319136142,1.3357134041092407,1.507326176304867,1.5287777728293204,1.545939050048883,1.5502293693537736,1.3357134041092407
M15,hour_utc,16,3,1.0771559083155668,1.1550304547407904,1.466528640441684,2.3091263200556513,2.414451030007397,2.498710797968794,2.5197757399591434,1.687820096238798
M15,hour_utc,17,1,1.3877182850250913,1.3877182850250913,1.3877182850250913,1.3877182850250913,1.3877182850250913,1.3877182850250913,1.3877182850250913,1.3877182850250913
M15,hour_utc,18,3,0.8244663126499926,0.9075107764277364,1.2396886315387117,1.5667418903288588,1.607623547677627,1.640328873556642,1.6485052050263955,1.2375533830717
M15,hour_utc,19,2,1.1390937939322372,1.290956668978739,1.8984081691647463,2.5058596693507535,2.5817911068740043,2.642536256892605,2.6577225443972554,1.8984081691647463
M15,hour_utc,20,2,2.3339881466744834,2.367632707862575,2.5022109526149428,2.6367891973673103,2.653611477961356,2.667069302436593,2.670433758555402,2.5022109526149428
M15,hour_utc,21,3,1.748033462354851,1.8591197838033913,2.303465069597552,2.4665967533343793,2.4869882138014825,2.5033013821751653,2.507379674268586,2.186292735406996
M15,hour_utc,22,113,0.6347799602408014,0.7963438903833411,1.1340284439940846,2.55501644692716,2.607479073716014,3.321869419240897,3.8930411888748866,1.4216678164964345
M15,hour_utc,23,1998,0.5795996526860544,0.7963492730295497,1.4235255741474093,2.8686486124634,3.1341974304472298,4.473891742160972,9.856549091468503,1.693113508271958
M15,weekday,Friday,845,0.597134900812448,0.7901373198500892,1.3121512614112187,2.512963436306899,2.6884060251048014,2.8709338624529686,3.5997419261942145,1.5679788707436224
M15,weekday,Monday,1201,0.6358246860157086,0.8013355592654424,1.3275240328520712,2.6162481176703225,2.751482580773576,3.539260211664351,8.209304425636017,1.6028920776083901
M15,weekday,Sunday,904,0.5920004167682935,0.7855144056947848,1.5949608488042015,3.00581426925128,3.530235158053412,5.825558998429947,9.856549091468503,1.7862604873407413
M15,weekday,Thursday,1161,0.5795996526860544,0.796529491504423,1.3458031968433437,2.514785592074833,2.7077156357039387,2.9592991605429364,3.590132265031542,1.5718917730357564
M15,weekday,Tuesday,1144,0.5963265139956112,0.8036635988925053,1.29330831663844,2.5073391926327804,2.6978611379447566,2.978837513786217,4.362831789462203,1.5583443719536008
M15,weekday,Wednesday,1130,0.6456439211693605,0.7979574480558351,1.315361296772219,2.5331657915967956,2.721974219243069,3.0116588616559565,3.8635066044499013,1.5699064267269949
M15,quarter,2022Q2,312,2.6331796434148127,2.675022727653622,2.731214383917675,2.999248869636204,3.0364257111009065,4.59920740362343,9.856549091468503,2.856977893535239
M15,quarter,2022Q3,448,1.9159220163388706,2.381074201953597,2.486740175662944,2.8731770636309815,3.2683011847919166,4.163877002418136,4.850351156963849,2.6043123544419484
