candidate_id,family_id,direction,hold_bars,news_mode,params_json,event_count,mean_gross_bps,mean_cost_bps,mean_net_bps,median_net_bps,win_rate,total_net_bps,train_event_count,train_mean_net_bps,oos_event_count,oos_mean_net_bps,quarter_count,worst_quarter_mean_net_bps,best_quarter_mean_net_bps,max_year_event_pct,benchmark_mean_net_bps,residual_vs_benchmark_bps,bootstrap_mean_p05_bps,classification
EXTCTX_A_LONG_H8_Q0.75_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,8,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",11077,0.8999311286625197,11.719833481004665,-10.819902352342146,-0.6368025564740254,0.485239685835515,-119852.05835689395,6991,-11.963848151267982,4086,-8.862651965584801,17,-21.44769890770796,-6.567446649950297,0.2594565315518642,-11.19327076142473,0.37336840908258395,-11.62568796293317,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H8_Q0.75_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,8,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",11077,0.8999311286625197,11.719833481004665,-10.819902352342146,-0.6368025564740254,0.485239685835515,-119852.05835689395,6991,-11.963848151267982,4086,-8.862651965584801,17,-21.44769890770796,-6.567446649950297,0.2594565315518642,-11.19327076142473,0.37336840908258395,-11.823632927806269,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.75_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",22115,0.46352532740820385,11.469991027561472,-11.006465700153269,-0.4430572922298204,0.4863215012434999,-243407.98895888953,13952,-11.7783187682371,8163,-9.687233309377131,17,-19.26032198274016,-7.283859066190685,0.2596427763961112,-11.487330142005401,0.4808644418521322,-11.540569046215914,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.75_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.75}",22115,0.46352532740820385,11.469991027561472,-11.006465700153269,-0.4430572922298204,0.4863215012434999,-243407.98895888953,13952,-11.7783187682371,8163,-9.687233309377131,17,-19.26032198274016,-7.283859066190685,0.2596427763961112,-11.487330142005401,0.4808644418521322,-11.625691419120088,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.75_confirm_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.75}",10372,-0.017746116546051845,11.207748489302112,-11.225494605848164,-0.44402528085296655,0.48717701504049366,-116430.83005185716,6397,-11.788516940115352,3975,-10.319418159984716,17,-18.661625172306014,-6.452126952148455,0.27853837254145775,-11.487330142005401,0.2618355361572373,-12.018493284879375,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.75_confirm_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,tag_only,"{""context_mode"": ""confirm"", ""dxy_slope_quantile"": 0.75}",10372,-0.017746116546051845,11.207748489302112,-11.225494605848164,-0.44402528085296655,0.48717701504049366,-116430.83005185716,6397,-11.788516940115352,3975,-10.319418159984716,17,-18.661625172306014,-6.452126952148455,0.27853837254145775,-11.487330142005401,0.2618355361572373,-11.995680585808156,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.50_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.5}",18751,0.3320500371936321,11.631259140203674,-11.299209103010044,-0.46466756354890393,0.4852541197802784,-211871.46989054134,11841,-12.104943282117688,6910,-9.91850021519331,17,-19.22088401801333,-7.418074967074504,0.2662791317796384,-11.487330142005401,0.18812103899535693,-12.02103621763444,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.50_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.5}",18751,0.3320500371936321,11.631259140203674,-11.299209103010044,-0.46466756354890393,0.4852541197802784,-211871.46989054134,11841,-12.104943282117688,6910,-9.91850021519331,17,-19.22088401801333,-7.418074967074504,0.2662791317796384,-11.487330142005401,0.18812103899535693,-11.914147168662659,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.25_avoid_exclude,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,exclude,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.25}",15984,0.1653262838928852,11.495234073844161,-11.329907789951275,-0.4546617376510742,0.48604854854854856,-181097.24611458118,10134,-12.156404476881027,5850,-9.898161221516045,17,-19.336312146566815,-7.315672667857344,0.26126126126126126,-11.487330142005401,0.1574223520541267,-11.998297013107306,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
EXTCTX_A_LONG_H4_Q0.25_avoid_tag_only,EXTCTX_A_DXY_YIELD_TREND_FILTER,long,4,tag_only,"{""context_mode"": ""avoid"", ""dxy_slope_quantile"": 0.25}",15984,0.1653262838928852,11.495234073844161,-11.329907789951275,-0.4546617376510742,0.48604854854854856,-181097.24611458118,10134,-12.156404476881027,5850,-9.898161221516045,17,-19.336312146566815,-7.315672667857344,0.26126126126126126,-11.487330142005401,0.1574223520541267,-11.92193067279835,FAIL_EXTERNAL_CONTEXT_BASELINE_RESEARCH_ONLY
