candidate_id,classification,lookback,horizon,min_sweep_bps,trades,mean_net_bps,median_net_bps,win_rate,oos_mean_net_bps,strict_survivor,soft_survivor
ST47B_GRID01_LB24_H12_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,12,6.0,239,-8.3666,-6.4605,0.4017,-12.6909,False,False
ST47B_GRID02_LB24_H12_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,12,10.0,83,-3.8594,-5.9788,0.4217,-18.4686,False,False
ST47B_GRID03_LB24_H12_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,12,15.0,38,0.3853,-11.1599,0.4211,-26.2176,False,False
ST47B_GRID04_LB24_H24_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,24,6.0,239,-8.1434,-4.1998,0.4686,-15.5508,False,False
ST47B_GRID05_LB24_H24_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,24,10.0,83,-2.3158,-3.4649,0.4699,-19.1865,False,False
ST47B_GRID06_LB24_H24_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,24,15.0,38,3.1549,-9.8886,0.4474,-41.633,False,False
ST47B_GRID07_LB24_H48_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,48,6.0,239,-10.6392,6.713,0.5481,-16.5048,False,False
ST47B_GRID08_LB24_H48_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,48,10.0,83,-3.6167,7.734,0.5542,-15.0019,False,False
ST47B_GRID09_LB24_H48_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,48,15.0,38,-3.6413,1.3008,0.5,-32.7781,False,False
ST47B_GRID10_LB48_H12_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,12,6.0,186,-8.0399,-8.2879,0.3817,-13.2907,False,False
ST47B_GRID11_LB48_H12_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,12,10.0,66,-0.2544,-7.8825,0.4091,-14.7269,False,False
ST47B_GRID12_LB48_H12_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,12,15.0,31,4.5237,-10.9469,0.4194,-34.2837,False,False
ST47B_GRID13_LB48_H24_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,24,6.0,186,-4.8114,-5.3803,0.4731,-18.4889,False,False
ST47B_GRID14_LB48_H24_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,24,10.0,66,5.4981,0.7357,0.5152,-26.2364,False,False
ST47B_GRID15_LB48_H24_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,24,15.0,31,12.9059,-8.9663,0.4839,-52.4032,False,False
ST47B_GRID16_LB48_H48_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,48,6.0,186,-4.1435,5.7002,0.543,-17.6489,False,False
ST47B_GRID17_LB48_H48_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,48,10.0,66,9.2059,9.3219,0.5909,-18.3536,False,False
ST47B_GRID18_LB48_H48_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,48,15.0,31,17.8633,0.4938,0.5161,-40.7102,False,False
ST47B_GRID19_LB72_H12_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,12,6.0,154,-8.0995,-9.9952,0.3636,-13.1269,False,False
ST47B_GRID20_LB72_H12_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,12,10.0,58,-1.5927,-7.8825,0.431,-11.445,False,False
ST47B_GRID21_LB72_H12_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,12,15.0,31,-0.67,-11.5089,0.3871,-28.7474,False,False
ST47B_GRID22_LB72_H24_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,24,6.0,154,-1.6036,-5.0872,0.474,-18.4864,False,False
ST47B_GRID23_LB72_H24_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,24,10.0,58,9.0122,4.5093,0.5172,-24.4103,False,False
ST47B_GRID24_LB72_H24_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,24,15.0,31,17.6197,-2.3216,0.4839,-43.1051,False,False
ST47B_GRID25_LB72_H48_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,48,6.0,154,-2.0959,5.8719,0.526,-17.9279,False,False
ST47B_GRID26_LB72_H48_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,48,10.0,58,11.9238,11.0842,0.569,-16.4106,False,False
ST47B_GRID27_LB72_H48_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,48,15.0,31,21.3524,9.4284,0.5161,-32.4887,False,False
