metric,value
status,ARCHIVE_COMPLETE_NO_PROMOTION
decision,ARCHIVE_STAGE47B_THESIS_NO_STAGE47C_AUDIT
rows_loaded,500
candidate_count,27
trade_count,3
strict_survivor_count,0
soft_survivor_count,0
cost_bps,8.0
next_allowed_step,NEW_STRUCTURAL_THESIS_DECISION_OR_PAUSE_ARCHIVE
positive_in_sample_count,0
positive_oos_count,0
positive_both_count,0
best_mean_candidate,ST47B_GRID01_LB24_H12_SW6
best_mean_net_bps,0.0
best_mean_oos_mean_net_bps,nan
best_oos_candidate,ST47B_GRID01_LB24_H12_SW6
best_oos_mean_net_bps,nan
