candidate_id,classification,lookback,horizon,min_sweep_bps,trades,mean_net_bps,median_net_bps,win_rate,oos_mean_net_bps,strict_survivor,soft_survivor
ST47B_GRID01_LB24_H12_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,12,6.0,0,0,0,0,,False,False
ST47B_GRID02_LB24_H12_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,12,10.0,0,0,0,0,,False,False
ST47B_GRID03_LB24_H12_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,12,15.0,0,0,0,0,,False,False
ST47B_GRID04_LB24_H24_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,24,6.0,0,0,0,0,,False,False
ST47B_GRID05_LB24_H24_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,24,10.0,0,0,0,0,,False,False
ST47B_GRID06_LB24_H24_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,24,15.0,0,0,0,0,,False,False
ST47B_GRID07_LB24_H48_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,48,6.0,0,0,0,0,,False,False
ST47B_GRID08_LB24_H48_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,48,10.0,0,0,0,0,,False,False
ST47B_GRID09_LB24_H48_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,24,48,15.0,0,0,0,0,,False,False
ST47B_GRID10_LB48_H12_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,12,6.0,0,0,0,0,,False,False
ST47B_GRID11_LB48_H12_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,12,10.0,0,0,0,0,,False,False
ST47B_GRID12_LB48_H12_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,12,15.0,0,0,0,0,,False,False
ST47B_GRID13_LB48_H24_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,24,6.0,0,0,0,0,,False,False
ST47B_GRID14_LB48_H24_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,24,10.0,0,0,0,0,,False,False
ST47B_GRID15_LB48_H24_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,24,15.0,0,0,0,0,,False,False
ST47B_GRID16_LB48_H48_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,48,6.0,0,0,0,0,,False,False
ST47B_GRID17_LB48_H48_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,48,10.0,0,0,0,0,,False,False
ST47B_GRID18_LB48_H48_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,48,48,15.0,0,0,0,0,,False,False
ST47B_GRID19_LB72_H12_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,12,6.0,1,-18.4456,-18.4456,0.0,,False,False
ST47B_GRID20_LB72_H12_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,12,10.0,0,0,0,0,,False,False
ST47B_GRID21_LB72_H12_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,12,15.0,0,0,0,0,,False,False
ST47B_GRID22_LB72_H24_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,24,6.0,1,-18.2904,-18.2904,0.0,,False,False
ST47B_GRID23_LB72_H24_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,24,10.0,0,0,0,0,,False,False
ST47B_GRID24_LB72_H24_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,24,15.0,0,0,0,0,,False,False
ST47B_GRID25_LB72_H48_SW6,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,48,6.0,1,-54.6,-54.6,0.0,,False,False
ST47B_GRID26_LB72_H48_SW10,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,48,10.0,0,0,0,0,,False,False
ST47B_GRID27_LB72_H48_SW15,FAIL_RESEARCH_ONLY_NO_PROMOTION,72,48,15.0,0,0,0,0,,False,False
