candidate_id,lookback_bars,horizon_bars,sweep_points,trade_count,is_trade_count,oos_trade_count,stress_mean_bps,stress_median_bps,stress_win_rate,stress_t_stat,stress_total_bps,stress_max_drawdown_bps,is_stress_mean_bps,is_stress_win_rate,oos_stress_mean_bps,oos_stress_win_rate,positive_year_count,negative_year_count,max_year_share,decision,notes
S48_COST_LB72_H48_SW30,72,48,30.0,8681,7133,1548,-3.8756676997739103,-3.4662769601079293,0.46077640824789773,-6.859383345967884,-33644.67130173732,-35839.864133918214,-4.572364006484392,0.45548857423244077,-0.6653739298993229,0.4851421188630491,0,5,0.3069922819951619,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB72_H48_SW20,72,48,20.0,10597,8968,1629,-3.9139229683206116,-3.448982817984793,0.4597527602151552,-7.957703939894264,-41475.84169529352,-42730.567598637026,-4.38653973534491,0.45595450490633366,-1.312064670792121,0.48066298342541436,0,5,0.29055393035764837,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB72_H48_SW10,72,48,10.0,13249,11514,1735,-4.043310004334308,-3.373412089492057,0.45686466903162504,-9.622460996233885,-53569.814247425245,-55006.10878678943,-4.443258121812167,0.4529268716345319,-1.3891298172218771,0.4829971181556196,0,5,0.2720960072458299,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB72_H24_SW30,72,24,30.0,8686,7133,1553,-3.9348910723236146,-3.107016781132706,0.4523370941745337,-9.05696029602025,-34178.46385420291,-34327.12093778851,-4.466658309786609,0.44637599887845225,-1.4924598393400104,0.47971667739858337,0,5,0.30681556527745796,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB72_H24_SW10,72,24,10.0,13255,11514,1741,-3.7266976268296563,-2.8660112726637594,0.44843455299886836,-11.601796103178728,-49397.3770436271,-49475.71218315817,-4.010786096247865,0.4435469862775751,-1.8478954229920603,0.4807581849511775,0,5,0.27197284043757075,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB72_H24_SW20,72,24,20.0,10602,8968,1634,-3.9518481007086095,-3.098409888072301,0.4473684210526316,-10.469937060469368,-41897.49356371268,-41923.05195348933,-4.321414883233803,0.44212756467439784,-1.9235280849889402,0.47613219094247244,0,5,0.29041690247123186,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB48_H48_SW30,48,48,30.0,10556,8645,1911,-4.116907028642054,-3.8254998544621603,0.4559492231906025,-8.120689551369718,-43458.07059434553,-44988.80963878996,-4.5479118333045845,0.45274725274725275,-2.167123388502037,0.47043432757718473,0,5,0.31242895035998486,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB48_H48_SW10,48,48,10.0,16407,14238,2169,-3.9820579484953997,-3.5226157059063867,0.4541354299993905,-10.667071020784824,-65333.62476096403,-66665.80717159265,-4.174041475828137,0.45188931029638996,-2.7218175325601743,0.46887966804979253,0,5,0.27262753702687875,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB48_H48_SW20,48,48,20.0,13016,10992,2024,-4.120860004073589,-3.87089459331417,0.453979717271051,-9.356472505017743,-53637.11381302184,-54892.8481045337,-4.373618770783021,0.45169213973799127,-2.7481701010745425,0.466403162055336,0,5,0.29479102642901045,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB72_H12_SW30,72,12,30.0,8689,7133,1556,-3.3610488583057636,-2.737145750783719,0.43986649787087123,-10.214690916111824,-29204.153529818777,-29231.252509619844,-3.430691956343371,0.43431936071779054,-3.0417916485999443,0.4652956298200514,0,5,0.3067096328691449,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
S48_COST_LB48_H24_SW30,48,24,30.0,10561,8645,1916,-3.995065949265199,-3.16162562906267,0.4506202064198466,-10.280497961932745,-42191.89149018977,-42350.7009825249,-4.168721140020759,0.44742625795257374,-3.21153300350225,0.4650313152400835,0,5,0.31228103399299306,NO_PASS,oos_stress_mean_not_positive;oos_stress_win_rate_lt_52pct
