column,required,description,example
time_utc,yes,UTC candle open timestamp,2026-06-19T05:00:00Z
symbol,yes,broker symbol,XAUUSD
timeframe,yes,candle timeframe,M5
open,yes,candle open,2340.12
high,yes,candle high,2341.50
low,yes,candle low,2339.80
close,yes,candle close,2340.70
spread_points,yes,row-level spread in broker points,35
bid_close,no,bid at close if available,2340.68
ask_close,no,ask at close if available,2341.03
tick_volume,no,MT5 tick volume,321
real_volume,no,real volume if available,0
broker,no,broker/server identifier,ExampleBroker-Live
source,no,data source label,mt5_export
server_time,no,MT5 server timestamp,2026.06.19 08:00:00
session_utc,no,asia/london/london_ny_overlap/new_york/late_us,london
