candidate_id,h1_range_window,h1_range_percentile,m15_sma_window,m5_sma_window,horizon_m5_bars,trade_count,mean_bps,win_rate,oos_count,oos_mean_bps,oos_win_rate,positive_year_count,negative_year_count,max_year_share,max_month_share,worst_fold_mean_bps,cost_x1_5_mean_bps,cost_x2_mean_bps,cost_x2_oos_mean_bps,declustered_count,declustered_mean_bps,declustered_win_rate,decision,failure_reasons
S49_MTF_H1W72_P85_M15S40_M5S20_H48,72,85.0,40,20,48,2921,-0.1794096469589159,0.4655939746662102,585,9.399058683995232,0.505982905982906,1,4,0.25710373159876754,0.024649092776446422,-4.18822280540517,-1.6704115135357773,-3.1614133801126383,6.417054950841509,2053,-0.4180342888401155,0.4627374573794447,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;short_direction_mean_not_positive
S49_MTF_H1W72_P85_M15S20_M5S20_H48,72,85.0,20,20,48,3148,-0.7818494525968454,0.45870393900889456,630,7.346953965375572,0.4873015873015873,1,4,0.25571791613723,0.025095298602287167,-4.453297647526013,-2.2728513191737068,-3.7638531857505675,4.36495023222185,2231,-1.2771132598357418,0.45271178843567905,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;short_direction_mean_not_positive
S49_MTF_H1W120_P85_M15S40_M5S20_H48,120,85.0,40,20,48,2922,-0.9962665975014643,0.45756331279945245,585,6.973834457373486,0.48547008547008547,1,4,0.2624914442162902,0.025325119780971937,-4.771876007418185,-2.4872684640783254,-3.978270330655186,3.991830724219764,2054,-1.2676843911393973,0.4527750730282376,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;short_direction_mean_not_positive;long_direction_mean_not_positive
S49_MTF_H1W120_P75_M15S40_M5S20_H48,120,75.0,40,20,48,4555,-1.115871003130824,0.4605927552140505,911,5.706999657264063,0.4884742041712404,1,4,0.2509330406147091,0.025027442371020857,-4.761021949963433,-2.606872869707685,-4.097874736284546,2.724995924110341,2946,-0.6799611939449105,0.46877121520706044,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;short_direction_mean_not_positive;long_direction_mean_not_positive
S49_MTF_H1W120_P85_M15S20_M5S20_H48,120,85.0,20,20,48,3157,-1.6924487252304363,0.45454545454545453,632,3.7783193093563385,0.4778481012658228,1,4,0.26069052898321193,0.025023756731073803,-4.5134436239521705,-3.183450591807298,-4.674452458384159,0.7963155762026157,2240,-2.3393999416807327,0.446875,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;long_direction_mean_not_positive;short_direction_mean_not_positive
S49_MTF_H1W72_P85_M15S40_M5S20_H24,72,85.0,40,20,24,2923,-1.5222486673121856,0.4502223742730072,585,3.5135163008823396,0.49401709401709404,1,4,0.2569278138898392,0.024632227163872734,-4.146619382182641,-3.0132505338890465,-4.504252400465908,0.531512567728617,2439,-1.2578712612843586,0.44977449774497746,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;long_direction_mean_not_positive;short_direction_mean_not_positive
S49_MTF_H1W120_P75_M15S20_M5S20_H48,120,75.0,20,20,48,4954,-1.6638896651019657,0.45861929753734354,991,3.260260185742418,0.4803229061553986,1,4,0.24969721437222447,0.024626564392410174,-5.309901026431397,-3.154891531678827,-4.645893398255688,0.27825645258869575,3218,-1.4510957839039509,0.46239900559353636,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;short_direction_mean_not_positive;long_direction_mean_not_positive
S49_MTF_H1W72_P75_M15S40_M5S20_H48,72,75.0,40,20,48,4566,-1.8510774417676106,0.45860709592641263,914,3.1006471430472096,0.47811816192560175,1,4,0.24945247481384145,0.02431011826544021,-5.083555673618025,-3.3420793083444718,-4.833081174921333,0.1186434098934875,2985,-1.3291292693718992,0.4666666666666667,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;long_direction_mean_not_positive;short_direction_mean_not_positive
S49_MTF_H1W120_P85_M15S40_M5S20_H24,120,85.0,40,20,24,2924,-1.749577691383872,0.4439124487004104,585,2.714030010981169,0.48376068376068376,1,4,0.26231190150478795,0.0253077975376197,-4.099565304857173,-3.240579557960733,-4.731581424537594,-0.2679737221725537,2444,-1.7353264449974397,0.44271685761047463,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;cost_x2_oos_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;short_direction_mean_not_positive;long_direction_mean_not_positive
S49_MTF_H1W72_P85_M15S20_M5S20_H24,72,85.0,20,20,24,3150,-2.0440639568758887,0.44571428571428573,630,2.189276486811698,0.48412698412698413,1,4,0.25555555555555554,0.02507936507936508,-4.411319575885014,-3.53506582345275,-5.026067690029611,-0.7927272463420244,2636,-1.8328453734283219,0.44385432473444614,HARD_AUDIT_NO_PASS,mean_not_positive;win_rate_lt_52pct;oos_win_rate_lt_52pct;has_negative_year;worst_chrono_fold_not_positive;cost_x1_5_mean_not_positive;cost_x2_mean_not_positive;cost_x2_oos_mean_not_positive;declustered_mean_not_positive;declustered_win_rate_lt_52pct;long_direction_mean_not_positive;short_direction_mean_not_positive
