candidate_id,session,entry_ts,exit_ts,direction,entry_price,exit_price,gross_bps,net_bps,range_high,range_low,range_bps,spread_points
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-02T08:20:00Z,2022-05-02T09:20:00Z,SHORT,1882.54,1879.39,16.73271218672572,13.750708453571999,1887.2,1882.92,22.704847591057966,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-03T08:20:00Z,2022-05-03T09:20:00Z,SHORT,1852.62,1856.11,-18.838185920480235,-21.820189653633957,1860.67,1853.27,39.84986294878264,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-04T07:30:00Z,2022-05-04T08:30:00Z,LONG,1870.7,1869.84,-4.597209600684916,-7.579213333838638,1869.72,1865.88,20.55894635399892,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-05T08:15:00Z,2022-05-05T09:15:00Z,SHORT,1890.44,1894.92,-23.69818666553828,-26.680190398692,1898.15,1891.57,34.72552061893836,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-06T08:20:00Z,2022-05-06T09:20:00Z,LONG,1877.09,1880.79,19.71136173545246,16.72935800229874,1876.79,1872.88,20.855168588168315,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-10T08:00:00Z,2022-05-10T09:00:00Z,SHORT,1858.99,1863.11,-22.16257214939236,-25.144575882546082,1862.49,1859.22,17.572567448833908,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-13T07:30:00Z,2022-05-13T08:30:00Z,LONG,1828.41,1821.87,-35.76878271284991,-38.75078644600364,1826.56,1821.88,25.654800407844647,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-16T07:35:00Z,2022-05-16T08:35:00Z,SHORT,1801.99,1796.86,28.468526462411607,25.486522729257885,1809.93,1806.03,21.57103507782216,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-17T07:50:00Z,2022-05-17T08:50:00Z,SHORT,1823.5,1826.67,-17.384151357280356,-20.366155090434077,1830.02,1823.93,33.33378946072014,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-18T07:30:00Z,2022-05-18T08:30:00Z,LONG,1815.7,1814.59,-6.1133447155374085,-9.09534844869113,1815.14,1809.21,32.72310897126416,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-19T07:50:00Z,2022-05-19T08:50:00Z,SHORT,1811.67,1821.15,-52.32741062113971,-55.30941435429344,1815.64,1811.83,21.006376344946602,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-23T08:00:00Z,2022-05-23T09:00:00Z,LONG,1856.85,1861.84,26.87346850849562,23.8914647753419,1856.55,1852.13,23.835973985352442,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-24T07:55:00Z,2022-05-24T08:55:00Z,LONG,1859.84,1855.94,-20.96954576737711,-23.95154950053083,1857.46,1851.16,33.97490171546265,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-25T07:50:00Z,2022-05-25T08:50:00Z,SHORT,1856.77,1855.82,5.116411833452961,2.134408100299239,1859.27,1856.94,12.539657339062794,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-26T07:40:00Z,2022-05-26T08:40:00Z,LONG,1849.98,1847.71,-12.270402923274748,-15.25240665642847,1849.76,1846.06,20.02262014924994,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-27T08:05:00Z,2022-05-27T09:05:00Z,LONG,1858.48,1857.59,-4.788859713314644,-7.770863446468367,1858.26,1853.77,24.191614830699155,50.0
S50_ORB_LONDON_R6_W12_B0_M1520_H12,london,2022-05-30T07:55:00Z,2022-05-30T08:55:00Z,SHORT,1858.49,1858.74,-1.3451780746735251,-4.327181807827247,1863.71,1858.96,25.519318123819733,50.0
