gate,observed,operator,threshold,passed
true_forward_signals,0,>=,100,False
evaluated_signals,0,>=,60,False
pending_or_evaluated_signals,0,>=,100,False
distinct_candidate_ids,0,>=,3,False
forward_span_days,0.0,>=,10.0,False
evaluated_span_days,0.0,>=,5.0,False
evaluated_mean_stress_bps,,>=,2.0,False
evaluated_win_rate,,>=,0.53,False
evaluated_median_stress_bps,,>=,0.0,False
backfill_signals,0,<=,0,True
max_candidate_share,0.0,<=,0.55,True
max_day_share,0.0,<=,0.35,True
pending_share,0.0,<=,0.8,True
negative_candidate_mean_count,0,<=,1,True
