candidate_id,family,entry_time_utc,exit_time_utc,direction_label,entry_price,exit_price,gross_bps,stress_bps,entry_spread_cost_bps,horizon_m5_bars,params
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2022-07-04 00:05:00+00:00,2022-07-04 01:05:00,LONG,1809.57,1806.79,-15.362765739927015,-18.34476947308074,2.7630873632962527,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2022-08-15 17:20:00+00:00,2022-08-15 18:20:00,SHORT,1781.78,1778.15,20.372885541424203,17.390881808270482,2.3571933684293236,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2022-09-01 22:05:00+00:00,2022-09-01 23:05:00,SHORT,1696.23,1695.67,3.301439073710201,0.31943534055647893,2.4760793052828918,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2022-10-05 22:20:00+00:00,2022-10-05 23:20:00,LONG,1716.3,1717.91,9.380644409486264,6.398640676332542,2.4471246285614403,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2022-10-24 02:20:00+00:00,2022-10-24 03:20:00,LONG,1651.94,1653.71,10.714674867125815,7.732671133972094,2.5424652227078464,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2023-02-15 18:20:00+00:00,2023-02-15 19:20:00,SHORT,1837.32,1835.33,10.830992968018686,7.848989234864964,1.3062504082032524,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2023-03-13 17:20:00+00:00,2023-03-13 18:20:00,LONG,1911.25,1909.97,-6.697187704381806,-9.679191437535527,1.2557226945716153,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2023-03-28 20:35:00+00:00,2023-03-28 22:35:00,LONG,1973.76,1973.63,-0.6586413748372738,-3.640645107990996,1.2159533073929962,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2024-05-09 17:05:00+00:00,2024-05-09 18:05:00,LONG,2332.46,2334.6,9.174862591426532,6.19285885827281,1.2861956903869733,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
S56A_CW48_P20_B5_F1_M3040_H12,ALT_A_PULLBACK_AFTER_SQUEEZE_FAILURE,2024-05-13 16:20:00+00:00,2024-05-13 17:20:00,SHORT,2336.35,2334.85,6.420270935433475,3.438267202279753,1.2840541870866953,12,"{""buffer_bps"": 5, ""cw"": 48, ""failure_confirm_bars"": 1, ""m30_sma"": 40, ""pct"": 20}"
