candidate_id,base_candidate_id,context_variant,cw,pct,buffer_bps,m30_sma,horizon_m5_bars,params,trade_count,oos_trade_count,mean_stress_bps,median_stress_bps,win_rate,t_stat,is_mean_stress_bps,is_win_rate,oos_mean_stress_bps,oos_win_rate,positive_year_count,negative_year_count,worst_year_mean_stress_bps,cost_x15_mean_stress_bps,cost_x2_mean_stress_bps,declustered_trade_count,declustered_mean_stress_bps,declustered_win_rate,max_direction_share,max_day_share,first_entry_utc,last_entry_utc,span_days,status,failures
S58A_S51_VSQ_CW48_P20_B5_M3040_H12_CTX_RANGE_GT50,S51_VSQ_CW48_P20_B5_M3040_H12,CTX_RANGE_GT50,48,20.0,5.0,40,12,"{""range_filter"": ""range_gt_50""}",1861,373,4.10980445866854,1.7262390039677267,0.5341214400859753,5.476758537546372,3.7165871041272323,0.530241935483871,5.678457068742172,0.5495978552278821,5,0,0.4944920609743837,2.6188025920916784,1.1278007255148177,1034,3.793251771666953,0.5299806576402321,0.5464803868887694,0.005910800644814616,2022-05-02T12:05:00Z,2026-06-19T02:05:00Z,1508.5833333333333,CONTEXT_AWARE_HARD_AUDIT_PASS_NEEDS_FORWARD_SHADOW_DESIGN,
S58A_S51_VSQ_CW96_P20_B5_M3040_H12_CTX_SPREAD_LE75,S51_VSQ_CW96_P20_B5_M3040_H12,CTX_SPREAD_LE75,96,20.0,5.0,40,12,"{""spread_filter"": ""spread_le_75""}",1742,349,3.859537976449437,1.3946526024403094,0.5315729047072331,5.1403952086203875,3.6139003907279017,0.5290739411342427,4.839976821464046,0.5415472779369628,4,0,0.35292383355072204,2.3685361098725766,0.8775342432957158,924,3.4711965411208547,0.5248917748917749,0.5803673938002296,0.008610792192881744,2023-02-07T20:50:00Z,2026-06-19T03:35:00Z,1227.28125,CONTEXT_AWARE_HARD_AUDIT_PASS_NEEDS_FORWARD_SHADOW_DESIGN,
S58A_S51_VSQ_CW48_P20_B5_M3020_H12_CTX_RANGE_GT50,S51_VSQ_CW48_P20_B5_M3020_H12,CTX_RANGE_GT50,48,20.0,5.0,20,12,"{""range_filter"": ""range_gt_50""}",2032,407,3.743044184027694,1.5523428313899346,0.530511811023622,5.455324039090309,3.6869363092550698,0.5292307692307693,3.9670621115596707,0.5356265356265356,5,0,1.1415167086379872,2.252042317450833,0.7610404508739723,1147,2.929224483085622,0.5257192676547515,0.5492125984251969,0.005905511811023622,2022-05-02T04:05:00Z,2026-06-19T02:05:00Z,1508.9166666666667,CONTEXT_AWARE_HARD_AUDIT_PASS_NEEDS_FORWARD_SHADOW_DESIGN,
S58A_S51_VSQ_CW96_P20_B5_M3020_H12_CTX_RANGE_GT50,S51_VSQ_CW96_P20_B5_M3020_H12,CTX_RANGE_GT50,96,20.0,5.0,20,12,"{""range_filter"": ""range_gt_50""}",1948,390,3.5977276159131737,1.5819843213824503,0.5328542094455853,5.250870284383154,3.6462809946418524,0.5327342747111682,3.4037630926842444,0.5333333333333333,5,0,0.6801534154416774,2.106725749336312,0.6157238827594513,1117,2.9118130619426315,0.5237242614145031,0.5651950718685832,0.0077002053388090345,2022-05-02T12:05:00Z,2026-06-19T03:35:00Z,1508.6458333333333,CONTEXT_AWARE_HARD_AUDIT_PASS_NEEDS_FORWARD_SHADOW_DESIGN,
S58A_S51_VSQ_CW48_P20_B5_M3040_H24_CTX_OVERLAP_NY,S51_VSQ_CW48_P20_B5_M3040_H24,CTX_OVERLAP_NY,48,20.0,5.0,40,24,"{""session_filter"": ""overlap_new_york""}",903,181,1.4796413305029654,-1.8172085041553498,0.46179401993355484,1.165704521780004,-0.8561321688516008,0.44321329639889195,10.796925675994663,0.5359116022099447,2,3,-1.799148524876755,-0.011360536073895311,-1.502362402650756,640,2.500400445787053,0.4734375,0.5182724252491694,0.007751937984496124,2022-05-02T12:05:00Z,2026-06-12T20:50:00Z,1502.3645833333333,NO_PASS,mean_stress_lt_min;median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H24_CTX_ALL,S51_VSQ_CW48_P20_B5_M3040_H24,CTX_ALL,48,20.0,5.0,40,24,"{""range_filter"": ""all"", ""session_filter"": ""all"", ""spread_filter"": ""all""}",2307,462,3.720899629800083,-0.04747630075597309,0.4984828781967924,4.240772373378743,1.9517778131532213,0.4883468834688347,10.785899092383328,0.538961038961039,4,1,-1.6828644174152492,2.229897763223221,0.7388958966463601,1251,4.409158285174338,0.5123900879296562,0.5435630689206762,0.004768097095795405,2022-05-02T12:05:00Z,2026-06-19T02:05:00Z,1508.5833333333333,NO_PASS,median_stress_lt_min;win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H24_CTX_OVERLAP_NY,S51_VSQ_CW48_P20_B5_M3020_H24,CTX_OVERLAP_NY,48,20.0,5.0,20,24,"{""session_filter"": ""overlap_new_york""}",975,195,1.5241415531626943,-1.890824823459154,0.4533333333333333,1.2190134173503147,-0.6831093462599953,0.4358974358974359,10.353145150853452,0.5230769230769231,2,3,-2.4612486675482006,0.033139686585832884,-1.4578621799910279,697,2.3813352237560905,0.46628407460545196,0.518974358974359,0.006153846153846154,2022-05-02T12:05:00Z,2026-06-16T19:50:00Z,1506.3229166666667,NO_PASS,mean_stress_lt_min;median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H24_CTX_NO_ROLLOVER,S51_VSQ_CW48_P20_B5_M3040_H24,CTX_NO_ROLLOVER,48,20.0,5.0,40,24,"{""rollover_filter"": ""exclude_rollover_like""}",1821,365,3.371684312933552,-0.34573173191410733,0.49203734211971445,3.617143462608392,1.8049527735525162,0.47733516483516486,9.621440809752151,0.5506849315068493,4,1,-2.472779275154541,1.8806824463566905,0.3896805797798297,1027,3.178090523055577,0.5004868549172347,0.5293794618341571,0.0054914881933003845,2022-05-02T12:05:00Z,2026-06-19T02:05:00Z,1508.5833333333333,NO_PASS,median_stress_lt_min;win_rate_lt_min;worst_year_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3020_H12_CTX_OVERLAP_NY,S51_VSQ_CW48_P20_B5_M3020_H12,CTX_OVERLAP_NY,48,20.0,5.0,20,12,"{""session_filter"": ""overlap_new_york""}",975,195,1.8596114975023066,-0.2636121148610404,0.49128205128205127,2.134266521847573,0.03856263638591867,0.46923076923076923,9.14380694196786,0.5794871794871795,2,3,-0.6357214691013625,0.3686096309254463,-1.1223922356514144,697,2.06241168780658,0.4806312769010043,0.518974358974359,0.006153846153846154,2022-05-02T12:05:00Z,2026-06-16T19:50:00Z,1506.3229166666667,NO_PASS,mean_stress_lt_min;median_stress_lt_min;win_rate_lt_min;positive_years_lt_min;negative_years_gt_max;worst_year_lt_min;cost_x2_mean_lt_min;declustered_win_rate_lt_min
S58A_S51_VSQ_CW48_P20_B5_M3040_H12_CTX_ALL,S51_VSQ_CW48_P20_B5_M3040_H12,CTX_ALL,48,20.0,5.0,40,12,"{""range_filter"": ""all"", ""session_filter"": ""all"", ""spread_filter"": ""all""}",2307,462,3.274138622499817,0.9547400839718878,0.5223233636757694,5.303374262989632,1.8080477586804728,0.510569105691057,9.12898200723291,0.5692640692640693,5,0,0.06007866267109464,1.7831367559229552,0.29213488934609444,1251,3.052196915881895,0.5171862509992007,0.5435630689206762,0.004768097095795405,2022-05-02T12:05:00Z,2026-06-19T02:05:00Z,1508.5833333333333,NO_PASS,win_rate_lt_min
