candidate_id,family,context_tag,signal_time_utc,entry_time_utc,direction,horizon_m5_bars,entry_price,exit_price,gross_bps,stress_bps,params_json
S60_PB_SMA16_D12_T12_M3020_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D12_T20_M3020_H6_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D8_T32_M3040_H6_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 40, ""max_dist_bps"": 8, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D8_T32_M3020_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D8_T20_M3020_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D12_T12_M3040_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D12_T12_M3020_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3040_H6_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 40, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D12_T12_M3020_H12_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,12,3969.18,3957.0,-30.686439012591606,-33.66844274574533,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3020_H12_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,12,3969.18,3957.0,-30.686439012591606,-33.66844274574533,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T32_M3040_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 40, ""max_dist_bps"": 8, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D12_T20_M3040_H12_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,12,3969.18,3957.0,-30.686439012591606,-33.66844274574533,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3020_H6_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D12_T12_M3040_H12_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,12,3969.18,3957.0,-30.686439012591606,-33.66844274574533,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T32_M3020_H6_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D12_T12_M3040_H6_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D12_T20_M3020_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D12_T32_M3040_H6_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D8_T20_M3020_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D8_T20_M3020_H6_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D12_T20_M3020_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3020_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T32_M3040_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 40, ""max_dist_bps"": 8, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D12_T12_M3020_H6_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 20, ""max_dist_bps"": 12, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3040_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 40, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3020_H6_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,6,3969.18,3966.55,-6.6260537440976375,-9.608057477251359,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T32_M3020_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 32, ""value_sma"": 16}"
S60_PB_SMA16_D12_T20_M3040_H24_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D12_T20_M3040_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 40, ""max_dist_bps"": 12, ""min_trend_bps"": 20, ""value_sma"": 16}"
S60_PB_SMA16_D8_T12_M3020_H24_CTX_SPREAD_LE75,CTX_TREND_PULLBACK_CONTINUATION,CTX_SPREAD_LE75,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,24,3969.18,3959.71,-23.858832302893205,-26.840836036046927,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 12, ""value_sma"": 16}"
S60_PB_SMA16_D8_T20_M3020_H12_CTX_RANGE_GT50,CTX_TREND_PULLBACK_CONTINUATION,CTX_RANGE_GT50,2025-10-29 02:15:00+00:00,2025-10-29T02:20:00Z,1,12,3969.18,3957.0,-30.686439012591606,-33.66844274574533,"{""m30_sma"": 20, ""max_dist_bps"": 8, ""min_trend_bps"": 20, ""value_sma"": 16}"
